date;open;high;low;close
03.09.2020 19:35;30.175;30.175;30.175;30.175
03.09.2020 19:29;30.595;30.635;30.585;30.605
03.09.2020 19:28;30.56;30.625;30.54;30.605
03.09.2020 19:27;30.565;30.595;30.55;30.55
03.09.2020 19:26;30.60;30.625;30.53;30.56
03.09.2020 19:25;30.635;30.655;30.585;30.595
03.09.2020 19:24;30.685;30.685;30.615;30.64
03.09.2020 19:23;30.73;30.745;30.69;30.70
03.09.2020 19:22;30.76;30.815;30.74;30.745
03.09.2020 19:21;30.80;30.805;30.735;30.765
03.09.2020 19:20;30.82;30.85;30.80;30.815
03.09.2020 19:19;30.78;30.835;30.775;30.825
03.09.2020 19:18;30.855;30.88;30.78;30.79
03.09.2020 19:17;30.89;30.89;30.815;30.84
03.09.2020 19:16;30.94;30.95;30.875;30.895
03.09.2020 19:15;31.мар;31.045;30.94;30.945
03.09.2020 19:14;30.99;31.04;30.965;31.035
03.09.2020 19:13;31.июл;31.июл;30.985;30.99
03.09.2020 19:12;31.115;31.13;31.075;31.075
03.09.2020 19:11;31.17;31.18;31.115;31.дек
03.09.2020 19:10;31.165;31.19;31.135;31.18
03.09.2020 19:09;31.225;31.23;31.165;31.165
03.09.2020 19:08;31.235;31.235;31.205;31.215
03.09.2020 19:07;31.18;31.23;31.18;31.23
03.09.2020 19:06;31.105;31.175;31.окт;31.175
03.09.2020 19:05;31.035;31.125;31.02;31.11
03.09.2020 19:04;31.025;31.045;31.005;31.045
03.09.2020 19:03;31.045;31.045;31.015;31.025
03.09.2020 19:02;31.июл;31.июл;31.02;31.04
03.09.2020 19:01;31.125;31.15;31.06;31.065
03.09.2020 19:00;31.135;31.18;31.105;31.125
03.09.2020 18:59;31.205;31.22;31.13;31.155
03.09.2020 18:58;31.23;31.24;31.165;31.20
03.09.2020 18:57;31.24;31.265;31.19;31.22
03.09.2020 18:56;31.185;31.25;31.185;31.235
03.09.2020 18:55;31.215;31.225;31.165;31.165
03.09.2020 18:54;31.165;31.205;31.дек;31.205
03.09.2020 18:53;31.21;31.21;31.135;31.18
03.09.2020 18:52;31.205;31.215;31.185;31.215
03.09.2020 18:51;31.30;31.30;31.20;31.20
03.09.2020 18:50;31.32;31.33;31.30;31.305
03.09.2020 18:49;31.285;31.35;31.285;31.33
03.09.2020 18:48;31.325;31.335;31.26;31.26
03.09.2020 18:47;31.25;31.31;31.25;31.31
03.09.2020 18:46;31.21;31.29;31.21;31.24
03.09.2020 18:45;31.145;31.215;31.14;31.21
03.09.2020 18:44;31.145;31.155;31.095;31.145
03.09.2020 18:43;31.105;31.165;31.09;31.15
03.09.2020 18:42;31.085;31.дек;31.06;31.окт
03.09.2020 18:41;31.065;31.095;31.045;31.095
03.09.2020 18:40;31.105;31.105;31.055;31.июл
03.09.2020 18:39;31.июл;31.13;31.04;31.125
03.09.2020 18:38;31.045;31.09;31.мар;31.авг
03.09.2020 18:37;31.02;31.065;31.015;31.045
03.09.2020 18:36;31.065;31.авг;31.025;31.мар
03.09.2020 18:35;31.мар;31.075;31.мар;31.06
03.09.2020 18:34;31.мар;31.055;30.995;31.мар
03.09.2020 18:33;30.99;31.06;30.955;31.025
03.09.2020 18:32;30.97;30.995;30.915;30.98
03.09.2020 18:31;30.99;31.035;30.95;30.965
03.09.2020 18:30;31.045;31.055;30.975;30.99
03.09.2020 18:29;31.045;31.095;31.005;31.май
03.09.2020 18:28;31.янв;31.065;30.99;31.045
03.09.2020 18:27;31.02;31.025;30.975;31.янв
03.09.2020 18:26;30.945;31.045;30.945;31.025
03.09.2020 18:25;30.925;30.99;30.925;30.935
03.09.2020 18:24;30.91;30.935;30.875;30.915
03.09.2020 18:23;30.94;30.975;30.89;30.90
03.09.2020 18:22;30.925;30.96;30.905;30.93
03.09.2020 18:21;30.91;30.94;30.90;30.92
03.09.2020 18:20;30.905;30.935;30.87;30.895
03.09.2020 18:19;30.895;30.94;30.895;30.91
03.09.2020 18:18;30.895;30.94;30.875;30.90
03.09.2020 18:17;30.815;30.885;30.805;30.88
03.09.2020 18:16;30.82;30.87;30.795;30.82
03.09.2020 18:15;30.85;30.90;30.83;30.835
03.09.2020 18:14;30.865;30.89;30.825;30.855
03.09.2020 18:13;30.895;30.915;30.855;30.87
03.09.2020 18:12;30.975;31.005;30.88;30.89
03.09.2020 18:11;30.895;30.99;30.895;30.975
03.09.2020 18:10;30.81;30.91;30.785;30.895
03.09.2020 18:09;30.805;30.825;30.755;30.815
03.09.2020 18:08;30.82;30.865;30.79;30.82
03.09.2020 18:07;30.83;30.88;30.805;30.83
03.09.2020 18:06;30.83;30.87;30.82;30.84
03.09.2020 18:05;30.74;30.835;30.725;30.835
03.09.2020 18:04;30.745;30.75;30.695;30.75
03.09.2020 18:03;30.75;30.75;30.70;30.75
03.09.2020 18:02;30.725;30.765;30.69;30.765
03.09.2020 18:01;30.735;30.76;30.68;30.735
03.09.2020 18:00;30.73;30.75;30.645;30.735
03.09.2020 17:59;30.73;30.76;30.68;30.745
03.09.2020 17:58;30.635;30.775;30.635;30.725
03.09.2020 17:57;30.705;30.705;30.63;30.64
03.09.2020 17:56;30.73;30.735;30.685;30.70
03.09.2020 17:55;30.66;30.765;30.645;30.74
03.09.2020 17:54;30.595;30.68;30.595;30.66
03.09.2020 17:53;30.585;30.62;30.565;30.605
03.09.2020 17:52;30.565;30.595;30.515;30.58
03.09.2020 17:51;30.575;30.615;30.56;30.575
03.09.2020 17:50;30.575;30.595;30.54;30.575
03.09.2020 17:49;30.60;30.635;30.565;30.575
03.09.2020 17:48;30.66;30.675;30.58;30.59
03.09.2020 17:47;30.74;30.74;30.63;30.66
03.09.2020 17:46;30.70;30.735;30.68;30.73
03.09.2020 17:45;30.735;30.805;30.705;30.71
03.09.2020 17:44;30.79;30.855;30.73;30.74
03.09.2020 17:43;30.875;30.875;30.78;30.785
03.09.2020 17:42;30.92;30.92;30.86;30.885
03.09.2020 17:41;30.935;30.995;30.91;30.91
03.09.2020 17:40;30.975;30.995;30.935;30.945
03.09.2020 17:39;31.янв;31.025;30.935;30.97
03.09.2020 17:38;31.035;31.май;31.00;31.025
03.09.2020 17:37;31.015;31.09;31.янв;31.035
03.09.2020 17:36;31.11;31.11;31.янв;31.015
03.09.2020 17:35;31.205;31.225;31.115;31.115
03.09.2020 17:34;31.дек;31.22;31.105;31.215
03.09.2020 17:33;31.00;31.13;30.975;31.125
03.09.2020 17:32;31.065;31.авг;30.995;31.005
03.09.2020 17:31;31.14;31.195;31.065;31.июл
03.09.2020 17:30;31.185;31.185;31.105;31.155
03.09.2020 17:29;31.145;31.235;31.145;31.195
03.09.2020 17:28;31.185;31.20;31.095;31.135
03.09.2020 17:27;31.24;31.27;31.19;31.19
03.09.2020 17:26;31.065;31.255;31.06;31.23
03.09.2020 17:25;31.13;31.185;31.035;31.065
03.09.2020 17:24;31.21;31.235;31.085;31.дек
03.09.2020 17:23;31.июл;31.25;31.июл;31.22
03.09.2020 17:22;31.дек;31.дек;31.015;31.май
03.09.2020 17:21;31.205;31.215;31.125;31.125
03.09.2020 17:20;31.265;31.275;31.13;31.20
03.09.2020 17:19;31.20;31.26;31.13;31.245
03.09.2020 17:18;31.115;31.195;31.105;31.195
03.09.2020 17:17;30.97;31.14;30.955;31.дек
03.09.2020 17:16;30.975;31.035;30.925;30.965
03.09.2020 17:15;30.88;30.975;30.875;30.94
03.09.2020 17:14;30.91;30.915;30.82;30.88
03.09.2020 17:13;30.825;30.935;30.80;30.92
03.09.2020 17:12;30.855;30.87;30.775;30.805
03.09.2020 17:11;30.865;30.93;30.84;30.865
03.09.2020 17:10;30.995;31.02;30.865;30.87
03.09.2020 17:09;30.925;30.995;30.875;30.985
03.09.2020 17:08;30.83;30.95;30.785;30.935
03.09.2020 17:07;30.815;30.835;30.78;30.83
03.09.2020 17:06;30.665;30.81;30.645;30.80
03.09.2020 17:05;30.595;30.685;30.57;30.685
03.09.2020 17:04;30.67;30.67;30.58;30.585
03.09.2020 17:03;30.69;30.69;30.615;30.67
03.09.2020 17:02;30.615;30.69;30.60;30.685
03.09.2020 17:01;30.67;30.70;30.635;30.635
03.09.2020 17:00;30.615;30.70;30.615;30.66
03.09.2020 16:59;30.61;30.685;30.61;30.625
03.09.2020 16:58;30.715;30.715;30.60;30.61
03.09.2020 16:57;30.705;30.735;30.64;30.70
03.09.2020 16:56;30.67;30.755;30.66;30.71
