#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:CHIX,20200309-085959.195+0000,20200309-085959+0000,188:2841,C,31.3075,65,31.325,31.35,32DS,68
TimeAndSale,DAId:CHIX,20200309-090009.141+0000,20200309-090009+0000,135:2843,C,31.375,16,31.365,31.375,12-H,36
TimeAndSale,DAId:CHIX,20200309-090013.733+0000,20200309-090013+0000,726:2845,C,31.385,75,31.355,31.385,12-H,36
TimeAndSale,DAId:CHIX,20200309-090013.733+0000,20200309-090013+0000,726:2847,C,31.385,100,31.355,31.385,12-H,36
TimeAndSale,DAId:CHIX,20200309-090016.266+0000,20200309-090016+0000,259:2849,C,31.405,40,31.395,31.405,12-H,36
TimeAndSale,DAId:CHIX,20200309-090021.500+0000,20200309-090021+0000,493:2851,C,31.405,24,31.405,31.42,12-H,68
TimeAndSale,DAId:CHIX,20200309-090021.500+0000,20200309-090021+0000,493:2853,C,31.405,100,31.405,31.42,12-H,68
TimeAndSale,DAId:CHIX,20200309-090039.000+0000,20200309-090038+0000,992:2855,C,31.47,52,31.45,31.47,12-H,36
TimeAndSale,DAId:CHIX,20200309-090039.000+0000,20200309-090038+0000,992:2857,C,31.475,407,31.455,31.475,12-H,36
TimeAndSale,DAId:CHIX,20200309-090050.927+0000,20200309-090050+0000,920:2859,C,31.495,40,31.465,31.495,12-H,36
TimeAndSale,DAId:CHIX,20200309-090100.052+0000,20200309-090100+0000,45:2861,C,31.5,105,31.5,31.515,12-H,68
TimeAndSale,DAId:CHIX,20200309-090109.689+0000,20200309-090109+0000,683:2863,C,31.48,10,31.48,31.505,12-H,68
TimeAndSale,DAId:CHIX,20200309-090109.689+0000,20200309-090109+0000,683:2865,C,31.48,100,31.48,31.505,12-H,68
TimeAndSale,DAId:CHIX,20200309-090110.962+0000,20200309-090110+0000,955:2867,C,31.475,18,31.45,31.475,12-H,36
TimeAndSale,DAId:CHIX,20200309-090123.156+0000,20200309-090123+0000,150:2869,C,31.425,62,31.425,31.43,12-H,68
TimeAndSale,DAId:CHIX,20200309-090123.167+0000,20200309-090123+0000,160:2871,C,31.43,41,31.425,31.43,12-H,36
TimeAndSale,DAId:CHIX,20200309-090123.167+0000,20200309-090123+0000,160:2873,C,31.43,17,31.425,31.43,12-H,36
TimeAndSale,DAId:CHIX,20200309-090123.168+0000,20200309-090123+0000,162:2875,C,31.43,100,31.43,31.445,12-H,68
TimeAndSale,DAId:CHIX,20200309-090123.168+0000,20200309-090123+0000,162:2877,C,31.43,100,31.425,31.43,12-H,36
TimeAndSale,DAId:CHIX,20200309-090123.779+0000,20200309-090123+0000,772:2879,C,31.45,38,31.44,31.45,12-H,36
TimeAndSale,DAId:CHIX,20200309-090145.494+0000,20200309-090145+0000,487:2881,C,31.435,31,31.435,31.46,12-H,68
TimeAndSale,DAId:CHIX,20200309-090145.500+0000,20200309-090145+0000,493:2883,C,31.435,27,31.435,31.45,12-H,68
TimeAndSale,DAId:CHIX,20200309-090145.505+0000,20200309-090145+0000,498:2885,C,31.435,10,31.435,31.45,12-H,68
TimeAndSale,DAId:CHIX,20200309-090150.720+0000,20200309-090150+0000,714:2887,C,31.43,105,31.43,31.44,12-H,68
TimeAndSale,DAId:CHIX,20200309-090154.645+0000,20200309-090154+0000,638:2889,C,31.405,16,31.385,31.405,12-H,36
TimeAndSale,DAId:CHIX,20200309-090159.663+0000,20200309-090159+0000,657:2891,C,31.39,100,31.39,31.405,12-H,68
TimeAndSale,DAId:CHIX,20200309-090200.299+0000,20200309-090200+0000,292:2893,C,31.385,105,31.385,31.39,12-H,68
TimeAndSale,DAId:CHIX,20200309-090203.042+0000,20200309-090203+0000,35:2895,C,31.395,510,31.375,31.395,12-H,36
TimeAndSale,DAId:CHIX,20200309-090203.392+0000,20200309-090203+0000,386:2897,C,31.375,226,31.365,31.375,12-H,36
TimeAndSale,DAId:CHIX,20200309-090204.855+0000,20200309-090204+0000,848:2899,C,31.37,31,31.37,31.385,12-H,68
TimeAndSale,DAId:CHIX,20200309-090213.830+0000,20200309-090213+0000,823:2901,C,31.38,187,31.36,31.38,12-H,36
