#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:CHIX,20200306-162953.891+0000,20200306-162953+0000,884:18041,C,35,117,34.985,35,12-H,36
TimeAndSale,DAId:CHIX,20200309-080337.008+0000,20200309-080337+0000,1:1,C,32.1,12,32.1,32.155,12-H,68
TimeAndSale,DAId:CHIX,20200309-080337.315+0000,20200309-080337+0000,309:3,C,32.1,153,32.1,32.14,12-H,68
TimeAndSale,DAId:CHIX,20200309-080338.319+0000,20200309-080338+0000,312:5,C,32.1,159,32.1,32.145,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.033+0000,20200309-080339+0000,27:7,C,32.095,4,32.095,32.12,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.044+0000,20200309-080339+0000,37:9,C,32.075,159,31.995,32.075,12-H,36
TimeAndSale,DAId:CHIX,20200309-080339.044+0000,20200309-080339+0000,38:11,C,32.07,159,32.07,32.085,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.045+0000,20200309-080339+0000,38:13,C,32.07,62,32.07,32.085,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.050+0000,20200309-080339+0000,44:15,C,32.025,99,32.025,32.085,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.051+0000,20200309-080339+0000,45:17,C,32.02,240,32.02,32.085,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.683+0000,20200309-080339+0000,676:19,C,32.005,11,32.005,32.04,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.688+0000,20200309-080339+0000,681:21,C,31.99,258,31.99,32.04,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.750+0000,20200309-080339+0000,744:23,C,31.98,77,31.98,32.04,12-H,68
TimeAndSale,DAId:CHIX,20200309-080339.750+0000,20200309-080339+0000,744:25,C,31.975,193,31.98,32.04,12-H,68
TimeAndSale,DAId:CHIX,20200309-080340.109+0000,20200309-080340+0000,102:27,C,31.985,75,31.985,32.015,12-H,68
TimeAndSale,DAId:CHIX,20200309-080341.490+0000,20200309-080341+0000,483:29,C,31.965,25,31.925,31.965,12-H,36
TimeAndSale,DAId:CHIX,20200309-080400.619+0000,20200309-080400+0000,612:31,C,31.945,64,31.89,31.945,12-H,36
TimeAndSale,DAId:CHIX,20200309-080400.621+0000,20200309-080400+0000,615:33,C,31.965,127,31.93,31.965,12-H,36
TimeAndSale,DAId:CHIX,20200309-080403.723+0000,20200309-080403+0000,716:35,C,31.95,11,31.9,31.95,12-H,36
TimeAndSale,DAId:CHIX,20200309-080405.834+0000,20200309-080405+0000,827:37,C,31.92,10,31.92,31.95,12-H,68
TimeAndSale,DAId:CHIX,20200309-080406.372+0000,20200309-080406+0000,365:39,C,31.905,105,31.855,31.905,12-H,36
TimeAndSale,DAId:CHIX,20200309-080406.377+0000,20200309-080406+0000,370:41,C,31.885,10,31.885,31.92,12-H,68
TimeAndSale,DAId:CHIX,20200309-080407.159+0000,20200309-080407+0000,152:43,C,31.945,157,31.885,31.945,12-H,36
TimeAndSale,DAId:CHIX,20200309-080407.876+0000,20200309-080407+0000,870:45,C,31.91,10,31.91,31.94,12-H,68
TimeAndSale,DAId:CHIX,20200309-080407.907+0000,20200309-080407+0000,900:47,C,31.925,185,31.875,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080407.965+0000,20200309-080407+0000,959:49,C,31.925,162,31.925,31.94,12-H,68
TimeAndSale,DAId:CHIX,20200309-080409.427+0000,20200309-080409+0000,421:51,C,31.9,50,31.9,31.925,12-H,68
TimeAndSale,DAId:CHIX,20200309-080409.609+0000,20200309-080409+0000,602:53,C,31.885,10,31.845,31.885,12-H,36
TimeAndSale,DAId:CHIX,20200309-080409.898+0000,20200309-080409+0000,891:55,C,31.875,142,31.875,31.925,12-H,68
TimeAndSale,DAId:CHIX,20200309-080410.395+0000,20200309-080410+0000,389:57,C,31.925,300,31.865,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080417.914+0000,20200309-080417+0000,907:59,C,31.845,143,31.83,31.88,32DS,68
TimeAndSale,DAId:CHIX,20200309-080417.915+0000,20200309-080417+0000,908:61,C,31.86,145,31.835,31.86,12-H,36
TimeAndSale,DAId:CHIX,20200309-080418.771+0000,20200309-080418+0000,764:63,C,31.835,241,31.835,31.88,12-H,68
TimeAndSale,DAId:CHIX,20200309-080418.773+0000,20200309-080418+0000,766:65,C,31.865,241,31.815,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080419.276+0000,20200309-080419+0000,269:67,C,31.855,241,31.815,31.855,12-H,36
TimeAndSale,DAId:CHIX,20200309-080419.818+0000,20200309-080419+0000,811:69,C,31.865,165,31.815,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080419.925+0000,20200309-080419+0000,918:71,C,31.865,197,31.825,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080421.322+0000,20200309-080421+0000,315:73,C,31.875,307,31.845,31.875,12-H,36
TimeAndSale,DAId:CHIX,20200309-080421.322+0000,20200309-080421+0000,315:75,C,31.875,7,31.845,31.875,12-H,36
TimeAndSale,DAId:CHIX,20200309-080421.322+0000,20200309-080421+0000,315:77,C,31.875,105,31.845,31.875,12-H,36
TimeAndSale,DAId:CHIX,20200309-080422.673+0000,20200309-080422+0000,667:79,C,31.925,100,31.875,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080425.562+0000,20200309-080425+0000,556:81,C,31.9,105,31.855,31.9,12-H,36
TimeAndSale,DAId:CHIX,20200309-080432.144+0000,20200309-080432+0000,137:83,C,31.925,143,31.875,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080432.151+0000,20200309-080432+0000,144:85,C,31.935,58,31.875,31.935,12-H,36
TimeAndSale,DAId:CHIX,20200309-080432.165+0000,20200309-080432+0000,159:87,C,31.945,164,31.885,31.945,12-H,36
TimeAndSale,DAId:CHIX,20200309-080441.289+0000,20200309-080441+0000,282:89,C,31.865,324,31.805,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080444.418+0000,20200309-080444+0000,411:91,C,31.865,105,31.815,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080444.418+0000,20200309-080444+0000,411:93,C,31.865,100,31.815,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080444.993+0000,20200309-080444+0000,986:95,C,31.855,13,31.815,31.855,12-H,36
TimeAndSale,DAId:CHIX,20200309-080444.993+0000,20200309-080444+0000,987:97,C,31.855,100,31.83,31.855,12-H,36
TimeAndSale,DAId:CHIX,20200309-080445.020+0000,20200309-080445+0000,13:99,C,31.835,229,31.835,31.895,12-H,68
TimeAndSale,DAId:CHIX,20200309-080445.020+0000,20200309-080445+0000,13:101,C,31.835,100,31.835,31.895,12-H,68
TimeAndSale,DAId:CHIX,20200309-080451.247+0000,20200309-080451+0000,240:103,C,31.8,50,31.8,31.81,12-H,68
TimeAndSale,DAId:CHIX,20200309-080451.247+0000,20200309-080451+0000,240:105,C,31.8,394,31.8,31.81,12-H,68
TimeAndSale,DAId:CHIX,20200309-080452.127+0000,20200309-080452+0000,121:107,C,31.79,100,31.755,31.79,12-H,36
TimeAndSale,DAId:CHIX,20200309-080452.128+0000,20200309-080452+0000,121:109,C,31.805,161,31.755,31.805,12-H,36
TimeAndSale,DAId:CHIX,20200309-080455.499+0000,20200309-080455+0000,492:111,C,31.865,105,31.845,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080455.499+0000,20200309-080455+0000,492:113,C,31.865,100,31.845,31.865,12-H,36
TimeAndSale,DAId:CHIX,20200309-080456.100+0000,20200309-080456+0000,93:115,C,31.845,19,31.82,31.845,12-H,36
TimeAndSale,DAId:CHIX,20200309-080456.100+0000,20200309-080456+0000,93:117,C,31.845,19,31.82,31.845,12-H,36
TimeAndSale,DAId:CHIX,20200309-080456.449+0000,20200309-080456+0000,442:119,C,31.86,105,31.82,31.86,12-H,36
TimeAndSale,DAId:CHIX,20200309-080457.708+0000,20200309-080457+0000,702:121,C,31.895,362,31.84,31.895,12-H,36
TimeAndSale,DAId:CHIX,20200309-080458.979+0000,20200309-080458+0000,972:123,C,31.9,100,31.9,31.925,12-H,68
TimeAndSale,DAId:CHIX,20200309-080458.981+0000,20200309-080458+0000,974:125,C,31.925,105,31.885,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080458.981+0000,20200309-080458+0000,974:127,C,31.925,100,31.885,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080501.257+0000,20200309-080501+0000,251:129,C,31.91,19,31.865,31.91,12-H,36
TimeAndSale,DAId:CHIX,20200309-080501.913+0000,20200309-080501+0000,905:131,C,31.925,278,31.885,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080501.913+0000,20200309-080501+0000,905:133,C,31.925,79,31.885,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080502.473+0000,20200309-080502+0000,466:135,C,31.925,19,31.89,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:137,C,31.89,100,31.89,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:139,C,31.89,100,31.89,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:141,C,31.885,100,31.885,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:143,C,31.885,100,31.885,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:145,C,31.88,236,31.88,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:147,C,31.87,100,31.88,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:149,C,31.87,100,31.87,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:151,C,31.87,168,31.87,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:153,C,31.865,100,31.87,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.880+0000,20200309-080504+0000,873:155,C,31.865,350,31.865,31.955,12-H,68
TimeAndSale,DAId:CHIX,20200309-080504.884+0000,20200309-080504+0000,878:157,C,31.935,2,31.865,31.935,12-H,36
TimeAndSale,DAId:CHIX,20200309-080504.886+0000,20200309-080504+0000,879:159,C,31.925,168,31.865,31.925,12-H,36
TimeAndSale,DAId:CHIX,20200309-080504.894+0000,20200309-080504+0000,888:161,C,31.895,20,31.895,31.935,12-H,68
TimeAndSale,DAId:CHIX,20200309-080505.404+0000,20200309-080505+0000,398:163,C,31.925,20,31.925,31.935,12-H,68
TimeAndSale,DAId:CHIX,20200309-080505.404+0000,20200309-080505+0000,398:165,C,31.935,104,31.895,31.935,12-H,36
TimeAndSale,DAId:CHIX,20200309-080505.404+0000,20200309-080505+0000,398:167,C,31.935,100,31.895,31.935,12-H,36
TimeAndSale,DAId:CHIX,20200309-080505.409+0000,20200309-080505+0000,403:169,C,31.93,100,31.895,31.93,12-H,36
TimeAndSale,DAId:CHIX,20200309-080505.409+0000,20200309-080505+0000,403:171,C,31.93,100,31.895,31.93,12-H,36
TimeAndSale,DAId:CHIX,20200309-080507.837+0000,20200309-080507+0000,831:173,C,31.94,90,31.905,31.94,12-H,36
TimeAndSale,DAId:CHIX,20200309-080507.837+0000,20200309-080507+0000,831:175,C,31.94,100,31.905,31.94,12-H,36
TimeAndSale,DAId:CHIX,20200309-080507.837+0000,20200309-080507+0000,831:177,C,31.94,100,31.905,31.94,12-H,36
TimeAndSale,DAId:CHIX,20200309-080507.891+0000,20200309-080507+0000,885:179,C,31.905,180,31.905,31.945,12-H,68
TimeAndSale,DAId:CHIX,20200309-080507.891+0000,20200309-080507+0000,885:181,C,31.905,100,31.905,31.945,12-H,68
TimeAndSale,DAId:CHIX,20200309-080508.140+0000,20200309-080508+0000,133:183,C,31.9,100,31.9,31.92,12-H,68
TimeAndSale,DAId:CHIX,20200309-080508.147+0000,20200309-080508+0000,140:185,C,31.895,250,31.895,31.92,12-H,68
TimeAndSale,DAId:CHIX,20200309-080510.334+0000,20200309-080510+0000,328:187,C,31.915,20,31.86,31.915,12-H,36
TimeAndSale,DAId:CHIX,20200309-080510.335+0000,20200309-080510+0000,328:189,C,31.915,100,31.86,31.915,12-H,36
TimeAndSale,DAId:CHIX,20200309-080510.335+0000,20200309-080510+0000,328:191,C,31.915,100,31.86,31.915,12-H,36
TimeAndSale,DAId:CHIX,20200309-080511.166+0000,20200309-080511+0000,160:193,C,31.895,131,31.86,31.895,12-H,36
TimeAndSale,DAId:CHIX,20200309-080511.166+0000,20200309-080511+0000,160:195,C,31.895,100,31.86,31.895,12-H,36
TimeAndSale,DAId:CHIX,20200309-080511.166+0000,20200309-080511+0000,160:197,C,31.895,100,31.86,31.895,12-H,36
