#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:BATE,20200727-104914.051+0100,20200727-104914+0100,51:189,B,70.1,37,70.06,70.16,5I--,68
TimeAndSale,LKODl:BATE,20200727-110100.400+0100,20200727-110100+0100,400:191,B,70.1,37,70.08,70.18,5I--,68
TimeAndSale,LKODl:BATE,20200727-110145.949+0100,20200727-110145+0100,949:193,B,70.16,38,70.14,70.26,32DS,68
TimeAndSale,LKODl:BATE,20200727-110540.126+0100,20200727-110540+0100,126:195,B,70.18,120,70.18,70.24,12-H,68
TimeAndSale,LKODl:BATE,20200727-110540.126+0100,20200727-110540+0100,126:197,B,70.18,22,70.18,70.24,12-H,68
TimeAndSale,LKODl:BATE,20200727-110730.898+0100,20200727-110730+0100,898:199,B,70.17,212,70.14,70.24,5I--,68
TimeAndSale,LKODl:BATE,20200727-110834.729+0100,20200727-110834+0100,730:201,B,70.12,68,70.12,70.2,12-H,68
TimeAndSale,LKODl:BATE,20200727-111129.209+0100,20200727-111129+0100,210:203,B,70.06,344,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-111129.209+0100,20200727-111129+0100,210:205,B,70.06,178,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-111131.505+0100,20200727-111131+0100,505:207,B,70.06,440,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-111131.598+0100,20200727-111131+0100,598:209,B,70.06,1630,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-111847.087+0100,20200727-111847+0100,88:211,B,70.04,1,69.98,70.08,5I--,36
TimeAndSale,LKODl:BATE,20200727-111847.805+0100,20200727-111847+0100,805:213,B,70.04,216,69.98,70.06,5I--,36
TimeAndSale,LKODl:BATE,20200727-112121.498+0100,20200727-112121+0100,498:215,B,70.06,37,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-112854.806+0100,20200727-112854+0100,807:217,B,70.03,37,70,70.08,5I--,68
TimeAndSale,LKODl:BATE,20200727-113346.525+0100,20200727-113346+0100,525:219,B,70.02,3000,70,70.1,5I--,68
TimeAndSale,LKODl:BATE,20200727-113602.419+0100,20200727-113602+0100,419:221,B,70.06,37,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-113602.537+0100,20200727-113602+0100,537:223,B,70.06,66,70.02,70.12,5I--,68
TimeAndSale,LKODl:BATE,20200727-114227.597+0100,20200727-114227+0100,597:225,B,70.12,49,70.1,70.24,5I--,68
TimeAndSale,LKODl:BATE,20200727-114533.057+0100,20200727-114533+0100,58:227,B,70.18,70,70.16,70.18,12-H,36
TimeAndSale,LKODl:BATE,20200727-114533.058+0100,20200727-114533+0100,58:229,B,70.18,26,70.16,70.18,12-H,36
TimeAndSale,LKODl:BATE,20200727-114852.714+0100,20200727-114852+0100,715:231,B,70.2,6,70.16,70.26,5I--,68
TimeAndSale,LKODl:BATE,20200727-114852.787+0100,20200727-114852+0100,787:233,B,70.2,2,70.16,70.26,5I--,68
TimeAndSale,LKODl:BATE,20200727-115050.646+0100,20200727-115050+0100,646:235,B,70.2,21,70.2,70.32,12-H,68
TimeAndSale,LKODl:BATE,20200727-115050.646+0100,20200727-115050+0100,647:237,B,70.2,92,70.2,70.32,12-H,68
TimeAndSale,LKODl:BATE,20200727-115743.492+0100,20200727-115743+0100,492:239,B,70.12,37,70.06,70.16,5I--,36
TimeAndSale,LKODl:BATE,20200727-115916.522+0100,20200727-115916+0100,522:241,B,70.14,59,70.14,70.18,12-H,68
