#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:BATE,20200724-173402.659+0100,20200724-133025+0100,826:483,B,69.6524,25,69.24,69.82,45-3,32
TimeAndSale,LKODl:BATE,20200727-080046.927+0100,20200727-080046+0100,927:1,B,69.62,84,69.62,69.8,12-H,68
TimeAndSale,LKODl:BATE,20200727-080049.121+0100,20200727-080049+0100,121:3,B,69.58,23,69.58,69.72,12-H,68
TimeAndSale,LKODl:BATE,20200727-080058.760+0100,20200727-080058+0100,760:5,B,69.64,32,69.58,69.64,12-H,36
TimeAndSale,LKODl:BATE,20200727-080058.760+0100,20200727-080058+0100,761:7,B,69.64,102,69.58,69.64,12-H,36
TimeAndSale,LKODl:BATE,20200727-080100.767+0100,20200727-080100+0100,768:9,B,69.5,39,69.5,69.66,12-H,68
TimeAndSale,LKODl:BATE,20200727-080100.767+0100,20200727-080100+0100,768:11,B,69.5,161,69.5,69.66,12-H,68
TimeAndSale,LKODl:BATE,20200727-080106.671+0100,20200727-080106+0100,671:13,B,69.52,259,69.52,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-080109.691+0100,20200727-080109+0100,692:15,B,69.46,20,69.46,69.6,12-H,68
TimeAndSale,LKODl:BATE,20200727-080312.276+0100,20200727-080312+0100,277:17,B,69.76,200,69.76,69.9,12-H,68
TimeAndSale,LKODl:BATE,20200727-080317.797+0100,20200727-080317+0100,797:19,B,69.74,278,69.74,69.84,12-H,68
TimeAndSale,LKODl:BATE,20200727-080317.797+0100,20200727-080317+0100,797:21,B,69.74,122,69.74,69.84,12-H,68
TimeAndSale,LKODl:BATE,20200727-080459.888+0100,20200727-080459+0100,888:23,B,69.84,200,69.84,70.04,12-H,68
TimeAndSale,LKODl:BATE,20200727-080459.888+0100,20200727-080459+0100,889:25,B,69.82,61,69.82,69.94,12-H,68
TimeAndSale,LKODl:BATE,20200727-080523.418+0100,20200727-080523+0100,418:27,B,69.8,200,69.8,70,12-H,68
TimeAndSale,LKODl:BATE,20200727-080529.403+0100,20200727-080529+0100,404:29,B,69.8,200,69.8,70,12-H,68
TimeAndSale,LKODl:BATE,20200727-080639.649+0100,20200727-080639+0100,650:31,B,69.76,214,69.76,69.88,12-H,68
TimeAndSale,LKODl:BATE,20200727-080639.649+0100,20200727-080639+0100,650:33,B,69.76,586,69.76,69.88,12-H,68
TimeAndSale,LKODl:BATE,20200727-080654.148+0100,20200727-080654+0100,148:35,B,69.62,200,69.62,69.88,12-H,68
TimeAndSale,LKODl:BATE,20200727-080704.627+0100,20200727-080704+0100,627:37,B,69.6,51,69.6,69.84,12-H,68
TimeAndSale,LKODl:BATE,20200727-080907.403+0100,20200727-080907+0100,403:39,B,69.66,53,69.66,69.76,12-H,68
TimeAndSale,LKODl:BATE,20200727-080907.403+0100,20200727-080907+0100,403:41,B,69.66,25,69.66,69.76,12-H,68
TimeAndSale,LKODl:BATE,20200727-080907.403+0100,20200727-080907+0100,403:43,B,69.66,122,69.66,69.76,12-H,68
TimeAndSale,LKODl:BATE,20200727-081042.689+0100,20200727-081042+0100,689:45,B,69.7,37,69.68,69.94,5I--,68
TimeAndSale,LKODl:BATE,20200727-081142.592+0100,20200727-081142+0100,592:47,B,69.7121,11600,69.66,69.72,45-3,32
TimeAndSale,LKODl:BATE,20200727-081142.594+0100,20200727-081142+0100,594:49,B,69.7151,1723,69.66,69.72,45-3,32
TimeAndSale,LKODl:BATE,20200727-081433.637+0100,20200727-081433+0100,638:51,B,69.74,73,69.74,69.86,12-H,68
TimeAndSale,LKODl:BATE,20200727-081525.360+0100,20200727-081525+0100,361:53,B,69.68,200,69.68,69.8,12-H,68
TimeAndSale,LKODl:BATE,20200727-081812.022+0100,20200727-081812+0100,22:55,B,69.72,328,69.72,69.8,12-H,68
TimeAndSale,LKODl:BATE,20200727-081819.904+0100,20200727-081819+0100,904:57,B,69.68,10,69.68,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-081819.904+0100,20200727-081819+0100,904:59,B,69.68,330,69.68,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-081819.904+0100,20200727-081819+0100,904:61,B,69.68,170,69.68,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-081836.553+0100,20200727-081836+0100,553:63,B,69.72,66,69.68,69.8,5I--,68
TimeAndSale,LKODl:BATE,20200727-081836.553+0100,20200727-081836+0100,553:65,B,69.72,37,69.68,69.8,5I--,68
TimeAndSale,LKODl:BATE,20200727-081923.011+0100,20200727-081923+0100,12:67,B,69.68,91,69.68,69.76,12-H,68
TimeAndSale,LKODl:BATE,20200727-081923.012+0100,20200727-081923+0100,12:69,B,69.68,37,69.68,69.76,12-H,68
TimeAndSale,LKODl:BATE,20200727-082048.093+0100,20200727-082048+0100,94:71,B,69.7,400,69.7,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-082048.094+0100,20200727-082048+0100,94:73,B,69.7,100,69.7,69.78,12-H,68
TimeAndSale,LKODl:BATE,20200727-082505.483+0100,20200727-082505+0100,483:75,B,69.6867,1375,69.74,69.84,45-3,64
TimeAndSale,LKODl:BATE,20200727-083126.647+0100,20200727-083126+0100,648:77,B,69.74,200,69.7,69.78,32DS,68
TimeAndSale,LKODl:BATE,20200727-084338.836+0100,20200727-084338+0100,836:79,B,69.68,66,69.64,69.74,5I--,68
TimeAndSale,LKODl:BATE,20200727-084338.836+0100,20200727-084338+0100,836:81,B,69.68,37,69.64,69.74,5I--,68
TimeAndSale,LKODl:BATE,20200727-085005.268+0100,20200727-085005+0100,268:83,B,69.71,66,69.66,69.78,5I--,68
TimeAndSale,LKODl:BATE,20200727-085005.268+0100,20200727-085005+0100,268:85,B,69.71,37,69.66,69.78,5I--,68
TimeAndSale,LKODl:BATE,20200727-085438.915+0100,20200727-085438+0100,916:87,B,69.92,50,69.92,69.98,12-H,68
TimeAndSale,LKODl:BATE,20200727-085534.024+0100,20200727-085534+0100,24:89,B,69.91,938,69.86,69.96,5I--,68
TimeAndSale,LKODl:BATE,20200727-085534.024+0100,20200727-085534+0100,24:91,B,69.91,37,69.86,69.96,5I--,68
TimeAndSale,LKODl:BATE,20200727-085548.729+0100,20200727-085548+0100,730:93,B,69.93,224,69.86,69.96,32DS,36
TimeAndSale,LKODl:BATE,20200727-085603.639+0100,20200727-085603+0100,639:95,B,69.92,61,69.86,69.96,5I--,36
TimeAndSale,LKODl:BATE,20200727-085603.677+0100,20200727-085603+0100,678:97,B,69.92,59,69.86,69.96,5I--,36
TimeAndSale,LKODl:BATE,20200727-085603.677+0100,20200727-085603+0100,678:99,B,69.92,45,69.86,69.96,5I--,36
TimeAndSale,LKODl:BATE,20200727-085642.309+0100,20200727-085642+0100,309:101,B,69.7436,508,69.88,70,45-3,64
