#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:BXTR,20200727-105956.302+0100,20200727-105956+0100,300:241,T,70.13,76,70.14,70.14,32D-,68
TimeAndSale,LKODl:BXTR,20200727-110145.950+0100,20200727-110145+0100,947:243,T,70.16,38,70.14,70.14,32D-,36
TimeAndSale,LKODl:BXTR,20200727-110305.921+0100,20200727-110305+0100,245,T,70.16,147,70.16,70.14,47--,36
TimeAndSale,LKODl:BXTR,20200727-110502.953+0100,20200727-110502+0100,247,T,70.18,16,70.18,70.14,47--,36
TimeAndSale,LKODl:BXTR,20200727-111129.214+0100,20200727-111129+0100,212:249,T,70.06,344,70.08,70.08,32D-,68
TimeAndSale,LKODl:BXTR,20200727-111129.218+0100,20200727-111129+0100,213:251,T,70.06,344,70.08,70.08,32D-,68
TimeAndSale,LKODl:BXTR,20200727-112024.868+0100,20200727-112024+0100,866:253,T,70.03,178,70.04,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-112930.773+0100,20200727-112930+0100,770:255,T,70.05,201,70.08,70.06,32D-,68
TimeAndSale,LKODl:BXTR,20200727-112959.489+0100,20200727-112959+0100,486:257,T,70.05,137,70.06,70.06,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113311.015+0100,20200727-113311+0100,14:259,T,70.02,168,70.02,70.04,47-5,68
TimeAndSale,LKODl:BXTR,20200727-113345.449+0100,20200727-113345+0100,447:261,T,70.02,228,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.453+0100,20200727-113345+0100,448:263,T,70.02,266,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.462+0100,20200727-113345+0100,461:265,T,70.02,813,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.466+0100,20200727-113345+0100,465:267,T,70.02,231,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.469+0100,20200727-113345+0100,468:269,T,70.02,1044,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.473+0100,20200727-113345+0100,472:271,T,70.02,1132,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113345.477+0100,20200727-113345+0100,477:273,T,70.02,956,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113348.490+0100,20200727-113348+0100,489:275,T,70.02,235,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113348.492+0100,20200727-113348+0100,492:277,T,70.02,474,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113348.496+0100,20200727-113348+0100,496:279,T,70.02,335,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113348.527+0100,20200727-113348+0100,527:281,T,70.02,556,70.02,70.04,32D-,68
TimeAndSale,LKODl:BXTR,20200727-113351.463+0100,20200727-113348+0100,718:283,T,70.02,86,70.02,70.04,47R-,68
TimeAndSale,LKODl:BXTR,20200727-113351.557+0100,20200727-113348+0100,865:285,T,70.02,198,70.02,70.04,47-5,68
TimeAndSale,LKODl:BXTR,20200727-114030.664+0100,20200727-114030+0100,663:287,T,70.14,119,70.12,70.14,47--,36
TimeAndSale,LKODl:BXTR,20200727-114531.010+0100,20200727-114531+0100,8:289,T,70.17,54,70.16,70.16,32D-,36
TimeAndSale,LKODl:BXTR,20200727-114531.012+0100,20200727-114531+0100,11:291,T,70.18,80,70.16,70.16,47--,36
TimeAndSale,LKODl:BXTR,20200727-114533.060+0100,20200727-114533+0100,58:293,T,70.17,26,70.18,70.16,32D-,36
TimeAndSale,LKODl:BXTR,20200727-114841.067+0100,20200727-114841+0100,66:295,T,70.2,125,70.2,70.2,47--,36
TimeAndSale,LKODl:BXTR,20200727-115718.613+0100,20200727-115718+0100,297,T,70.12,56,70.14,70.14,47--,68
