#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:BXTR,20200727-071655.205+0100,20200724-164900+0100,31,T,69.765,352,69,69,47-5,36
TimeAndSale,LKODl:BXTR,20200727-080058.764+0100,20200727-080058+0100,760:33,T,69.63,102,69.72,69.64,32D-,68
TimeAndSale,LKODl:BXTR,20200727-080116.674+0100,20200727-080116+0100,671:35,T,69.56,337,69.54,69.56,32D-,36
TimeAndSale,LKODl:BXTR,20200727-080304.895+0100,20200727-080304+0100,892:37,T,69.83,120,69.8,69.82,32D-,36
TimeAndSale,LKODl:BXTR,20200727-080328.673+0100,20200727-080328+0100,671:39,T,69.74,257,69.8,69.76,32D-,68
TimeAndSale,LKODl:BXTR,20200727-080328.818+0100,20200727-080328+0100,817:41,T,69.76,108,69.8,69.76,47--,68
TimeAndSale,LKODl:BXTR,20200727-080402.971+0100,20200727-080402+0100,968:43,T,69.75,120,69.76,69.76,32D-,68
TimeAndSale,LKODl:BXTR,20200727-080644.712+0100,20200727-080644+0100,711:45,T,69.62,292,69.84,69.68,47-5,68
TimeAndSale,LKODl:BXTR,20200727-081042.645+0100,20200727-081042+0100,642:47,T,69.7,83,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.645+0100,20200727-081042+0100,642:49,T,69.7,120,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.646+0100,20200727-081042+0100,643:51,T,69.7,83,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.647+0100,20200727-081042+0100,644:53,T,69.7,83,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.648+0100,20200727-081042+0100,645:55,T,69.7,83,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.648+0100,20200727-081042+0100,645:57,T,69.7,83,69.68,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.649+0100,20200727-081042+0100,646:59,T,69.7,83,69.68,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.650+0100,20200727-081042+0100,647:61,T,69.7,83,69.68,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081042.696+0100,20200727-081042+0100,694:63,T,69.71,120,69.7,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081053.208+0100,20200727-081053+0100,206:65,T,69.71,100,69.68,69.68,32D-,36
TimeAndSale,LKODl:BXTR,20200727-081525.090+0100,20200727-081524+0100,67,T,69.68,53,69.76,69.7,47--,68
TimeAndSale,LKODl:BXTR,20200727-082058.877+0100,20200727-082058+0100,69,T,69.66,60,69.7,69.68,47--,68
TimeAndSale,LKODl:BXTR,20200727-082607.633+0100,20200727-082607+0100,630:71,T,69.78,88,69.76,69.74,47R5,36
TimeAndSale,LKODl:BXTR,20200727-082607.634+0100,20200727-082607+0100,630:73,T,69.8,88,69.76,69.74,47R5,36
TimeAndSale,LKODl:BXTR,20200727-082617.941+0100,20200727-082617+0100,941:75,T,69.78,35,69.72,69.74,47--,36
TimeAndSale,LKODl:BXTR,20200727-082852.601+0100,20200727-082851+0100,15:77,T,69.66,97,69.72,69.74,47--,68
TimeAndSale,LKODl:BXTR,20200727-083126.650+0100,20200727-083126+0100,648:79,T,69.74,88,69.72,69.74,32D-,36
TimeAndSale,LKODl:BXTR,20200727-083126.650+0100,20200727-083126+0100,648:81,T,69.74,80,69.72,69.74,32D-,36
TimeAndSale,LKODl:BXTR,20200727-083856.307+0100,20200727-083856+0100,305:83,T,69.58,98,69.6,69.62,32D-,68
TimeAndSale,LKODl:BXTR,20200727-084026.701+0100,20200727-084026+0100,701:85,T,69.7,67,69.64,69.64,47--,36
TimeAndSale,LKODl:BXTR,20200727-084107.919+0100,20200727-084107+0100,916:87,T,69.68,74,69.64,69.66,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085016.868+0100,20200727-085016+0100,866:89,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085016.910+0100,20200727-085016+0100,908:91,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085016.911+0100,20200727-085016+0100,909:93,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085017.095+0100,20200727-085017+0100,93:95,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085017.882+0100,20200727-085017+0100,881:97,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085017.883+0100,20200727-085017+0100,881:99,T,69.73,189,69.7,69.7,32D-,36
TimeAndSale,LKODl:BXTR,20200727-085301.175+0100,20200727-085301+0100,174:101,T,69.83,86,69.84,69.84,32D-,68
TimeAndSale,LKODl:BXTR,20200727-085533.979+0100,20200727-085533+0100,103,T,69.9,231,69.92,69.94,47-5,68
TimeAndSale,LKODl:BXTR,20200727-085533.983+0100,20200727-085533+0100,105,T,69.92,231,69.92,69.94,47-5,68
TimeAndSale,LKODl:BXTR,20200727-085620.301+0100,20200727-085620+0100,299:107,T,69.93,211,69.92,69.94,32D-,68
