#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:CHIX,20200727-152928.041+0100,20200727-152928+0100,41:1449,C,69.6,43,69.56,69.6,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153050.342+0100,20200727-153050+0100,342:1451,C,69.62,56,69.54,69.62,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153100.392+0100,20200727-153100+0100,392:1453,C,69.68,258,69.56,69.68,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153100.392+0100,20200727-153100+0100,392:1455,C,69.68,86,69.56,69.68,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153343.893+0100,20200727-153343+0100,893:1457,C,69.62,29,69.52,69.62,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153357.738+0100,20200727-153357+0100,738:1459,C,69.6,176,69.6,69.62,12-H,68
TimeAndSale,LKODl:CHIX,20200727-153357.738+0100,20200727-153357+0100,738:1461,C,69.6,155,69.6,69.62,12-H,68
TimeAndSale,LKODl:CHIX,20200727-153448.774+0100,20200727-153448+0100,774:1463,C,69.62,164,69.56,69.62,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153448.774+0100,20200727-153448+0100,774:1465,C,69.62,14,69.56,69.62,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153448.774+0100,20200727-153448+0100,774:1467,C,69.62,29,69.56,69.62,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153458.557+0100,20200727-153458+0100,557:1469,C,69.62,50,69.62,69.64,12-H,68
TimeAndSale,LKODl:CHIX,20200727-153458.557+0100,20200727-153458+0100,557:1471,C,69.62,91,69.62,69.64,12-H,68
TimeAndSale,LKODl:CHIX,20200727-153505.148+0100,20200727-153505+0100,148:1473,C,69.6,213,69.52,69.6,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153548.361+0100,20200727-153548+0100,361:1475,C,69.64,29,69.6,69.64,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153713.762+0100,20200727-153713+0100,762:1477,C,69.66,29,69.64,69.66,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153713.762+0100,20200727-153713+0100,762:1479,C,69.66,29,69.64,69.66,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153751.408+0100,20200727-153751+0100,408:1481,C,69.66,29,69.66,69.7,12-H,68
TimeAndSale,LKODl:CHIX,20200727-153911.437+0100,20200727-153911+0100,437:1483,C,69.66,29,69.6,69.66,12-H,36
TimeAndSale,LKODl:CHIX,20200727-153957.818+0100,20200727-153957+0100,818:1485,C,69.74,52,69.68,69.74,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154003.549+0100,20200727-154003+0100,550:1487,C,69.74,29,69.72,69.74,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154003.919+0100,20200727-154003+0100,919:1489,C,69.78,29,69.72,69.78,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,838:1491,C,69.76,136,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,838:1493,C,69.76,64,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,838:1495,C,69.76,200,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,838:1497,C,69.76,50,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,838:1499,C,69.76,14,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,839:1501,C,69.76,11,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154022.838+0100,20200727-154022+0100,839:1503,C,69.76,94,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154102.595+0100,20200727-154102+0100,595:1505,C,69.78,255,69.72,69.78,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154102.597+0100,20200727-154102+0100,597:1507,C,69.8,500,69.72,69.8,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154102.629+0100,20200727-154102+0100,630:1509,C,69.76,58,69.76,69.82,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154102.707+0100,20200727-154102+0100,707:1511,C,69.8,170,69.76,69.8,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154109.837+0100,20200727-154109+0100,837:1513,C,69.8,188,69.8,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154149.098+0100,20200727-154149+0100,98:1515,C,69.84,133,69.82,69.84,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154149.098+0100,20200727-154149+0100,98:1517,C,69.84,192,69.82,69.84,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154149.098+0100,20200727-154149+0100,98:1519,C,69.84,50,69.82,69.84,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154313.259+0100,20200727-154313+0100,260:1521,C,69.84,57,69.84,69.88,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154313.259+0100,20200727-154313+0100,260:1523,C,69.84,50,69.84,69.88,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154337.758+0100,20200727-154337+0100,758:1525,C,69.82,186,69.8,69.82,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154337.758+0100,20200727-154337+0100,758:1527,C,69.82,29,69.8,69.82,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154337.859+0100,20200727-154337+0100,859:1529,C,69.84,29,69.8,69.84,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154421.753+0100,20200727-154421+0100,753:1531,C,69.86,121,69.84,69.86,12-H,36
TimeAndSale,LKODl:CHIX,20200727-154510.123+0100,20200727-154510+0100,123:1533,C,69.92,43,69.92,69.96,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154510.125+0100,20200727-154510+0100,125:1535,C,69.9,113,69.9,69.94,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154510.125+0100,20200727-154510+0100,125:1537,C,69.9,293,69.9,69.94,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154510.125+0100,20200727-154510+0100,125:1539,C,69.9,75,69.9,69.94,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154634.505+0100,20200727-154634+0100,506:1541,C,69.9,3,69.9,69.92,12-H,68
TimeAndSale,LKODl:CHIX,20200727-154711.795+0100,20200727-154711+0100,795:1543,C,69.9,27,69.9,69.92,12-H,68
TimeAndSale,LKODl:CHIX,20200727-155004.051+0100,20200727-155004+0100,51:1545,C,69.9,29,69.88,69.9,12-H,36
TimeAndSale,LKODl:CHIX,20200727-155004.051+0100,20200727-155004+0100,51:1547,C,69.9,50,69.88,69.9,12-H,36
