#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:CHIX,20200724-162914.563+0100,20200724-162914+0100,563:809,C,69.22,36,69.18,69.22,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080034.903+0100,20200727-080034+0100,903:1,C,69.72,10,69.72,69.92,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080046.927+0100,20200727-080046+0100,927:3,C,69.62,84,69.62,69.74,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080049.121+0100,20200727-080049+0100,121:5,C,69.58,23,69.58,69.72,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080100.767+0100,20200727-080100+0100,768:7,C,69.5,39,69.5,69.66,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080100.767+0100,20200727-080100+0100,768:9,C,69.5,161,69.5,69.66,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080100.767+0100,20200727-080100+0100,768:11,C,69.5,89,69.5,69.66,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080106.671+0100,20200727-080106+0100,671:13,C,69.52,259,69.52,69.66,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080109.691+0100,20200727-080109+0100,692:15,C,69.46,20,69.46,69.58,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080116.671+0100,20200727-080116+0100,671:17,C,69.58,132,69.5,69.58,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080117.470+0100,20200727-080117+0100,470:19,C,69.58,200,69.52,69.58,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080117.470+0100,20200727-080117+0100,470:21,C,69.58,137,69.52,69.58,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080202.645+0100,20200727-080202+0100,645:23,C,69.65,469,69.6,69.72,32DS,68
TimeAndSale,LKODl:CHIX,20200727-080304.892+0100,20200727-080304+0100,892:25,C,69.86,102,69.78,69.86,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080312.276+0100,20200727-080312+0100,277:27,C,69.76,200,69.76,69.86,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080317.797+0100,20200727-080317+0100,797:29,C,69.74,278,69.74,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080317.797+0100,20200727-080317+0100,797:31,C,69.74,122,69.74,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080328.670+0100,20200727-080328+0100,671:33,C,69.76,120,69.7,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.967+0100,20200727-080402+0100,967:35,C,69.76,6,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.967+0100,20200727-080402+0100,968:37,C,69.76,17,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.967+0100,20200727-080402+0100,968:39,C,69.76,200,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.967+0100,20200727-080402+0100,968:41,C,69.76,4,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.967+0100,20200727-080402+0100,968:43,C,69.76,30,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080402.968+0100,20200727-080402+0100,969:45,C,69.76,120,69.74,69.76,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080459.888+0100,20200727-080459+0100,888:47,C,69.84,200,69.84,69.86,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080459.889+0100,20200727-080459+0100,889:49,C,69.82,61,69.82,69.86,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080523.418+0100,20200727-080523+0100,418:51,C,69.8,200,69.8,69.86,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080529.404+0100,20200727-080529+0100,404:53,C,69.8,200,69.8,69.82,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080533.492+0100,20200727-080533+0100,492:55,C,69.8,126,69.76,69.8,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080533.492+0100,20200727-080533+0100,492:57,C,69.8,74,69.76,69.8,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080533.492+0100,20200727-080533+0100,492:59,C,69.8,32,69.76,69.8,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080639.649+0100,20200727-080639+0100,650:61,C,69.76,214,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080639.650+0100,20200727-080639+0100,650:63,C,69.76,586,69.76,69.84,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080649.120+0100,20200727-080649+0100,120:65,C,69.68,120,69.62,69.68,12-H,36
TimeAndSale,LKODl:CHIX,20200727-080654.148+0100,20200727-080654+0100,148:67,C,69.62,200,69.62,69.78,12-H,68
TimeAndSale,LKODl:CHIX,20200727-080704.627+0100,20200727-080704+0100,627:69,C,69.6,51,69.6,69.66,12-H,68
