;Íמלונ;Âנולÿ;Èםסענףלוםע;Öוםא;Êמכ-גמ;Îבתול;Îןונאצטÿ
1;5 082 838 400 000;10:00:26;LKOD [LSE_IOB];69.54;1 673;116 340.42;
2;5 082 838 400 001;10:00:28;LKOD [LSE_IOB];69.48;250;17 370.00;
3;5 082 838 400 002;10:00:28;LKOD [LSE_IOB];69.48;109;7 573.32;
4;5 082 838 400 003;10:00:28;LKOD [LSE_IOB];69.5;200;13 900.00;
5;5 082 838 400 004;10:00:28;LKOD [LSE_IOB];69.5;17;1 181.50;
6;5 082 838 400 005;10:00:28;LKOD [LSE_IOB];69.5;30;2 085.00;
7;5 082 838 400 006;10:00:28;LKOD [LSE_IOB];69.44;150;10 416.00;
8;5 082 838 400 007;10:00:28;LKOD [LSE_IOB];69.44;150;10 416.00;
9;5 082 838 400 008;10:00:28;LKOD [LSE_IOB];69.44;150;10 416.00;
10;5 082 838 400 009;10:00:28;LKOD [LSE_IOB];69.44;23;1 597.12;
11;5 082 838 400 010;10:00:28;LKOD [LSE_IOB];69.48;218;15 146.64;
12;5 082 838 400 011;10:00:28;LKOD [LSE_IOB];69.48;131;9 101.88;
13;5 082 838 400 012;10:00:28;LKOD [LSE_IOB];69.5;145;10 077.50;
14;5 082 838 400 013;10:00:28;LKOD [LSE_IOB];69.44;44;3 055.36;
15;5 082 838 400 014;10:00:28;LKOD [LSE_IOB];69.44;33;2 291.52;
16;5 082 838 400 015;10:00:32;LKOD [LSE_IOB];69.48;93;6 461.64;
17;5 082 838 400 016;10:00:32;LKOD [LSE_IOB];69.48;157;10 908.36;
18;5 082 838 400 017;10:00:32;LKOD [LSE_IOB];69.48;44;3 057.12;
19;5 082 838 400 018;10:00:32;LKOD [LSE_IOB];69.48;73;5 072.04;
20;5 082 838 400 019;10:00:32;LKOD [LSE_IOB];69.48;274;19 037.52;
21;5 082 838 400 020;10:00:32;LKOD [LSE_IOB];69.48;153;10 630.44;
22;5 082 838 400 021;10:00:32;LKOD [LSE_IOB];69.5;172;11 954.00;
23;5 082 838 400 022;10:00:32;LKOD [LSE_IOB];69.5;102;7 089.00;
24;5 082 838 400 023;10:00:32;LKOD [LSE_IOB];69.5;82;5 699.00;
25;5 082 838 400 024;10:00:32;LKOD [LSE_IOB];69.5;45;3 127.50;
26;5 082 838 400 025;10:00:32;LKOD [LSE_IOB];69.52;500;34 760.00;
27;5 082 838 400 026;10:00:32;LKOD [LSE_IOB];69.48;150;10 422.00;
28;5 082 838 400 027;10:00:32;LKOD [LSE_IOB];69.48;100;6 948.00;
29;5 082 838 400 028;10:00:32;LKOD [LSE_IOB];69.5;30;2 085.00;
30;5 082 838 400 029;10:00:33;LKOD [LSE_IOB];69.52;250;17 380.00;
31;5 082 838 400 030;10:00:33;LKOD [LSE_IOB];69.52;35;2 433.20;
32;5 082 838 400 031;10:00:33;LKOD [LSE_IOB];69.52;115;7 994.80;
33;5 082 838 400 032;10:00:33;LKOD [LSE_IOB];69.52;120;8 342.40;
34;5 082 838 400 033;10:00:33;LKOD [LSE_IOB];69.56;30;2 086.80;
35;5 082 838 400 034;10:00:33;LKOD [LSE_IOB];69.56;268;18 642.08;
36;5 082 838 400 035;10:00:33;LKOD [LSE_IOB];69.54;17;1 182.18;
37;5 082 838 400 036;10:00:33;LKOD [LSE_IOB];69.54;30;2 086.20;
38;5 082 838 400 037;10:00:33;LKOD [LSE_IOB];69.52;34;2 363.68;
39;5 082 838 400 038;10:00:33;LKOD [LSE_IOB];69.5;70;4 865.00;
