#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,LKODl:CHIX,20200729-105948.651+0100,20200729-105948+0100,652:825,C,70.32,3,70.32,70.42,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110008.927+0100,20200729-110008+0100,928:827,C,70.36,15,70.32,70.36,12-H,36
TimeAndSale,LKODl:CHIX,20200729-110148.205+0100,20200729-110148+0100,205:829,C,70.32,33,70.32,70.4,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110148.492+0100,20200729-110148+0100,492:831,C,70.3,23,70.3,70.46,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110148.703+0100,20200729-110148+0100,703:833,C,70.3,35,70.3,70.4,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110152.107+0100,20200729-110152+0100,107:835,C,70.28,22,70.22,70.28,12-H,36
TimeAndSale,LKODl:CHIX,20200729-110152.107+0100,20200729-110152+0100,107:837,C,70.28,34,70.22,70.28,12-H,36
TimeAndSale,LKODl:CHIX,20200729-110413.913+0100,20200729-110413+0100,914:839,C,70.28,17,70.28,70.42,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110414.759+0100,20200729-110414+0100,759:841,C,70.28,6,70.28,70.36,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110419.402+0100,20200729-110419+0100,403:843,C,70.28,3,70.28,70.36,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110420.561+0100,20200729-110420+0100,561:845,C,70.28,21,70.28,70.36,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110420.561+0100,20200729-110420+0100,561:847,C,70.28,11,70.28,70.36,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110645.991+0100,20200729-110645+0100,991:849,C,70.22,2,70.22,70.34,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110646.327+0100,20200729-110646+0100,327:851,C,70.22,5,70.22,70.34,12-H,68
TimeAndSale,LKODl:CHIX,20200729-110847.947+0100,20200729-110847+0100,948:853,C,70.24,2,70.24,70.34,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111049.510+0100,20200729-111049+0100,510:855,C,70.24,2,70.24,70.34,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111151.308+0100,20200729-111151+0100,308:857,C,70.24,2,70.24,70.34,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111231.806+0100,20200729-111231+0100,806:859,C,70.24,6,70.24,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111242.451+0100,20200729-111242+0100,451:861,C,70.24,48,70.24,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111242.451+0100,20200729-111242+0100,451:863,C,70.24,58,70.24,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111303.573+0100,20200729-111303+0100,573:865,C,70.22,30,70.22,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111303.938+0100,20200729-111303+0100,939:867,C,70.22,2,70.22,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111310.009+0100,20200729-111310+0100,9:869,C,70.22,19,70.22,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111310.221+0100,20200729-111310+0100,221:871,C,70.2,21,70.2,70.24,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111601.425+0100,20200729-111601+0100,425:873,C,70.18,10,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111801.771+0100,20200729-111801+0100,771:875,C,70.18,48,70.18,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111802.632+0100,20200729-111802+0100,632:877,C,70.16,75,70.16,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111802.641+0100,20200729-111802+0100,641:879,C,70.16,21,70.16,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111802.833+0100,20200729-111802+0100,834:881,C,70.16,3,70.16,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111803.540+0100,20200729-111803+0100,540:883,C,70.16,19,70.16,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-111854.436+0100,20200729-111854+0100,436:885,C,70.19,80,70.14,70.28,32DS,68
TimeAndSale,LKODl:CHIX,20200729-112101.417+0100,20200729-112101+0100,417:887,C,70.18,8,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-112101.425+0100,20200729-112101+0100,425:889,C,70.18,50,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-112319.965+0100,20200729-112319+0100,965:891,C,70.17,73,70.16,70.28,32DS,68
TimeAndSale,LKODl:CHIX,20200729-112355.984+0100,20200729-112355+0100,985:893,C,70.16,58,70.16,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-113140.585+0100,20200729-113140+0100,585:895,C,70.2,12,70.2,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-113140.591+0100,20200729-113140+0100,591:897,C,70.2,9,70.2,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-113750.610+0100,20200729-113750+0100,610:899,C,70.18,2,70.18,70.26,12-H,68
TimeAndSale,LKODl:CHIX,20200729-113753.681+0100,20200729-113753+0100,682:901,C,70.18,2,70.18,70.2,12-H,68
TimeAndSale,LKODl:CHIX,20200729-113833.600+0100,20200729-113833+0100,600:903,C,70.18,1,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114033.522+0100,20200729-114033+0100,523:905,C,70.2,50,70.2,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114033.560+0100,20200729-114033+0100,560:907,C,70.2,42,70.2,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114120.005+0100,20200729-114120+0100,5:909,C,70.2,12,70.2,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114316.918+0100,20200729-114316+0100,918:911,C,70.18,1,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114316.918+0100,20200729-114316+0100,918:913,C,70.18,16,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114316.918+0100,20200729-114316+0100,918:915,C,70.18,49,70.18,70.28,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114422.270+0100,20200729-114422+0100,271:917,C,70.2,76,70.2,70.34,32DS,68
TimeAndSale,LKODl:CHIX,20200729-114520.791+0100,20200729-114520+0100,792:919,C,70.2,56,70.18,70.2,12-H,36
TimeAndSale,LKODl:CHIX,20200729-114523.373+0100,20200729-114523+0100,373:921,C,70.18,9,70.18,70.2,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114523.373+0100,20200729-114523+0100,373:923,C,70.18,54,70.18,70.2,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114523.380+0100,20200729-114523+0100,380:925,C,70.18,4,70.18,70.2,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114537.951+0100,20200729-114537+0100,952:927,C,70.18,76,70.16,70.2,32DS,68
TimeAndSale,LKODl:CHIX,20200729-114537.951+0100,20200729-114537+0100,952:929,C,70.2,59,70.16,70.2,12-H,36
TimeAndSale,LKODl:CHIX,20200729-114537.952+0100,20200729-114537+0100,952:931,C,70.18,84,70.16,70.22,32DS,68
TimeAndSale,LKODl:CHIX,20200729-114828.632+0100,20200729-114828+0100,632:933,C,70.16,48,70.16,70.22,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114830.009+0100,20200729-114830+0100,9:935,C,70.16,27,70.16,70.22,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114835.687+0100,20200729-114835+0100,687:937,C,70.14,18,70.14,70.22,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114835.698+0100,20200729-114835+0100,698:939,C,70.14,40,70.14,70.22,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114958.763+0100,20200729-114958+0100,763:941,C,70.08,45,70.08,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114958.780+0100,20200729-114958+0100,780:943,C,70.08,13,70.08,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-114958.780+0100,20200729-114958+0100,780:945,C,70.08,45,70.08,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115011.908+0100,20200729-115011+0100,908:947,C,70.06,4,70.06,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115011.908+0100,20200729-115011+0100,908:949,C,70.06,54,70.06,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115212.665+0100,20200729-115212+0100,665:951,C,69.96,22,69.96,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115317.123+0100,20200729-115317+0100,123:953,C,69.98,3,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115324.046+0100,20200729-115324+0100,46:955,C,69.98,1,69.98,70.12,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115324.046+0100,20200729-115324+0100,46:957,C,69.98,25,69.98,70.04,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115345.518+0100,20200729-115345+0100,518:959,C,69.98,29,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115716.139+0100,20200729-115716+0100,139:961,C,69.98,44,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115716.366+0100,20200729-115716+0100,367:963,C,69.98,44,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115716.560+0100,20200729-115716+0100,560:965,C,69.98,19,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115716.772+0100,20200729-115716+0100,772:967,C,69.98,16,69.98,70.1,12-H,68
TimeAndSale,LKODl:CHIX,20200729-115903.863+0100,20200729-115903+0100,863:969,C,69.98,4,69.94,69.98,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115903.863+0100,20200729-115903+0100,863:971,C,69.98,17,69.94,69.98,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115903.863+0100,20200729-115903+0100,863:973,C,69.98,9,69.94,69.98,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115903.863+0100,20200729-115903+0100,863:975,C,69.98,42,69.94,69.98,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115937.347+0100,20200729-115937+0100,347:977,C,70.02,3,69.98,70.02,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115937.347+0100,20200729-115937+0100,347:979,C,70.02,12,69.98,70.02,12-H,36
TimeAndSale,LKODl:CHIX,20200729-115937.347+0100,20200729-115937+0100,348:981,C,70,76,69.98,70.16,32DS,68
TimeAndSale,LKODl:CHIX,20200729-115937.520+0100,20200729-115937+0100,521:983,C,70,92,70,70.14,12-H,68
