#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:BATE,20200727-152346.766+0100,20200727-152346+0100,766:683,B,27.45,94,27.35,27.46,5I--,36
TimeAndSale,MNODl:BATE,20200727-153031.123+0100,20200727-153031+0100,123:685,B,27.48,37,27.45,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-153043.128+0100,20200727-153043+0100,128:687,B,27.48,182,27.45,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-153308.139+0100,20200727-153308+0100,140:689,B,27.5,39,27.49,27.5,12-H,36
TimeAndSale,MNODl:BATE,20200727-153338.141+0100,20200727-153338+0100,141:691,B,27.5,40,27.49,27.5,12-H,36
TimeAndSale,MNODl:BATE,20200727-153341.960+0100,20200727-153341+0100,960:693,B,27.49,20,27.49,27.5,12-H,68
TimeAndSale,MNODl:BATE,20200727-154740.390+0100,20200727-154740+0100,390:695,B,27.53,500,27.53,27.56,12-H,68
TimeAndSale,MNODl:BATE,20200727-154748.547+0100,20200727-154748+0100,547:697,B,27.53,333,27.53,27.56,12-H,68
TimeAndSale,MNODl:BATE,20200727-154956.708+0100,20200727-154956+0100,708:699,B,27.53,100,27.53,27.56,12-H,68
TimeAndSale,MNODl:BATE,20200727-155439.831+0100,20200727-155439+0100,831:701,B,27.52,10,27.52,27.54,12-H,68
TimeAndSale,MNODl:BATE,20200727-155441.010+0100,20200727-155441+0100,10:703,B,27.52,312,27.52,27.55,32DS,68
TimeAndSale,MNODl:BATE,20200727-155441.010+0100,20200727-155441+0100,10:705,B,27.52,4,27.52,27.55,12--,68
TimeAndSale,MNODl:BATE,20200727-155613.899+0100,20200727-155613+0100,899:707,B,27.55,53,27.52,27.55,12-H,36
TimeAndSale,MNODl:BATE,20200727-160103.628+0100,20200727-160103+0100,628:709,B,27.36,100,27.52,27.55,45-3,64
TimeAndSale,MNODl:BATE,20200727-160103.628+0100,20200727-160103+0100,628:711,B,27.368,500,27.52,27.55,45-3,64
TimeAndSale,MNODl:BATE,20200727-160459.266+0100,20200727-160459+0100,267:713,B,27.52,10,27.52,27.57,12-H,68
TimeAndSale,MNODl:BATE,20200727-160622.418+0100,20200727-160622+0100,418:715,B,27.51,100,27.51,27.57,12-H,68
TimeAndSale,MNODl:BATE,20200727-160815.708+0100,20200727-160815+0100,708:717,B,27.52,1105,27.5,27.52,12-H,36
TimeAndSale,MNODl:BATE,20200727-161028.336+0100,20200727-161028+0100,336:719,B,27.53,258,27.51,27.53,12-H,36
TimeAndSale,MNODl:BATE,20200727-161038.403+0100,20200727-161038+0100,403:721,B,27.51,124,27.51,27.55,12-H,68
TimeAndSale,MNODl:BATE,20200727-161128.430+0100,20200727-161128+0100,430:723,B,27.5,136,27.5,27.53,12-H,68
TimeAndSale,MNODl:BATE,20200727-161407.797+0100,20200727-161407+0100,797:725,B,27.5,100,27.5,27.51,12-H,68
TimeAndSale,MNODl:BATE,20200727-161518.377+0100,20200727-161518+0100,377:727,B,27.49,256,27.38,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161526.361+0100,20200727-161526+0100,361:729,B,27.49,250,27.39,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161534.366+0100,20200727-161534+0100,366:731,B,27.49,253,27.48,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161534.366+0100,20200727-161534+0100,366:733,B,27.49,600,27.48,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161534.420+0100,20200727-161534+0100,420:735,B,27.49,329,27.48,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161559.363+0100,20200727-161559+0100,363:737,B,27.49,253,27.48,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161607.371+0100,20200727-161607+0100,371:739,B,27.49,263,27.48,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161615.086+0100,20200727-161615+0100,86:741,B,27.48,13,27.48,27.49,12-H,68
TimeAndSale,MNODl:BATE,20200727-161622.371+0100,20200727-161622+0100,371:743,B,27.48,46,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-161630.366+0100,20200727-161630+0100,366:745,B,27.48,5,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-161638.371+0100,20200727-161638+0100,371:747,B,27.48,51,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-161646.373+0100,20200727-161646+0100,373:749,B,27.48,51,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-161648.512+0100,20200727-161648+0100,512:751,B,27.47,113,27.47,27.48,12-H,68
TimeAndSale,MNODl:BATE,20200727-161724.374+0100,20200727-161724+0100,375:753,B,27.49,63,27.45,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161737.372+0100,20200727-161737+0100,372:755,B,27.49,282,27.45,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-161737.381+0100,20200727-161737+0100,381:757,B,27.49,155,27.45,27.49,12-H,36
TimeAndSale,MNODl:BATE,20200727-162036.548+0100,20200727-162036+0100,548:759,B,27.475,268,27.45,27.5,5I--,36
TimeAndSale,MNODl:BATE,20200727-162057.390+0100,20200727-162057+0100,390:761,B,27.48,81,27.39,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162104.396+0100,20200727-162104+0100,397:763,B,27.48,81,27.39,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162126.396+0100,20200727-162126+0100,396:765,B,27.48,81,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162133.395+0100,20200727-162133+0100,395:767,B,27.48,81,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162147.609+0100,20200727-162147+0100,610:769,B,27.475,668,27.47,27.48,5I--,36
TimeAndSale,MNODl:BATE,20200727-162155.397+0100,20200727-162155+0100,397:771,B,27.48,81,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162202.397+0100,20200727-162202+0100,398:773,B,27.48,81,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162205.764+0100,20200727-162205+0100,764:775,B,27.48,81,27.47,27.48,12-H,36
TimeAndSale,MNODl:BATE,20200727-162321.831+0100,20200727-162321+0100,831:777,B,27.47,78,27.44,27.47,12-H,36
TimeAndSale,MNODl:BATE,20200727-162714.553+0100,20200727-162714+0100,553:779,B,27.49,15,27.49,27.51,12-H,68
TimeAndSale,MNODl:BATE,20200727-162918.403+0100,20200727-162918+0100,403:781,B,27.51,35,27.48,27.51,12-H,36
