#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:BATE,20200724-173030.952+0100,20200724-133030+0100,874:605,B,26.1797,855,26.45,27.53,45-3,64
TimeAndSale,MNODl:BATE,20200727-080134.610+0100,20200727-080134+0100,611:1,B,26.79,400,26.79,26.85,12-H,68
TimeAndSale,MNODl:BATE,20200727-080148.450+0100,20200727-080148+0100,450:3,B,26.84,245,26.78,26.84,12-H,36
TimeAndSale,MNODl:BATE,20200727-081040.058+0100,20200727-081040+0100,59:5,B,27.02,250,26.96,27.02,12-H,36
TimeAndSale,MNODl:BATE,20200727-081142.584+0100,20200727-081142+0100,584:7,B,26.8074,1575,26.88,27.01,45-3,64
TimeAndSale,MNODl:BATE,20200727-081142.586+0100,20200727-081142+0100,586:9,B,26.8621,1445,26.88,27.01,45-3,64
TimeAndSale,MNODl:BATE,20200727-081207.309+0100,20200727-081207+0100,310:11,B,26.99,92,26.88,27.01,5I--,36
TimeAndSale,MNODl:BATE,20200727-081223.603+0100,20200727-081223+0100,603:13,B,26.99,250,26.94,26.99,12-H,36
TimeAndSale,MNODl:BATE,20200727-081226.301+0100,20200727-081226+0100,301:15,B,27.02,250,26.98,27.02,12-H,36
TimeAndSale,MNODl:BATE,20200727-081501.139+0100,20200727-081501+0100,139:17,B,26.97,92,26.88,26.98,5I--,36
TimeAndSale,MNODl:BATE,20200727-081628.702+0100,20200727-081628+0100,702:19,B,26.98,250,26.93,26.98,12-H,36
TimeAndSale,MNODl:BATE,20200727-082025.270+0100,20200727-082025+0100,270:21,B,26.91,104,26.89,26.94,5I--,68
TimeAndSale,MNODl:BATE,20200727-082505.479+0100,20200727-082505+0100,479:23,B,27.01,182,26.96,27.02,45-3,32
TimeAndSale,MNODl:BATE,20200727-082614.096+0100,20200727-082614+0100,96:25,B,27.025,92,26.91,27.04,5I--,36
TimeAndSale,MNODl:BATE,20200727-082823.758+0100,20200727-082823+0100,759:27,B,27.02,132,27.02,27.03,12-H,68
TimeAndSale,MNODl:BATE,20200727-083134.318+0100,20200727-083134+0100,318:29,B,26.96,92,26.94,26.98,5I--,68
TimeAndSale,MNODl:BATE,20200727-083137.491+0100,20200727-083137+0100,491:31,B,26.96,99,26.94,26.98,5I--,68
TimeAndSale,MNODl:BATE,20200727-083215.182+0100,20200727-083215+0100,183:33,B,26.95,318,26.95,26.98,12-H,68
TimeAndSale,MNODl:BATE,20200727-083546.604+0100,20200727-083546+0100,605:35,B,26.9,99,26.88,26.91,5I--,36
TimeAndSale,MNODl:BATE,20200727-084537.314+0100,20200727-084537+0100,314:37,B,26.93,250,26.89,26.93,12-H,36
TimeAndSale,MNODl:BATE,20200727-084556.839+0100,20200727-084556+0100,840:39,B,26.95,250,26.89,26.95,12-H,36
TimeAndSale,MNODl:BATE,20200727-084656.940+0100,20200727-084656+0100,941:41,B,26.97,250,26.89,26.97,12-H,36
TimeAndSale,MNODl:BATE,20200727-085113.794+0100,20200727-085113+0100,794:43,B,26.95,83,26.95,26.98,12-H,68
TimeAndSale,MNODl:BATE,20200727-085642.304+0100,20200727-085642+0100,304:45,B,26.99,100,26.84,26.96,45-3,32
