#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:BXTR,20200727-152956.254+0100,20200727-152950+0100,429:351,T,26.301,1328,27.45,27.48,46--,68
TimeAndSale,MNODl:BXTR,20200727-153000.749+0100,20200727-152957+0100,581:353,T,26.301,46882,27.45,27.48,46--,68
TimeAndSale,MNODl:BXTR,20200727-153248.977+0100,20200727-153248+0100,375:355,T,27.5,2000,27.49,27.5,46--,36
TimeAndSale,MNODl:BXTR,20200727-154442.137+0100,20200727-154441+0100,357,T,27.52,571,27.51,27.53,47-5,36
TimeAndSale,MNODl:BXTR,20200727-155021.372+0100,20200727-155021+0100,372:359,T,27.55,300,27.54,27.55,47--,36
TimeAndSale,MNODl:BXTR,20200727-155021.374+0100,20200727-155021+0100,373:361,T,27.55,300,27.54,27.55,47--,36
TimeAndSale,MNODl:BXTR,20200727-155052.469+0100,20200727-155052+0100,469:363,T,27.54,300,27.53,27.54,47--,36
TimeAndSale,MNODl:BXTR,20200727-155308.696+0100,20200727-155308+0100,696:365,T,27.54,200,27.53,27.54,47--,36
TimeAndSale,MNODl:BXTR,20200727-155433.214+0100,20200727-155432+0100,367,T,27.53,379,27.52,27.53,47--,36
TimeAndSale,MNODl:BXTR,20200727-155613.922+0100,20200727-155613+0100,922:369,T,27.55,130,27.52,27.55,47--,36
TimeAndSale,MNODl:BXTR,20200727-160354.430+0100,20200727-160350+0100,328:371,T,27.52,1022,27.52,27.53,47-5,68
TimeAndSale,MNODl:BXTR,20200727-160629.400+0100,20200727-160621+0100,757:373,T,27.5,1158,27.5,27.52,47-5,68
TimeAndSale,MNODl:BXTR,20200727-160757.760+0100,20200727-160757+0100,759:375,T,27.52,2500,27.5,27.52,47-5,36
TimeAndSale,MNODl:BXTR,20200727-160815.754+0100,20200727-160815+0100,751:377,T,27.52,376,27.51,27.53,32D-,36
TimeAndSale,MNODl:BXTR,20200727-160832.927+0100,20200727-160832+0100,926:379,T,27.53,1000,27.51,27.53,47-5,36
TimeAndSale,MNODl:BXTR,20200727-161038.405+0100,20200727-161038+0100,403:381,T,27.515,295,27.52,27.52,32D-,68
TimeAndSale,MNODl:BXTR,20200727-161038.406+0100,20200727-161038+0100,404:383,T,27.515,375,27.51,27.52,32D-,68
TimeAndSale,MNODl:BXTR,20200727-161041.941+0100,20200727-161038+0100,455:385,T,27.51,1309,27.51,27.52,47-5,68
TimeAndSale,MNODl:BXTR,20200727-161045.050+0100,20200727-161042+0100,198:387,T,27.51,682,27.51,27.53,47-5,68
TimeAndSale,MNODl:BXTR,20200727-161101.716+0100,20200727-161031+0100,389,T,27.52,541,27.5,27.52,47--,36
TimeAndSale,MNODl:BXTR,20200727-161112.267+0100,20200727-161101+0100,290:391,T,27.5,1092,27.5,27.52,47-5,68
TimeAndSale,MNODl:BXTR,20200727-161114.029+0100,20200727-161042+0100,297:393,T,27.52,541,27.5,27.52,47--,36
TimeAndSale,MNODl:BXTR,20200727-161354.847+0100,20200727-161344+0100,855:395,T,27.5,32046,27.49,27.51,47-5,36
TimeAndSale,MNODl:BXTR,20200727-161358.777+0100,20200727-161344+0100,919:397,T,27.51,369,27.5,27.51,47R-,36
TimeAndSale,MNODl:BXTR,20200727-161414.016+0100,20200727-161408+0100,30:399,T,27.5,176,27.49,27.51,47--,36
TimeAndSale,MNODl:BXTR,20200727-161824.074+0100,20200727-161657+0100,144:401,T,27.47,542,27.46,27.48,47--,36
TimeAndSale,MNODl:BXTR,20200727-162221.836+0100,20200727-162221+0100,836:403,T,27.49,274,27.47,27.49,47--,36
TimeAndSale,MNODl:BXTR,20200727-162229.544+0100,20200727-162147+0100,446:405,T,27.47,526,27.48,27.49,47-5,68
TimeAndSale,MNODl:BXTR,20200727-162637.090+0100,20200727-162624+0100,469:407,T,27.49,124,27.49,27.51,47--,68
TimeAndSale,MNODl:BXTR,20200727-162826.112+0100,20200727-162755+0100,576:409,T,27.48,325,27.49,27.5,47--,68
TimeAndSale,MNODl:BXTR,20200727-162858.771+0100,20200727-162823+0100,684:411,T,27.49,225,27.49,27.5,47--,68
TimeAndSale,MNODl:BXTR,20200727-162903.130+0100,20200727-162903+0100,130:413,T,27.5,1099,27.49,27.5,47-5,36
TimeAndSale,MNODl:BXTR,20200727-162945.279+0100,20200727-162945+0100,279:415,T,27.51,191,27.48,27.51,47--,36
