#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:BXTR,20200727-071655.303+0100,20200724-164900+0100,35,T,26.27474,1232,26.43,26.43,47-5,68
TimeAndSale,MNODl:BXTR,20200727-080033.122+0100,20200727-080029+0100,391:37,T,26.75,2692,26.76,26.56,47--,36
TimeAndSale,MNODl:BXTR,20200727-080141.946+0100,20200727-080141+0100,947:39,T,26.82,100,26.79,26.82,47--,36
TimeAndSale,MNODl:BXTR,20200727-080530.386+0100,20200727-080530+0100,382:41,T,26.88,22741,26.86,26.9,32D-,36
TimeAndSale,MNODl:BXTR,20200727-081706.234+0100,20200727-081706+0100,43,T,26.97,1426,26.96,26.98,47-5,36
TimeAndSale,MNODl:BXTR,20200727-081712.906+0100,20200727-081712+0100,907:45,T,26.96,180,26.96,26.96,47--,36
TimeAndSale,MNODl:BXTR,20200727-081846.359+0100,20200727-081846+0100,47,T,26.94,681,26.94,26.95,47-5,68
TimeAndSale,MNODl:BXTR,20200727-082047.872+0100,20200727-082047+0100,49,T,26.89,56,26.89,26.89,47R-,68
TimeAndSale,MNODl:BXTR,20200727-082222.013+0100,20200727-082221+0100,51,T,26.87,55,26.88,26.89,47R-,68
TimeAndSale,MNODl:BXTR,20200727-082443.856+0100,20200727-082443+0100,53,T,26.99,55,26.98,26.99,47--,36
TimeAndSale,MNODl:BXTR,20200727-082546.934+0100,20200727-082546+0100,55,T,27.04,54,27.03,27.04,47--,36
TimeAndSale,MNODl:BXTR,20200727-082823.759+0100,20200727-082823+0100,759:57,T,27.02,141,27.02,27.02,47--,36
TimeAndSale,MNODl:BXTR,20200727-082954.461+0100,20200727-082954+0100,59,T,26.97,107,26.97,26.97,47R-,36
TimeAndSale,MNODl:BXTR,20200727-083153.414+0100,20200727-083153+0100,61,T,26.95,54,26.95,26.95,47R-,36
TimeAndSale,MNODl:BXTR,20200727-083219.544+0100,20200727-083219+0100,63,T,26.93,52,26.93,26.93,47R-,36
TimeAndSale,MNODl:BXTR,20200727-083736.649+0100,20200727-083736+0100,649:65,T,26.87,500,26.85,26.87,47-5,36
TimeAndSale,MNODl:BXTR,20200727-084311.773+0100,20200727-084311+0100,67,T,26.91,309,26.91,26.91,47R-,36
TimeAndSale,MNODl:BXTR,20200727-084557.023+0100,20200727-084556+0100,69,T,26.94,101,26.93,26.95,47R-,36
TimeAndSale,MNODl:BXTR,20200727-084748.129+0100,20200727-084748+0100,71,T,26.96,49,26.96,26.97,47R-,68
TimeAndSale,MNODl:BXTR,20200727-085113.797+0100,20200727-085113+0100,795:73,T,26.955,67,26.95,26.96,32D-,68
TimeAndSale,MNODl:BXTR,20200727-085114.010+0100,20200727-085113+0100,75,T,26.95,65,26.95,26.95,47R-,68
TimeAndSale,MNODl:BXTR,20200727-085114.014+0100,20200727-085113+0100,77,T,26.95,33,26.95,26.95,47R-,68
