#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:CHIX,20200727-105837.724+0100,20200727-105837+0100,725:933,C,27.3,73,27.3,27.37,12-H,68
TimeAndSale,MNODl:CHIX,20200727-110046.573+0100,20200727-110046+0100,574:935,C,27.31,35,27.31,27.32,12-H,68
TimeAndSale,MNODl:CHIX,20200727-110046.573+0100,20200727-110046+0100,574:937,C,27.31,74,27.31,27.32,12-H,68
TimeAndSale,MNODl:CHIX,20200727-110125.405+0100,20200727-110125+0100,405:939,C,27.32,94,27.29,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110125.405+0100,20200727-110125+0100,405:941,C,27.32,357,27.29,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110125.406+0100,20200727-110125+0100,406:943,C,27.33,73,27.29,27.33,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110125.622+0100,20200727-110125+0100,623:945,C,27.33,59,27.29,27.33,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110125.622+0100,20200727-110125+0100,623:947,C,27.33,14,27.29,27.33,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110212.411+0100,20200727-110212+0100,411:949,C,27.32,73,27.31,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110212.691+0100,20200727-110212+0100,691:951,C,27.32,73,27.31,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110222.381+0100,20200727-110222+0100,382:953,C,27.31,100,27.31,27.32,12--,68
TimeAndSale,MNODl:CHIX,20200727-110222.651+0100,20200727-110222+0100,651:955,C,27.32,73,27.29,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110227.359+0100,20200727-110227+0100,359:957,C,27.31,128,27.31,27.33,12-H,68
TimeAndSale,MNODl:CHIX,20200727-110232.963+0100,20200727-110232+0100,963:959,C,27.32,73,27.29,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110233.284+0100,20200727-110233+0100,284:961,C,27.32,73,27.29,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110312.294+0100,20200727-110312+0100,294:963,C,27.32,73,27.31,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110312.556+0100,20200727-110312+0100,556:965,C,27.33,19,27.31,27.33,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110312.556+0100,20200727-110312+0100,556:967,C,27.32,73,27.31,27.32,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110411.933+0100,20200727-110411+0100,933:969,C,27.35,73,27.31,27.35,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110448.048+0100,20200727-110448+0100,49:971,C,27.35,73,27.3,27.35,12-H,36
TimeAndSale,MNODl:CHIX,20200727-110458.158+0100,20200727-110458+0100,158:973,C,27.36,73,27.33,27.36,12-H,36
