#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:CHIX,20200727-152953.767+0100,20200727-152953+0100,767:3021,C,27.47,66,27.45,27.47,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153043.128+0100,20200727-153043+0100,128:3023,C,27.48,71,27.45,27.48,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153043.227+0100,20200727-153043+0100,227:3025,C,27.48,111,27.46,27.48,12--,36
TimeAndSale,MNODl:CHIX,20200727-153100.156+0100,20200727-153100+0100,156:3027,C,27.49,139,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153100.156+0100,20200727-153100+0100,156:3029,C,27.49,73,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153109.853+0100,20200727-153109+0100,853:3031,C,27.49,73,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153110.156+0100,20200727-153110+0100,157:3033,C,27.49,285,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153113.684+0100,20200727-153113+0100,684:3035,C,27.49,73,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153114.025+0100,20200727-153114+0100,25:3037,C,27.49,116,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153114.041+0100,20200727-153114+0100,41:3039,C,27.49,9,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153114.473+0100,20200727-153114+0100,474:3041,C,27.49,198,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153117.204+0100,20200727-153117+0100,204:3043,C,27.49,73,27.48,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153118.254+0100,20200727-153118+0100,254:3045,C,27.49,434,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153136.296+0100,20200727-153136+0100,296:3047,C,27.49,241,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153136.296+0100,20200727-153136+0100,296:3049,C,27.49,97,27.49,27.5,12--,68
TimeAndSale,MNODl:CHIX,20200727-153136.296+0100,20200727-153136+0100,296:3051,C,27.49,162,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153136.599+0100,20200727-153136+0100,599:3053,C,27.49,145,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153136.599+0100,20200727-153136+0100,599:3055,C,27.49,355,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153240.136+0100,20200727-153240+0100,136:3057,C,27.5,82,27.49,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153240.136+0100,20200727-153240+0100,136:3059,C,27.5,73,27.49,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153254.138+0100,20200727-153254+0100,139:3061,C,27.5,73,27.49,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153341.959+0100,20200727-153341+0100,959:3063,C,27.49,252,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153341.959+0100,20200727-153341+0100,959:3065,C,27.49,267,27.49,27.5,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153428.813+0100,20200727-153428+0100,813:3067,C,27.48,72,27.47,27.48,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153445.903+0100,20200727-153445+0100,903:3069,C,27.49,73,27.47,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153459.185+0100,20200727-153459+0100,185:3071,C,27.49,73,27.47,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153507.043+0100,20200727-153507+0100,43:3073,C,27.48,73,27.47,27.48,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153509.939+0100,20200727-153509+0100,939:3075,C,27.48,73,27.47,27.48,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153542.039+0100,20200727-153542+0100,39:3077,C,27.49,73,27.47,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153542.303+0100,20200727-153542+0100,303:3079,C,27.49,73,27.47,27.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153543.999+0100,20200727-153544+0100,3081,C,27.5,82,27.47,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153543.999+0100,20200727-153544+0100,3083,C,27.5,73,27.47,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153545.230+0100,20200727-153545+0100,230:3085,C,27.5,242,27.47,27.5,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153545.230+0100,20200727-153545+0100,230:3087,C,27.5,73,27.47,27.5,12--,36
TimeAndSale,MNODl:CHIX,20200727-153608.594+0100,20200727-153608+0100,595:3089,C,27.51,73,27.5,27.51,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153608.594+0100,20200727-153608+0100,595:3091,C,27.51,112,27.5,27.51,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153613.386+0100,20200727-153613+0100,386:3093,C,27.51,89,27.5,27.51,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153613.386+0100,20200727-153613+0100,386:3095,C,27.51,118,27.5,27.51,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153837.536+0100,20200727-153837+0100,536:3097,C,27.52,119,27.52,27.53,12-H,68
TimeAndSale,MNODl:CHIX,20200727-153924.742+0100,20200727-153924+0100,742:3099,C,27.53,73,27.52,27.53,12-H,36
TimeAndSale,MNODl:CHIX,20200727-153936.411+0100,20200727-153936+0100,412:3101,C,27.53,184,27.52,27.53,12-H,36
TimeAndSale,MNODl:CHIX,20200727-154101.917+0100,20200727-154101+0100,917:3103,C,27.53,146,27.53,27.54,12-H,68
TimeAndSale,MNODl:CHIX,20200727-154101.917+0100,20200727-154101+0100,917:3105,C,27.53,454,27.53,27.54,12-H,68
TimeAndSale,MNODl:CHIX,20200727-154101.917+0100,20200727-154101+0100,917:3107,C,27.53,6,27.53,27.54,12-H,68
TimeAndSale,MNODl:CHIX,20200727-154101.917+0100,20200727-154101+0100,917:3109,C,27.53,11,27.53,27.54,12-H,68
