#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,MNODl:CHIX,20200724-162955.091+0100,20200724-162955+0100,91:3693,C,26.49,11,26.46,26.49,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080042.473+0100,20200727-080042+0100,473:1,C,26.76,151,26.76,26.8,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080053.604+0100,20200727-080053+0100,605:3,C,26.78,903,26.73,26.78,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080134.610+0100,20200727-080134+0100,611:5,C,26.79,400,26.79,26.82,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080145.040+0100,20200727-080145+0100,40:7,C,26.82,1565,26.78,26.82,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080145.040+0100,20200727-080145+0100,40:9,C,26.83,404,26.78,26.83,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080148.450+0100,20200727-080148+0100,450:11,C,26.84,400,26.78,26.84,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080159.219+0100,20200727-080159+0100,219:13,C,26.8,63,26.8,26.86,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080259.706+0100,20200727-080259+0100,706:15,C,26.89,103,26.89,26.94,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080503.188+0100,20200727-080503+0100,189:17,C,26.9,145,26.9,26.94,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080544.295+0100,20200727-080544+0100,296:19,C,26.89,326,26.86,26.89,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080544.295+0100,20200727-080544+0100,296:21,C,26.89,97,26.86,26.89,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080634.094+0100,20200727-080634+0100,94:23,C,26.9,96,26.9,26.96,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080704.626+0100,20200727-080704+0100,626:25,C,26.9,121,26.9,26.94,12-H,68
TimeAndSale,MNODl:CHIX,20200727-080827.044+0100,20200727-080827+0100,44:27,C,26.94,654,26.93,26.94,12-H,36
TimeAndSale,MNODl:CHIX,20200727-080959.549+0100,20200727-080959+0100,550:29,C,26.96,176,26.95,26.98,32DS,68
TimeAndSale,MNODl:CHIX,20200727-081040.058+0100,20200727-081040+0100,59:31,C,27.02,250,26.99,27.02,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081052.590+0100,20200727-081052+0100,590:33,C,27.02,176,27.02,27.05,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081059.244+0100,20200727-081059+0100,244:35,C,27.02,19,27.02,27.05,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081142.145+0100,20200727-081142+0100,145:37,C,26.98,600,26.98,27.01,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081142.145+0100,20200727-081142+0100,145:39,C,26.98,227,26.98,27.01,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081200.928+0100,20200727-081200+0100,928:41,C,27,172,27,27.02,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081200.928+0100,20200727-081200+0100,928:43,C,27,897,27,27.02,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081214.065+0100,20200727-081214+0100,65:45,C,26.96,98,26.96,27.01,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081223.603+0100,20200727-081223+0100,603:47,C,26.99,250,26.96,26.99,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081223.727+0100,20200727-081223+0100,727:49,C,26.99,59,26.99,27.02,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081233.776+0100,20200727-081233+0100,776:51,C,27.03,200,27,27.03,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081239.625+0100,20200727-081239+0100,625:53,C,27.02,92,27.01,27.02,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081239.625+0100,20200727-081239+0100,625:55,C,27.02,711,27.01,27.02,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081239.692+0100,20200727-081239+0100,692:57,C,27.03,74,27.01,27.03,12-H,36
TimeAndSale,MNODl:CHIX,20200727-081301.946+0100,20200727-081301+0100,947:59,C,27.01,58,27.01,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081301.946+0100,20200727-081301+0100,947:61,C,27.01,92,27.01,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081320.776+0100,20200727-081320+0100,776:63,C,27.02,70,27.02,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081334.915+0100,20200727-081334+0100,915:65,C,27.01,70,27.01,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081334.915+0100,20200727-081334+0100,915:67,C,27.01,58,27.01,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081334.915+0100,20200727-081334+0100,915:69,C,27.01,952,27.01,27.03,12-H,68
TimeAndSale,MNODl:CHIX,20200727-081334.915+0100,20200727-081334+0100,915:71,C,27.01,92,27.01,27.03,12-H,68
