#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SBERl:CHIX,20200727-105722.869+0100,20200727-105722+0100,870:1047,C,12.16,480,12.155,12.16,32DS,36
TimeAndSale,SBERl:CHIX,20200727-110118.179+0100,20200727-110118+0100,179:1049,C,12.16,23,12.155,12.16,12-H,36
TimeAndSale,SBERl:CHIX,20200727-110118.179+0100,20200727-110118+0100,179:1051,C,12.16,12,12.155,12.16,12-H,36
TimeAndSale,SBERl:CHIX,20200727-110534.954+0100,20200727-110534+0100,954:1053,C,12.16,119,12.16,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110534.954+0100,20200727-110534+0100,954:1055,C,12.16,321,12.16,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110534.954+0100,20200727-110534+0100,954:1057,C,12.1625,415,12.155,12.17,32DS,68
TimeAndSale,SBERl:CHIX,20200727-110542.426+0100,20200727-110542+0100,426:1059,C,12.1575,934,12.155,12.165,32DS,68
TimeAndSale,SBERl:CHIX,20200727-110801.257+0100,20200727-110801+0100,257:1061,C,12.165,164,12.165,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110801.257+0100,20200727-110801+0100,257:1063,C,12.165,158,12.165,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110801.257+0100,20200727-110801+0100,257:1065,C,12.165,108,12.165,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110825.817+0100,20200727-110825+0100,818:1067,C,12.1625,488,12.16,12.17,32DS,68
TimeAndSale,SBERl:CHIX,20200727-110825.817+0100,20200727-110825+0100,818:1069,C,12.16,164,12.16,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110825.817+0100,20200727-110825+0100,818:1071,C,12.16,158,12.16,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-110825.817+0100,20200727-110825+0100,818:1073,C,12.16,47,12.16,12.17,12-H,68
TimeAndSale,SBERl:CHIX,20200727-111138.408+0100,20200727-111138+0100,408:1075,C,12.155,92,12.155,12.165,12-H,68
TimeAndSale,SBERl:CHIX,20200727-111138.408+0100,20200727-111138+0100,408:1077,C,12.155,13,12.155,12.165,12-H,68
TimeAndSale,SBERl:CHIX,20200727-111138.432+0100,20200727-111138+0100,433:1079,C,12.1575,456,12.155,12.16,32DS,68
TimeAndSale,SBERl:CHIX,20200727-111138.432+0100,20200727-111138+0100,433:1081,C,12.155,89,12.155,12.16,12-H,68
TimeAndSale,SBERl:CHIX,20200727-111138.433+0100,20200727-111138+0100,433:1083,C,12.155,292,12.155,12.16,12-H,68
TimeAndSale,SBERl:CHIX,20200727-111138.433+0100,20200727-111138+0100,433:1085,C,12.155,164,12.155,12.16,12-H,68
