;Íמלונ;Âנולÿ;Èםסענףלוםע;Öוםא;Êמכ-גמ;Îבתול;Îןונאצטÿ
1;240 805 900 800 000;10:00:19;SBER [LSE_IOB];11.9;241;2 867.90;
2;240 805 900 800 001;10:00:38;SBER [LSE_IOB];11.885;394;4 682.69;
3;240 805 900 800 002;10:00:38;SBER [LSE_IOB];11.885;448;5 324.48;
4;240 805 900 800 003;10:00:38;SBER [LSE_IOB];11.885;10;118.85;
5;240 805 900 800 004;10:00:38;SBER [LSE_IOB];11.885;164;1 949.14;
6;240 805 900 800 005;10:00:38;SBER [LSE_IOB];11.885;1 226;14 571.01;
7;240 805 900 800 006;10:00:38;SBER [LSE_IOB];11.885;653;7 760.91;
8;240 805 900 800 007;10:00:40;SBER [LSE_IOB];11.89;282;3 352.98;
9;240 805 900 800 008;10:00:41;SBER [LSE_IOB];11.895;360;4 282.20;
10;240 805 900 800 009;10:00:47;SBER [LSE_IOB];11.9;140;1 666.00;
11;240 805 900 800 010;10:00:47;SBER [LSE_IOB];11.9;282;3 355.80;
12;240 805 900 800 011;10:00:58;SBER [LSE_IOB];11.895;647;7 696.07;
13;240 805 900 800 012;10:00:58;SBER [LSE_IOB];11.895;562;6 684.99;
14;240 805 900 800 013;10:01:20;SBER [LSE_IOB];11.91;1 808;21 533.28;
15;240 805 900 800 014;10:01:43;SBER [LSE_IOB];11.915;308;3 669.82;
16;240 805 900 800 015;10:01:48;SBER [LSE_IOB];11.91;301;3 584.91;
17;240 805 900 800 016;10:01:54;SBER [LSE_IOB];11.905;241;2 869.11;
18;240 805 900 800 017;10:01:54;SBER [LSE_IOB];11.905;1 408;16 762.24;
19;240 805 900 800 018;10:01:54;SBER [LSE_IOB];11.905;557;6 631.09;
20;240 805 900 800 019;10:02:05;SBER [LSE_IOB];11.905;604;7 190.62;
21;240 805 900 800 020;10:02:05;SBER [LSE_IOB];11.905;444;5 285.82;
22;240 805 900 800 021;10:02:05;SBER [LSE_IOB];11.91;700;8 337.00;
23;240 805 900 800 022;10:02:06;SBER [LSE_IOB];11.91;700;8 337.00;
24;240 805 900 800 023;10:02:07;SBER [LSE_IOB];11.915;165;1 965.98;
25;240 805 900 800 024;10:02:07;SBER [LSE_IOB];11.915;288;3 431.52;
26;240 805 900 800 025;10:02:16;SBER [LSE_IOB];11.91;700;8 337.00;
27;240 805 900 800 026;10:02:26;SBER [LSE_IOB];11.91;700;8 337.00;
28;240 805 900 800 027;10:02:27;SBER [LSE_IOB];11.905;385;4 583.43;
29;240 805 900 800 028;10:02:27;SBER [LSE_IOB];11.905;758;9 023.99;
30;240 805 900 800 029;10:02:27;SBER [LSE_IOB];11.905;422;5 023.91;
31;240 805 900 800 030;10:02:27;SBER [LSE_IOB];11.905;154;1 833.37;
32;240 805 900 800 031;10:02:57;SBER [LSE_IOB];11.905;127;1 511.94;
33;240 805 900 800 032;10:02:57;SBER [LSE_IOB];11.905;125;1 488.13;
