#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SBERl:CHIX,20200729-152950.309+0100,20200729-152950+0100,309:3357,C,12.075,25,12.07,12.075,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.291+0100,20200729-153000+0100,291:3359,C,12.075,111,12.07,12.075,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.291+0100,20200729-153000+0100,291:3361,C,12.075,142,12.07,12.075,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3363,C,12.08,106,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3365,C,12.08,167,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3367,C,12.08,167,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3369,C,12.08,167,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3371,C,12.08,167,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3373,C,12.08,241,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153000.420+0100,20200729-153000+0100,421:3375,C,12.08,380,12.075,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153251.071+0100,20200729-153251+0100,71:3377,C,12.08,167,12.07,12.08,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153251.971+0100,20200729-153251+0100,971:3379,C,12.08,1430,12.08,12.085,12-H,68
TimeAndSale,SBERl:CHIX,20200729-153347.574+0100,20200729-153347+0100,574:3381,C,12.07,202,12.07,12.08,12-H,68
TimeAndSale,SBERl:CHIX,20200729-153347.574+0100,20200729-153347+0100,574:3383,C,12.07,109,12.07,12.08,12-H,68
TimeAndSale,SBERl:CHIX,20200729-153347.574+0100,20200729-153347+0100,574:3385,C,12.07,167,12.07,12.08,12-H,68
TimeAndSale,SBERl:CHIX,20200729-153352.311+0100,20200729-153352+0100,312:3387,C,12.065,823,12.065,12.075,12-H,68
TimeAndSale,SBERl:CHIX,20200729-153413.901+0100,20200729-153413+0100,901:3389,C,12.06,90,12.05,12.06,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153413.901+0100,20200729-153413+0100,901:3391,C,12.06,44,12.05,12.06,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153712.313+0100,20200729-153712+0100,314:3393,C,12.045,47,12.04,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153857.253+0100,20200729-153857+0100,254:3395,C,12.05,168,12.04,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153857.253+0100,20200729-153857+0100,254:3397,C,12.05,72,12.04,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153857.253+0100,20200729-153857+0100,254:3399,C,12.05,3,12.04,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153905.300+0100,20200729-153905+0100,301:3401,C,12.05,31,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-153911.008+0100,20200729-153911+0100,8:3403,C,12.05,32,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154153.973+0100,20200729-154153+0100,973:3405,C,12.055,34,12.05,12.055,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154153.973+0100,20200729-154153+0100,973:3407,C,12.055,134,12.05,12.055,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154249.629+0100,20200729-154249+0100,630:3409,C,12.055,105,12.055,12.06,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154249.629+0100,20200729-154249+0100,630:3411,C,12.055,234,12.055,12.06,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154249.629+0100,20200729-154249+0100,630:3413,C,12.055,1055,12.055,12.06,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154249.629+0100,20200729-154249+0100,630:3415,C,12.055,106,12.055,12.06,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154302.376+0100,20200729-154302+0100,376:3417,C,12.05,105,12.05,12.055,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154302.376+0100,20200729-154302+0100,376:3419,C,12.05,168,12.05,12.055,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154346.073+0100,20200729-154346+0100,74:3421,C,12.05,105,12.05,12.055,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154346.073+0100,20200729-154346+0100,74:3423,C,12.05,596,12.05,12.055,12-H,68
TimeAndSale,SBERl:CHIX,20200729-154417.054+0100,20200729-154417+0100,54:3425,C,12.05,353,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154417.054+0100,20200729-154417+0100,54:3427,C,12.05,141,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154417.054+0100,20200729-154417+0100,54:3429,C,12.05,145,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-154417.054+0100,20200729-154417+0100,54:3431,C,12.05,137,12.045,12.05,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3433,C,12.04,143,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3435,C,12.04,98,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3437,C,12.04,28,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3439,C,12.04,17,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3441,C,12.04,18,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3443,C,12.04,69,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3445,C,12.04,82,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155006.683+0100,20200729-155006+0100,684:3447,C,12.04,241,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155055.557+0100,20200729-155055+0100,557:3449,C,12.04,147,12.03,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155055.557+0100,20200729-155055+0100,557:3451,C,12.04,210,12.03,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155055.557+0100,20200729-155055+0100,557:3453,C,12.04,89,12.03,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155057.893+0100,20200729-155057+0100,894:3455,C,12.04,69,12.03,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155101.188+0100,20200729-155101+0100,189:3457,C,12.045,139,12.04,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155101.223+0100,20200729-155101+0100,224:3459,C,12.045,48,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155101.223+0100,20200729-155101+0100,224:3461,C,12.045,40,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155101.814+0100,20200729-155101+0100,814:3463,C,12.045,44,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155101.814+0100,20200729-155101+0100,814:3465,C,12.045,33,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155101.814+0100,20200729-155101+0100,814:3467,C,12.045,1400,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155101.814+0100,20200729-155101+0100,815:3469,C,12.045,497,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155218.342+0100,20200729-155218+0100,343:3471,C,12.045,500,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155218.342+0100,20200729-155218+0100,343:3473,C,12.045,500,12.045,12.05,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155312.071+0100,20200729-155312+0100,71:3475,C,12.04,3189,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155337.452+0100,20200729-155337+0100,452:3477,C,12.035,241,12.035,12.04,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155404.440+0100,20200729-155404+0100,440:3479,C,12.03,140,12.025,12.03,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155404.440+0100,20200729-155404+0100,440:3481,C,12.03,168,12.025,12.03,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155415.026+0100,20200729-155415+0100,27:3483,C,12.035,168,12.03,12.035,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155415.027+0100,20200729-155415+0100,27:3485,C,12.035,119,12.035,12.04,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155501.824+0100,20200729-155501+0100,824:3487,C,12.04,460,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155501.824+0100,20200729-155501+0100,824:3489,C,12.04,105,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155520.177+0100,20200729-155520+0100,177:3491,C,12.04,40,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155520.177+0100,20200729-155520+0100,177:3493,C,12.04,105,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155538.528+0100,20200729-155538+0100,528:3495,C,12.04,44,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155555.655+0100,20200729-155555+0100,656:3497,C,12.04,80,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155559.522+0100,20200729-155559+0100,522:3499,C,12.045,263,12.035,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155559.522+0100,20200729-155559+0100,522:3501,C,12.045,25,12.035,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155559.522+0100,20200729-155559+0100,522:3503,C,12.045,143,12.035,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155559.522+0100,20200729-155559+0100,522:3505,C,12.045,20,12.035,12.045,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155700.884+0100,20200729-155700+0100,884:3507,C,12.04,105,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155700.884+0100,20200729-155700+0100,884:3509,C,12.04,609,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155726.095+0100,20200729-155726+0100,95:3511,C,12.035,105,12.035,12.04,12-H,68
TimeAndSale,SBERl:CHIX,20200729-155830.926+0100,20200729-155830+0100,926:3513,C,12.0325,178,12.03,12.035,32DS,68
TimeAndSale,SBERl:CHIX,20200729-155857.818+0100,20200729-155857+0100,818:3515,C,12.035,227,12.03,12.035,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155857.818+0100,20200729-155857+0100,819:3517,C,12.035,76,12.03,12.035,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155857.818+0100,20200729-155857+0100,819:3519,C,12.035,133,12.03,12.035,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155857.818+0100,20200729-155857+0100,819:3521,C,12.035,143,12.03,12.035,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155913.570+0100,20200729-155913+0100,570:3523,C,12.04,19,12.035,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155913.571+0100,20200729-155913+0100,571:3525,C,12.04,369,12.035,12.04,12-H,36
TimeAndSale,SBERl:CHIX,20200729-155917.463+0100,20200729-155917+0100,464:3527,C,12.04,168,12.04,12.045,12-H,68
TimeAndSale,SBERl:CHIX,20200729-160113.581+0100,20200729-160113+0100,582:3529,C,12.035,34,12.035,12.04,12-H,68
TimeAndSale,SBERl:CHIX,20200729-160115.641+0100,20200729-160115+0100,641:3531,C,12.035,71,12.035,12.04,12-H,68
TimeAndSale,SBERl:CHIX,20200729-160115.641+0100,20200729-160115+0100,641:3533,C,12.035,168,12.035,12.04,12-H,68
