#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SBERl:CHIX,20200728-162928.517+0100,20200728-162928+0100,518:1559,C,11.88,156,11.86,11.88,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080038.902+0100,20200729-080038+0100,903:1,C,11.885,157,11.87,11.885,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080038.902+0100,20200729-080038+0100,903:3,C,11.885,170,11.87,11.885,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080144.033+0100,20200729-080144+0100,33:5,C,11.9,106,11.9,11.93,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080144.033+0100,20200729-080144+0100,33:7,C,11.9,160,11.9,11.93,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080144.033+0100,20200729-080144+0100,33:9,C,11.9,1888,11.9,11.93,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080144.033+0100,20200729-080144+0100,33:11,C,11.9,302,11.9,11.93,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080153.137+0100,20200729-080153+0100,137:13,C,11.91,1376,11.91,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080153.137+0100,20200729-080153+0100,137:15,C,11.91,369,11.91,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080153.137+0100,20200729-080153+0100,137:17,C,11.91,107,11.91,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080154.082+0100,20200729-080154+0100,82:19,C,11.905,252,11.905,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080205.146+0100,20200729-080205+0100,146:21,C,11.915,170,11.905,11.915,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080227.689+0100,20200729-080227+0100,690:23,C,11.905,25,11.905,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080227.689+0100,20200729-080227+0100,690:25,C,11.905,113,11.905,11.92,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080310.116+0100,20200729-080310+0100,117:27,C,11.92,170,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080310.194+0100,20200729-080310+0100,195:29,C,11.92,157,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080311.454+0100,20200729-080311+0100,454:31,C,11.92,321,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080311.490+0100,20200729-080311+0100,490:33,C,11.92,39,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080313.228+0100,20200729-080313+0100,228:35,C,11.92,44,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080313.228+0100,20200729-080313+0100,228:37,C,11.92,122,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080313.228+0100,20200729-080313+0100,228:39,C,11.92,44,11.91,11.92,12-H,36
TimeAndSale,SBERl:CHIX,20200729-080316.435+0100,20200729-080316+0100,435:41,C,11.915,113,11.915,11.93,12-H,68
TimeAndSale,SBERl:CHIX,20200729-080323.814+0100,20200729-080323+0100,815:43,C,11.915,110,11.915,11.935,12-H,68
