date;open;high;low;close
03.09.2020 11:02;100.00;100.00;99.02;99.21
03.09.2020 11:03;99.38;99.75;99.19;99.62
03.09.2020 11:04;99.64;99.75;99.31;99.46
03.09.2020 11:05;99.43;99.50;97.94;97.99
03.09.2020 11:06;97.91;98.26;97.74;98.26
03.09.2020 11:07;98.25;98.49;98.14;98.23
03.09.2020 11:08;98.15;98.17;97.86;98.01
03.09.2020 11:09;98.11;98.22;97.60;97.60
03.09.2020 11:10;97.64;98.39;97.47;98.27
03.09.2020 11:11;98.29;99.03;98.17;99.03
03.09.2020 11:12;98.96;99.63;98.89;99.52
03.09.2020 11:13;99.65;99.86;99.31;99.46
03.09.2020 11:14;99.37;99.75;99.06;99.65
03.09.2020 11:15;99.66;99.98;99.47;99.62
03.09.2020 11:16;99.58;100.46;99.46;100.46
03.09.2020 11:17;100.40;100.50;99.83;99.86
03.09.2020 11:18;99.86;100.32;99.86;100.10
03.09.2020 11:19;100.24;100.26;99.50;99.57
03.09.2020 11:20;99.61;100.28;99.61;100.28
03.09.2020 11:21;100.18;100.30;99.93;99.93
03.09.2020 11:22;99.91;99.92;99.59;99.61
03.09.2020 11:23;99.61;99.67;99.20;99.46
03.09.2020 11:24;99.47;99.50;99.26;99.28
03.09.2020 11:25;99.28;99.99;99.25;99.54
03.09.2020 11:26;99.60;100.00;99.60;99.99
03.09.2020 11:27;99.94;100.04;99.76;100.02
03.09.2020 11:28;99.93;100.32;99.85;99.97
03.09.2020 11:29;99.99;100.12;99.94;100.06
03.09.2020 11:30;100.06;100.06;99.37;99.43
03.09.2020 11:31;99.42;99.96;99.41;99.83
03.09.2020 11:32;99.83;100.10;99.80;99.91
03.09.2020 11:33;99.93;100.00;99.77;99.93
03.09.2020 11:34;99.93;100.14;99.86;100.08
03.09.2020 11:35;100.10;100.10;99.76;99.88
03.09.2020 11:36;99.84;99.95;99.70;99.77
03.09.2020 11:37;99.74;99.97;99.70;99.83
03.09.2020 11:38;99.86;99.99;99.82;99.94
03.09.2020 11:39;99.99;100.04;99.82;99.99
03.09.2020 11:40;99.95;100.06;99.85;100.06
03.09.2020 11:41;99.97;100.02;99.73;99.81
03.09.2020 11:42;99.88;100.02;99.85;99.94
03.09.2020 11:43;99.95;100.00;99.82;99.93
03.09.2020 11:44;99.96;100.54;99.92;100.52
03.09.2020 11:45;100.60;100.86;100.46;100.70
