#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SAPd:CHIX,20200310-085949.728+0000,20200310-085949+0000,722:4967,C,102.2,63,102.18,102.2,12-H,36
TimeAndSale,SAPd:CHIX,20200310-090000.010+0000,20200310-090000+0000,3:4969,C,102.2,71,102.2,102.26,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.010+0000,20200310-090000+0000,3:4971,C,102.2,45,102.2,102.26,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.017+0000,20200310-090000+0000,11:4973,C,102.18,37,102.18,102.22,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.017+0000,20200310-090000+0000,11:4975,C,102.18,19,102.18,102.22,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.465+0000,20200310-090000+0000,458:4977,C,102.16,75,102.16,102.18,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.472+0000,20200310-090000+0000,466:4979,C,102.14,91,102.14,102.18,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090000.472+0000,20200310-090000+0000,466:4981,C,102.14,22,102.14,102.18,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090001.028+0000,20200310-090001+0000,22:4983,C,102.16,13,102.12,102.16,12-H,36
TimeAndSale,SAPd:CHIX,20200310-090001.029+0000,20200310-090001+0000,22:4985,C,102.16,8,102.12,102.16,12-H,36
TimeAndSale,SAPd:CHIX,20200310-090001.029+0000,20200310-090001+0000,22:4987,C,102.16,221,102.12,102.16,12-H,36
TimeAndSale,SAPd:CHIX,20200310-090001.032+0000,20200310-090001+0000,25:4989,C,102.14,100,102.14,102.2,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090001.165+0000,20200310-090001+0000,158:4991,C,102.14,44,102.14,102.2,12-H,68
TimeAndSale,SAPd:CHIX,20200310-090006.018+0000,20200310-090006+0000,11:4993,C,102.16,45,102.14,102.16,12-H,36
