#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SAPd:CHIX,20200309-162959.419+0000,20200309-162959+0000,412:56319,C,99.67,5,99.67,99.74,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080223.779+0000,20200310-080223+0000,773:1,C,100.36,59,100.14,100.36,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080224.571+0000,20200310-080224+0000,564:3,C,100.4,3,100.06,100.4,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080224.571+0000,20200310-080224+0000,564:5,C,100.4,13,100.06,100.4,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080224.571+0000,20200310-080224+0000,564:7,C,100.42,34,100.06,100.4,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080226.709+0000,20200310-080226+0000,703:9,C,100.12,10,99.8,100.12,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080227.645+0000,20200310-080227+0000,639:11,C,100.04,50,99.8,100.04,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080228.392+0000,20200310-080228+0000,382:13,C,100.02,50,100.02,100.1,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080229.907+0000,20200310-080229+0000,900:15,C,99.91,50,99.91,99.98,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080232.907+0000,20200310-080232+0000,901:17,C,99.94,50,99.94,100.04,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080239.671+0000,20200310-080239+0000,664:19,C,100.18,9,99.89,100.18,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080246.054+0000,20200310-080246+0000,48:21,C,100.14,25,100.14,100.32,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080246.150+0000,20200310-080246+0000,144:23,C,100.2,56,100.06,100.2,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080247.572+0000,20200310-080247+0000,566:25,C,100.12,232,100.12,100.18,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080254.773+0000,20200310-080254+0000,766:27,C,100.18,51,100.18,100.28,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080255.281+0000,20200310-080255+0000,274:29,C,100.18,51,100.06,100.18,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080255.663+0000,20200310-080255+0000,656:31,C,100.24,82,100.08,100.24,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080255.764+0000,20200310-080255+0000,757:33,C,100.26,129,100.16,100.26,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080304.855+0000,20200310-080304+0000,849:35,C,100.34,118,100.24,100.34,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080304.858+0000,20200310-080304+0000,851:37,C,100.32,24,100.26,100.32,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080304.858+0000,20200310-080304+0000,852:39,C,100.32,25,100.32,100.36,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080305.743+0000,20200310-080305+0000,737:41,C,100.44,112,100.44,100.72,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080307.009+0000,20200310-080307+0000,3:43,C,100.44,85,100.3,100.44,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080315.869+0000,20200310-080315+0000,862:45,C,100.42,50,100.42,100.48,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080316.911+0000,20200310-080316+0000,904:47,C,100.4,236,100.4,100.46,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080327.584+0000,20200310-080327+0000,578:49,C,100.32,50,100.32,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080332.315+0000,20200310-080332+0000,308:51,C,100.28,45,100.28,100.34,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080332.315+0000,20200310-080332+0000,308:53,C,100.28,50,100.28,100.34,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080332.317+0000,20200310-080332+0000,311:55,C,100.28,95,100.22,100.28,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080332.436+0000,20200310-080332+0000,429:57,C,100.28,50,100.28,100.34,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080337.473+0000,20200310-080337+0000,467:59,C,100.32,12,100.32,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080337.473+0000,20200310-080337+0000,467:61,C,100.32,50,100.32,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080337.474+0000,20200310-080337+0000,468:63,C,100.38,52,100.24,100.38,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080340.069+0000,20200310-080340+0000,62:65,C,100.32,50,100.32,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080340.673+0000,20200310-080340+0000,667:67,C,100.34,24,100.34,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080347.442+0000,20200310-080347+0000,435:69,C,100.32,50,100.32,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080347.442+0000,20200310-080347+0000,435:71,C,100.32,39,100.3,100.32,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080347.542+0000,20200310-080347+0000,535:73,C,100.32,50,100.32,100.4,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080348.640+0000,20200310-080348+0000,633:75,C,100.34,45,100.32,100.34,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080400.417+0000,20200310-080400+0000,410:77,C,100.36,53,100.32,100.36,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080400.420+0000,20200310-080400+0000,413:79,C,100.34,50,100.34,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080400.846+0000,20200310-080400+0000,839:81,C,100.38,75,100.38,100.46,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080400.847+0000,20200310-080400+0000,840:83,C,100.38,125,100.32,100.38,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080406.965+0000,20200310-080406+0000,959:85,C,100.38,66,100.38,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080406.965+0000,20200310-080406+0000,959:87,C,100.38,160,100.38,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080406.966+0000,20200310-080406+0000,959:89,C,100.38,66,100.34,100.38,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080407.660+0000,20200310-080407+0000,653:91,C,100.34,45,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080407.660+0000,20200310-080407+0000,653:93,C,100.34,45,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080407.660+0000,20200310-080407+0000,653:95,C,100.34,50,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080407.761+0000,20200310-080407+0000,754:97,C,100.34,40,100.34,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080409.712+0000,20200310-080409+0000,705:99,C,100.42,50,100.42,100.5,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080409.712+0000,20200310-080409+0000,705:101,C,100.42,50,100.42,100.5,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.494+0000,20200310-080411+0000,488:103,C,100.36,28,100.36,100.4,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.494+0000,20200310-080411+0000,488:105,C,100.36,17,100.36,100.4,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.494+0000,20200310-080411+0000,488:107,C,100.36,22,100.36,100.4,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.975+0000,20200310-080411+0000,969:109,C,100.34,51,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.975+0000,20200310-080411+0000,969:111,C,100.34,18,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.975+0000,20200310-080411+0000,969:113,C,100.34,50,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.975+0000,20200310-080411+0000,969:115,C,100.34,45,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.975+0000,20200310-080411+0000,969:117,C,100.34,3,100.34,100.38,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080411.976+0000,20200310-080411+0000,969:119,C,100.34,167,100.32,100.34,12-H,36
TimeAndSale,SAPd:CHIX,20200310-080426.507+0000,20200310-080426+0000,498:121,C,100.36,45,100.36,100.42,12-H,68
TimeAndSale,SAPd:CHIX,20200310-080426.507+0000,20200310-080426+0000,498:123,C,100.36,50,100.36,100.42,12-H,68
