#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:CHIX,20200309-085955.621+0000,20200309-085955+0000,615:4025,C,80.94,268,80.94,80.98,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090005.003+0000,20200309-090004+0000,996:4027,C,81,276,81,81.04,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090009.141+0000,20200309-090009+0000,134:4029,C,80.96,145,80.96,81,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090009.141+0000,20200309-090009+0000,134:4031,C,80.96,119,80.96,80.99,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090016.263+0000,20200309-090016+0000,257:4033,C,80.96,116,80.93,80.96,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090025.978+0000,20200309-090025+0000,971:4035,C,80.97,315,80.97,81,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090025.978+0000,20200309-090025+0000,971:4037,C,80.97,5,80.97,81,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090036.304+0000,20200309-090036+0000,297:4039,C,81.06,116,81.02,81.06,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090038.552+0000,20200309-090038+0000,545:4041,C,81.09,170,81.06,81.09,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090043.356+0000,20200309-090043+0000,350:4043,C,81.07,350,81.07,81.1,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090044.980+0000,20200309-090044+0000,974:4045,C,81.07,202,81.07,81.11,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090046.243+0000,20200309-090046+0000,236:4047,C,81.06,58,81.06,81.09,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090046.363+0000,20200309-090046+0000,356:4049,C,81.04,142,80.98,81.04,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090049.854+0000,20200309-090049+0000,848:4051,C,81.05,77,81.02,81.05,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090059.925+0000,20200309-090059+0000,919:4053,C,81.06,31,81.06,81.12,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090106.445+0000,20200309-090106+0000,438:4055,C,81.04,58,81.04,81.08,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090112.045+0000,20200309-090112+0000,39:4057,C,81.02,49,81.02,81.06,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090121.088+0000,20200309-090121+0000,82:4059,C,80.95,76,80.95,80.98,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090126.518+0000,20200309-090126+0000,511:4061,C,81,83,81,81.03,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090126.894+0000,20200309-090126+0000,887:4063,C,80.99,92,80.99,81.01,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090126.894+0000,20200309-090126+0000,887:4065,C,80.99,109,80.99,81,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090143.791+0000,20200309-090143+0000,784:4067,C,80.96,112,80.96,80.99,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090143.791+0000,20200309-090143+0000,784:4069,C,80.96,106,80.96,80.99,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090143.794+0000,20200309-090143+0000,787:4071,C,80.97,12,80.94,80.97,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090145.605+0000,20200309-090145+0000,599:4073,C,80.96,22,80.94,80.96,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090147.384+0000,20200309-090147+0000,377:4075,C,80.94,58,80.94,80.97,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090147.384+0000,20200309-090147+0000,377:4077,C,80.94,195,80.94,80.97,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090147.384+0000,20200309-090147+0000,378:4079,C,80.94,51,80.94,80.97,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090151.107+0000,20200309-090151+0000,100:4081,C,80.94,95,80.94,80.98,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090151.107+0000,20200309-090151+0000,100:4083,C,80.94,260,80.94,80.98,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090151.107+0000,20200309-090151+0000,100:4085,C,80.94,10,80.94,80.98,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090151.112+0000,20200309-090151+0000,105:4087,C,80.95,50,80.93,80.95,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090153.748+0000,20200309-090153+0000,742:4089,C,80.93,29,80.93,80.94,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090153.748+0000,20200309-090153+0000,742:4091,C,80.93,54,80.93,80.94,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090154.239+0000,20200309-090154+0000,233:4093,C,80.9,116,80.9,80.92,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090154.242+0000,20200309-090154+0000,236:4095,C,80.91,60,80.86,80.91,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090154.242+0000,20200309-090154+0000,236:4097,C,80.91,50,80.86,80.91,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090155.402+0000,20200309-090155+0000,396:4099,C,80.88,116,80.87,80.88,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090200.361+0000,20200309-090200+0000,354:4101,C,80.86,58,80.86,80.9,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090200.361+0000,20200309-090200+0000,354:4103,C,80.86,206,80.86,80.9,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090200.362+0000,20200309-090200+0000,355:4105,C,80.86,2,80.86,80.89,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090201.388+0000,20200309-090201+0000,382:4107,C,80.86,87,80.86,80.88,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090205.041+0000,20200309-090205+0000,34:4109,C,80.83,69,80.83,80.85,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090205.041+0000,20200309-090205+0000,35:4111,C,80.83,69,80.83,80.85,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090205.042+0000,20200309-090205+0000,35:4113,C,80.83,69,80.83,80.85,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090205.060+0000,20200309-090205+0000,54:4115,C,80.83,5,80.83,80.85,12-H,68
TimeAndSale,SIEd:CHIX,20200309-090210.830+0000,20200309-090210+0000,824:4117,C,80.87,135,80.84,80.87,12-H,36
TimeAndSale,SIEd:CHIX,20200309-090216.824+0000,20200309-090216+0000,817:4119,C,80.9,58,80.88,80.9,12-H,36
