#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:CHIX,20200306-162956.373+0000,20200306-162956+0000,366:19057,C,87.05,149,87.05,87.1,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080028.067+0000,20200309-080028+0000,60:1,C,81.79,213,81.79,84.42,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080028.710+0000,20200309-080028+0000,704:3,C,83.1,4,78.73,83.1,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080243.145+0000,20200309-080243+0000,138:5,C,80.29,142,79.82,80.29,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080243.145+0000,20200309-080243+0000,138:7,C,80.3,84,79.82,80.29,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080243.145+0000,20200309-080243+0000,138:9,C,80.17,32,80.17,82.88,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080243.641+0000,20200309-080243+0000,635:11,C,80.35,32,80.02,80.35,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080244.012+0000,20200309-080244+0000,6:13,C,80.19,145,80.19,80.32,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080244.021+0000,20200309-080244+0000,15:15,C,80.26,145,80.17,80.26,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080244.021+0000,20200309-080244+0000,15:17,C,80.28,79,80.17,80.26,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080245.303+0000,20200309-080245+0000,296:19,C,80.22,145,80.11,80.22,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080245.526+0000,20200309-080245+0000,519:21,C,80.15,30,80.15,80.25,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080245.602+0000,20200309-080245+0000,595:23,C,80.13,22,80.13,80.25,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080245.696+0000,20200309-080245+0000,690:25,C,80.11,17,80.11,80.25,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080246.083+0000,20200309-080246+0000,76:27,C,80.17,15,80.07,80.17,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080246.600+0000,20200309-080246+0000,594:29,C,80.05,14,80.05,80.18,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080247.103+0000,20200309-080247+0000,96:31,C,80.16,145,80.05,80.16,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080247.168+0000,20200309-080247+0000,162:33,C,80.05,131,80.05,80.16,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080247.610+0000,20200309-080247+0000,603:35,C,80.11,78,79.83,80.11,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080247.610+0000,20200309-080247+0000,603:37,C,80.11,85,79.83,80.11,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080247.668+0000,20200309-080247+0000,661:39,C,80.02,2,80.02,80.17,12-H,68
TimeAndSale,SIEd:CHIX,20200309-080248.515+0000,20200309-080248+0000,508:41,C,80.02,95,79.75,80.02,12-H,36
TimeAndSale,SIEd:CHIX,20200309-080248.519+0000,20200309-080248+0000,513:43,C,80.05,65,79.75,80.05,12-H,36
