;Íמלונ;Âנולÿ;Èםסענףלוםע;Öוםא;Êמכ-גמ;Îבתול;Îןונאצטÿ
1;419 964 704;10:00:16;DAI [XTR_DAX];42.135;24 048;1 013 262.48;
2;419 964 705;10:00:16;DAI [XTR_DAX];42.2;10;422;
3;419 964 706;10:00:16;DAI [XTR_DAX];42.05;125;5 256.25;
4;419 964 707;10:00:16;DAI [XTR_DAX];42.05;125;5 256.25;
5;419 964 708;10:00:16;DAI [XTR_DAX];42.2;12;506.4;
6;419 964 709;10:00:16;DAI [XTR_DAX];42.2;60;2 532.00;
7;419 964 710;10:00:22;DAI [XTR_DAX];42.075;22;925.65;
8;419 964 711;10:00:22;DAI [XTR_DAX];42.065;162;6 814.53;
9;419 964 712;10:00:22;DAI [XTR_DAX];42.055;2;84.11;
10;419 964 713;10:00:22;DAI [XTR_DAX];42.05;590;24 809.50;
11;419 964 714;10:00:22;DAI [XTR_DAX];42.045;21;882.95;
12;419 964 715;10:00:22;DAI [XTR_DAX];42.095;201;8 461.10;
13;419 964 716;10:00:22;DAI [XTR_DAX];42.095;49;2 062.66;
14;419 964 717;10:00:22;DAI [XTR_DAX];42.1;149;6 272.90;
15;419 964 718;10:00:22;DAI [XTR_DAX];42.08;130;5 470.40;
16;419 964 719;10:00:22;DAI [XTR_DAX];42.08;190;7 995.20;
17;419 964 720;10:00:22;DAI [XTR_DAX];42.08;34;1 430.72;
18;419 964 721;10:00:27;DAI [XTR_DAX];42.09;267;11 238.03;
19;419 964 722;10:00:27;DAI [XTR_DAX];42.095;33;1 389.14;
20;419 964 723;10:00:27;DAI [XTR_DAX];42.09;222;9 343.98;
21;419 964 724;10:00:27;DAI [XTR_DAX];42.095;112;4 714.64;
22;419 964 725;10:00:27;DAI [XTR_DAX];42.105;43;1 810.52;
23;419 964 726;10:00:27;DAI [XTR_DAX];42.11;198;8 337.78;
24;419 964 727;10:00:27;DAI [XTR_DAX];42.115;250;10 528.75;
25;419 964 728;10:00:27;DAI [XTR_DAX];42.13;198;8 341.74;
26;419 964 729;10:00:27;DAI [XTR_DAX];42.14;198;8 343.72;
27;419 964 730;10:00:27;DAI [XTR_DAX];42.15;41;1 728.15;
28;419 964 731;10:00:27;DAI [XTR_DAX];42.15;589;24 826.35;
29;419 964 732;10:00:27;DAI [XTR_DAX];42.15;45;1 896.75;
30;419 964 733;10:00:27;DAI [XTR_DAX];42.095;250;10 523.75;
31;419 964 734;10:00:36;DAI [XTR_DAX];42.095;250;10 523.75;
32;419 964 735;10:00:36;DAI [XTR_DAX];42.1;149;6 272.90;
33;419 964 736;10:00:36;DAI [XTR_DAX];42.1;11;463.1;
34;419 964 737;10:00:42;DAI [XTR_DAX];42.12;150;6 318.00;
35;419 964 738;10:00:42;DAI [XTR_DAX];42.125;121;5 097.13;
36;419 964 739;10:00:42;DAI [XTR_DAX];42.115;46;1 937.29;
37;419 964 740;10:00:42;DAI [XTR_DAX];42.135;119;5 014.07;
38;419 964 741;10:00:46;DAI [XTR_DAX];42.09;3;126.27;
39;419 964 742;10:00:48;DAI [XTR_DAX];42.08;315;13 255.20;
40;419 964 743;10:00:48;DAI [XTR_DAX];42.08;248;10 435.84;
41;419 964 744;10:00:55;DAI [XTR_DAX];42.11;135;5 684.85;
42;419 964 745;10:00:55;DAI [XTR_DAX];42.11;94;3 958.34;
43;419 964 746;10:00:55;DAI [XTR_DAX];42.115;54;2 274.21;
44;419 964 747;10:00:55;DAI [XTR_DAX];42.12;118;4 970.16;
45;419 964 748;10:00:55;DAI [XTR_DAX];42.125;52;2 190.50;
46;419 964 749;10:00:55;DAI [XTR_DAX];42.13;306;12 891.78;
47;419 964 750;10:00:55;DAI [XTR_DAX];42.13;43;1 811.59;
48;419 964 751;10:00:55;DAI [XTR_DAX];42.135;273;11 502.86;
49;419 964 752;10:00:55;DAI [XTR_DAX];42.14;123;5 183.22;
50;419 964 753;10:00:55;DAI [XTR_DAX];42.145;158;6 658.91;
51;419 964 754;10:00:55;DAI [XTR_DAX];42.145;18;758.61;
52;419 964 755;10:00:57;DAI [XTR_DAX];42.135;250;10 533.75;
53;419 964 756;10:00:57;DAI [XTR_DAX];42.14;75;3 160.50;
54;419 964 757;10:00:57;DAI [XTR_DAX];42.145;93;3 919.49;
55;419 964 758;10:01:09;DAI [XTR_DAX];42.155;39;1 644.05;
56;419 964 759;10:01:09;DAI [XTR_DAX];42.16;41;1 728.56;
57;419 964 760;10:01:09;DAI [XTR_DAX];42.155;300;12 646.50;
58;419 964 761;10:01:09;DAI [XTR_DAX];42.155;260;10 960.30;
59;419 964 762;10:01:09;DAI [XTR_DAX];42.155;322;13 573.91;
60;419 964 763;10:01:11;DAI [XTR_DAX];42.13;17;716.21;
61;419 964 764;10:01:11;DAI [XTR_DAX];42.12;310;13 057.20;
62;419 964 765;10:01:11;DAI [XTR_DAX];42.125;117;4 928.63;
63;419 964 766;10:01:11;DAI [XTR_DAX];42.125;3;126.38;
64;419 964 767;10:01:11;DAI [XTR_DAX];42.105;250;10 526.25;
65;419 964 768;10:01:12;DAI [XTR_DAX];42.1;119;5 009.90;
66;419 964 769;10:01:13;DAI [XTR_DAX];42.105;112;4 715.76;
67;419 964 770;10:01:13;DAI [XTR_DAX];42.105;43;1 810.52;
68;419 964 771;10:01:16;DAI [XTR_DAX];42.14;56;2 359.84;
69;419 964 772;10:01:16;DAI [XTR_DAX];42.15;250;10 537.50;
70;419 964 773;10:01:16;DAI [XTR_DAX];42.155;12;505.86;
71;419 964 774;10:01:22;DAI [XTR_DAX];42.14;105;4 424.70;
72;419 964 775;10:01:22;DAI [XTR_DAX];42.15;30;1 264.50;
73;419 964 776;10:01:22;DAI [XTR_DAX];42.155;320;13 489.60;
74;419 964 777;10:01:22;DAI [XTR_DAX];42.16;503;21 206.48;
75;419 964 778;10:01:22;DAI [XTR_DAX];42.145;100;4 214.50;
76;419 964 779;10:01:26;DAI [XTR_DAX];42.16;59;2 487.44;
77;419 964 780;10:01:26;DAI [XTR_DAX];42.15;150;6 322.50;
78;419 964 781;10:01:38;DAI [XTR_DAX];42.165;57;2 403.41;
79;419 964 782;10:01:38;DAI [XTR_DAX];42.165;13;548.15;
80;419 964 783;10:01:39;DAI [XTR_DAX];42.18;56;2 362.08;
81;419 964 784;10:01:42;DAI [XTR_DAX];42.185;54;2 277.99;
82;419 964 785;10:01:42;DAI [XTR_DAX];42.185;28;1 181.18;
83;419 964 786;10:01:42;DAI [XTR_DAX];42.185;54;2 277.99;
84;419 964 787;10:01:43;DAI [XTR_DAX];42.17;26;1 096.42;
85;419 964 788;10:01:43;DAI [XTR_DAX];42.165;179;7 547.54;
86;419 964 789;10:01:44;DAI [XTR_DAX];42.17;51;2 150.67;
87;419 964 790;10:01:44;DAI [XTR_DAX];42.17;88;3 710.96;
88;419 964 791;10:01:47;DAI [XTR_DAX];42.185;300;12 655.50;
89;419 964 792;10:01:47;DAI [XTR_DAX];42.19;341;14 386.79;
90;419 964 793;10:01:47;DAI [XTR_DAX];42.195;306;12 911.67;
91;419 964 794;10:01:47;DAI [XTR_DAX];42.195;74;3 122.43;
92;419 964 795;10:01:51;DAI [XTR_DAX];42.185;139;5 863.72;
93;419 964 796;10:01:52;DAI [XTR_DAX];42.175;100;4 217.50;
94;419 964 797;10:01:52;DAI [XTR_DAX];42.165;301;12 691.67;
95;419 964 798;10:01:53;DAI [XTR_DAX];42.165;175;7 378.88;
96;419 964 799;10:01:55;DAI [XTR_DAX];42.16;161;6 787.76;
97;419 964 800;10:02:00;DAI [XTR_DAX];42.145;446;18 796.67;
98;419 964 801;10:02:00;DAI [XTR_DAX];42.14;119;5 014.66;
99;419 964 802;10:02:01;DAI [XTR_DAX];42.1;550;23 155.00;
100;419 964 803;10:02:01;DAI [XTR_DAX];42.09;140;5 892.60;
101;419 964 804;10:02:01;DAI [XTR_DAX];42.085;259;10 900.02;
102;419 964 805;10:02:01;DAI [XTR_DAX];42.075;250;10 518.75;
103;419 964 806;10:02:01;DAI [XTR_DAX];42.07;321;13 504.47;
104;419 964 807;10:02:01;DAI [XTR_DAX];42.065;150;6 309.75;
105;419 964 808;10:02:01;DAI [XTR_DAX];42.065;250;10 516.25;
106;419 964 809;10:02:02;DAI [XTR_DAX];42.08;10;420.8;
107;419 964 810;10:02:03;DAI [XTR_DAX];42.08;27;1 136.16;
108;419 964 811;10:02:03;DAI [XTR_DAX];42.085;27;1 136.30;
109;419 964 812;10:02:03;DAI [XTR_DAX];42.09;127;5 345.43;
110;419 964 813;10:02:03;DAI [XTR_DAX];42.105;177;7 452.59;
111;419 964 814;10:02:03;DAI [XTR_DAX];42.08;277;11 656.16;
112;419 964 815;10:02:03;DAI [XTR_DAX];42.08;23;967.84;
113;419 964 816;10:02:03;DAI [XTR_DAX];42.09;27;1 136.43;
114;419 964 817;10:02:03;DAI [XTR_DAX];42.095;27;1 136.57;
115;419 964 818;10:02:03;DAI [XTR_DAX];42.1;18;757.8;
116;419 964 819;10:02:03;DAI [XTR_DAX];42.105;27;1 136.84;
117;419 964 820;10:02:03;DAI [XTR_DAX];42.11;261;10 990.71;
118;419 964 821;10:02:03;DAI [XTR_DAX];42.105;27;1 136.84;
119;419 964 822;10:02:03;DAI [XTR_DAX];42.11;16;673.76;
120;419 964 823;10:02:03;DAI [XTR_DAX];42.115;27;1 137.11;
121;419 964 824;10:02:03;DAI [XTR_DAX];42.12;157;6 612.84;
122;419 964 825;10:02:03;DAI [XTR_DAX];42.125;177;7 456.13;
123;419 964 826;10:02:15;DAI [XTR_DAX];42.09;471;19 824.39;
124;419 964 827;10:02:15;DAI [XTR_DAX];42.08;300;12 624.00;
125;419 964 828;10:02:20;DAI [XTR_DAX];42.1;119;5 009.90;
126;419 964 829;10:02:20;DAI [XTR_DAX];42.1;26;1 094.60;
127;419 964 830;10:02:20;DAI [XTR_DAX];42.1;137;5 767.70;
128;419 964 831;10:02:20;DAI [XTR_DAX];42.1;140;5 894.00;
129;419 964 832;10:02:20;DAI [XTR_DAX];42.105;114;4 799.97;
130;419 964 833;10:02:20;DAI [XTR_DAX];42.11;160;6 737.60;
131;419 964 834;10:02:29;DAI [XTR_DAX];42.1;100;4 210.00;
132;419 964 835;10:02:29;DAI [XTR_DAX];42.11;122;5 137.42;
133;419 964 836;10:02:29;DAI [XTR_DAX];42.11;11;463.21;
134;419 964 837;10:02:29;DAI [XTR_DAX];42.11;90;3 789.90;
135;419 964 838;10:02:29;DAI [XTR_DAX];42.105;100;4 210.50;
136;419 964 839;10:02:29;DAI [XTR_DAX];42.11;101;4 253.11;
137;419 964 840;10:02:29;DAI [XTR_DAX];42.11;5;210.55;
138;419 964 841;10:02:29;DAI [XTR_DAX];42.085;118;4 966.03;
139;419 964 842;10:02:36;DAI [XTR_DAX];42.105;592;24 926.16;
140;419 964 843;10:02:36;DAI [XTR_DAX];42.105;37;1 557.89;
141;419 964 844;10:02:36;DAI [XTR_DAX];42.11;390;16 422.90;
142;419 964 845;10:02:36;DAI [XTR_DAX];42.115;450;18 951.75;
143;419 964 846;10:02:36;DAI [XTR_DAX];42.12;132;5 559.84;
144;419 964 847;10:02:37;DAI [XTR_DAX];42.13;250;10 532.50;
145;419 964 848;10:02:43;DAI [XTR_DAX];42.105;20;842.1;
146;419 964 849;10:02:44;DAI [XTR_DAX];42.105;155;6 526.28;
147;419 964 850;10:02:44;DAI [XTR_DAX];42.105;175;7 368.38;
148;419 964 851;10:02:44;DAI [XTR_DAX];42.105;175;7 368.38;
149;419 964 852;10:02:44;DAI [XTR_DAX];42.105;31;1 305.26;
150;419 964 853;10:02:44;DAI [XTR_DAX];42.105;113;4 757.87;
151;419 964 854;10:02:44;DAI [XTR_DAX];42.105;31;1 305.26;
152;419 964 855;10:02:44;DAI [XTR_DAX];42.105;144;6 063.12;
153;419 964 856;10:02:44;DAI [XTR_DAX];42.105;31;1 305.26;
154;419 964 857;10:02:44;DAI [XTR_DAX];42.115;173;7 285.90;
155;419 964 858;10:02:44;DAI [XTR_DAX];42.105;175;7 368.38;
156;419 964 859;10:02:44;DAI [XTR_DAX];42.105;13;547.37;
157;419 964 860;10:02:52;DAI [XTR_DAX];42.085;450;18 938.25;
158;419 964 861;10:02:52;DAI [XTR_DAX];42.08;323;13 591.84;
159;419 964 862;10:02:52;DAI [XTR_DAX];42.075;329;13 842.68;
160;419 964 863;10:02:52;DAI [XTR_DAX];42.07;150;6 310.50;
161;419 964 864;10:02:52;DAI [XTR_DAX];42.06;143;6 014.58;
162;419 964 865;10:02:52;DAI [XTR_DAX];42.06;257;10 809.42;
163;419 964 866;10:02:55;DAI [XTR_DAX];42.08;99;4 165.92;
164;419 964 867;10:02:55;DAI [XTR_DAX];42.085;310;13 046.35;
165;419 964 868;10:02:55;DAI [XTR_DAX];42.09;261;10 985.49;
166;419 964 869;10:02:55;DAI [XTR_DAX];42.095;126;5 303.97;
167;419 964 870;10:03:02;DAI [XTR_DAX];42.06;592;24 899.52;
168;419 964 871;10:03:02;DAI [XTR_DAX];42.06;48;2 018.88;
169;419 964 872;10:03:02;DAI [XTR_DAX];42.055;268;11 270.74;
170;419 964 873;10:03:06;DAI [XTR_DAX];42.04;130;5 465.20;
171;419 964 874;10:03:06;DAI [XTR_DAX];42.035;123;5 170.31;
172;419 964 875;10:03:06;DAI [XTR_DAX];42.04;142;5 969.68;
173;419 964 876;10:03:07;DAI [XTR_DAX];42.04;186;7 819.44;
174;419 964 877;10:03:07;DAI [XTR_DAX];42.045;211;8 871.50;
175;419 964 878;10:03:10;DAI [XTR_DAX];42.05;111;4 667.55;
