#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:BATE,20200821-105953.508+0100,20200821-105953+0100,506:1489,B,41.815,1,41.805,41.815,12-H,36
TimeAndSale,DAId:BATE,20200821-110002.533+0100,20200821-110002+0100,531:1491,B,41.81,91,41.81,41.83,12-H,68
TimeAndSale,DAId:BATE,20200821-110002.533+0100,20200821-110002+0100,531:1493,B,41.81,86,41.81,41.83,12-H,68
TimeAndSale,DAId:BATE,20200821-110002.541+0100,20200821-110002+0100,533:1495,B,41.805,48,41.795,41.805,12-H,36
TimeAndSale,DAId:BATE,20200821-110002.557+0100,20200821-110002+0100,542:1497,B,41.795,11,41.795,41.805,12-H,68
TimeAndSale,DAId:BATE,20200821-110002.557+0100,20200821-110002+0100,542:1499,B,41.795,20,41.795,41.805,12-H,68
TimeAndSale,DAId:BATE,20200821-110010.529+0100,20200821-110010+0100,528:1501,B,41.795,70,41.795,41.815,12-H,68
TimeAndSale,DAId:BATE,20200821-110010.530+0100,20200821-110010+0100,528:1503,B,41.795,21,41.795,41.815,12-H,68
TimeAndSale,DAId:BATE,20200821-110010.530+0100,20200821-110010+0100,528:1505,B,41.79,91,41.795,41.815,12-H,68
TimeAndSale,DAId:BATE,20200821-110010.534+0100,20200821-110010+0100,529:1507,B,41.785,21,41.785,41.795,12-H,68
TimeAndSale,DAId:BATE,20200821-110010.544+0100,20200821-110010+0100,532:1509,B,41.79,86,41.79,41.795,12-H,68
TimeAndSale,DAId:BATE,20200821-110013.286+0100,20200821-110013+0100,285:1511,B,41.79,20,41.785,41.79,12-H,36
TimeAndSale,DAId:BATE,20200821-110014.940+0100,20200821-110014+0100,938:1513,B,41.795,100,41.775,41.795,12-H,36
TimeAndSale,DAId:BATE,20200821-110014.940+0100,20200821-110014+0100,938:1515,B,41.795,91,41.775,41.795,12-H,36
TimeAndSale,DAId:BATE,20200821-110059.459+0100,20200821-110059+0100,457:1517,B,41.81,16,41.805,41.81,12-H,36
TimeAndSale,DAId:BATE,20200821-110101.853+0100,20200821-110101+0100,851:1519,B,41.82,19,41.805,41.82,12-H,36
TimeAndSale,DAId:BATE,20200821-110112.370+0100,20200821-110112+0100,369:1521,B,41.835,10,41.825,41.835,12-H,36
TimeAndSale,DAId:BATE,20200821-110112.370+0100,20200821-110112+0100,369:1523,B,41.835,6,41.825,41.835,12-H,36
TimeAndSale,DAId:BATE,20200821-110112.371+0100,20200821-110112+0100,369:1525,B,41.835,7,41.825,41.835,12-H,36
TimeAndSale,DAId:BATE,20200821-110113.338+0100,20200821-110113+0100,336:1527,B,41.835,8,41.835,41.845,12-H,68
TimeAndSale,DAId:BATE,20200821-110125.555+0100,20200821-110125+0100,554:1529,B,41.82,14,41.82,41.83,12-H,68
TimeAndSale,DAId:BATE,20200821-110125.555+0100,20200821-110125+0100,554:1531,B,41.82,25,41.82,41.83,12-H,68
TimeAndSale,DAId:BATE,20200821-110125.555+0100,20200821-110125+0100,554:1533,B,41.82,44,41.82,41.83,12-H,68
TimeAndSale,DAId:BATE,20200821-110144.975+0100,20200821-110144+0100,973:1535,B,41.83,10,41.82,41.83,12-H,36
