#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:BATE,20200820-173302.294+0100,20200820-133011+0100,511:6407,B,41.8252,23,41.61,43.08,45-3,64
TimeAndSale,DAId:BATE,20200821-080022.235+0100,20200821-080022+0100,234:1,B,42.1,15,42.05,42.1,12-H,36
TimeAndSale,DAId:BATE,20200821-080022.236+0100,20200821-080022+0100,235:3,B,42.075,35,42.075,42.145,12-H,68
TimeAndSale,DAId:BATE,20200821-080027.143+0100,20200821-080027+0100,142:5,B,42.1,45,42.06,42.1,12-H,36
TimeAndSale,DAId:BATE,20200821-080027.143+0100,20200821-080027+0100,142:7,B,42.1,35,42.06,42.1,12-H,36
TimeAndSale,DAId:BATE,20200821-080027.143+0100,20200821-080027+0100,142:9,B,42.1,23,42.06,42.1,12-H,36
TimeAndSale,DAId:BATE,20200821-080042.556+0100,20200821-080042+0100,555:11,B,42.105,15,42.105,42.145,12-H,68
TimeAndSale,DAId:BATE,20200821-080057.206+0100,20200821-080057+0100,205:13,B,42.145,3,42.105,42.145,12-H,36
TimeAndSale,DAId:BATE,20200821-080113.321+0100,20200821-080113+0100,319:15,B,42.115,38,42.06,42.115,12-H,36
TimeAndSale,DAId:BATE,20200821-080113.321+0100,20200821-080113+0100,320:17,B,42.12,60,42.06,42.12,12-H,36
TimeAndSale,DAId:BATE,20200821-080203.124+0100,20200821-080203+0100,122:19,B,42.09,54,42.065,42.09,12-H,36
TimeAndSale,DAId:BATE,20200821-080203.124+0100,20200821-080203+0100,122:21,B,42.095,70,42.065,42.09,12-H,36
TimeAndSale,DAId:BATE,20200821-080215.918+0100,20200821-080215+0100,917:23,B,42.09,90,42.09,42.18,12-H,68
TimeAndSale,DAId:BATE,20200821-080215.919+0100,20200821-080215+0100,918:25,B,42.09,90,42.09,42.165,12-H,68
TimeAndSale,DAId:BATE,20200821-080215.922+0100,20200821-080215+0100,921:27,B,42.09,37,42.09,42.165,12-H,68
TimeAndSale,DAId:BATE,20200821-080230.659+0100,20200821-080230+0100,658:29,B,42.08,19,42.08,42.12,12-H,68
