#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:BXTR,20200821-105957.266+0100,20200821-105957+0100,264:819,T,41.82,5,41.82,41.82,47--,36
TimeAndSale,DAId:BXTR,20200821-110050.869+0100,20200821-110050+0100,858:821,T,41.8046,18,41.805,41.81,46--,68
TimeAndSale,DAId:BXTR,20200821-110255.882+0100,20200821-110255+0100,871:823,T,41.8212,16,41.79,41.805,46--,36
TimeAndSale,DAId:BXTR,20200821-110339.462+0100,20200821-110339+0100,458:825,T,41.8225,1,41.825,41.825,32D-,68
TimeAndSale,DAId:BXTR,20200821-110419.341+0100,20200821-110419+0100,339:827,T,41.83,258,41.825,41.83,47-5,36
TimeAndSale,DAId:BXTR,20200821-110456.031+0100,20200821-110456+0100,30:829,T,41.815,229,41.825,41.825,47--,68
TimeAndSale,DAId:BXTR,20200821-110851.692+0100,20200821-110851+0100,690:831,T,41.83,12,41.83,41.83,47--,68
TimeAndSale,DAId:BXTR,20200821-110851.694+0100,20200821-110851+0100,692:833,T,41.83,4,41.83,41.83,47--,68
TimeAndSale,DAId:BXTR,20200821-110856.124+0100,20200821-110856+0100,123:835,T,41.815,210,41.825,41.82,47--,68
TimeAndSale,DAId:BXTR,20200821-111028.749+0100,20200821-111028+0100,744:837,T,41.845,138,41.845,41.845,32D-,68
TimeAndSale,DAId:BXTR,20200821-111303.949+0100,20200821-111303+0100,942:839,T,41.83,22,41.83,41.83,32D-,68
TimeAndSale,DAId:BXTR,20200821-111507.385+0100,20200821-111507+0100,383:841,T,41.83,52,41.845,41.83,47--,68
TimeAndSale,DAId:BXTR,20200821-111526.110+0100,20200821-111525+0100,372:843,T,41.86614,181,41.835,41.845,46--,36
TimeAndSale,DAId:BXTR,20200821-111528.140+0100,20200821-111527+0100,285:845,T,41.86835,2,41.835,41.845,46--,36
TimeAndSale,DAId:BXTR,20200821-111528.637+0100,20200821-111526+0100,541:847,T,41.90528,135,41.83,41.845,46--,36
TimeAndSale,DAId:BXTR,20200821-111833.208+0100,20200821-111833+0100,206:849,T,41.745,1000,41.745,41.755,47-5,68
TimeAndSale,DAId:BXTR,20200821-111848.676+0100,20200821-111848+0100,672:851,T,41.77,1,41.77,41.775,32D-,68
TimeAndSale,DAId:BXTR,20200821-111903.522+0100,20200821-111857+0100,496:853,T,41.77,47,41.77,41.775,47R-,68
TimeAndSale,DAId:BXTR,20200821-111920.575+0100,20200821-111920+0100,573:855,T,41.75,10,41.735,41.75,47--,36
TimeAndSale,DAId:BXTR,20200821-112002.989+0100,20200821-112002+0100,987:857,T,41.775,106,41.77,41.775,47--,36
TimeAndSale,DAId:BXTR,20200821-112020.843+0100,20200821-112020+0100,838:859,T,41.755,4,41.755,41.755,32D-,36
TimeAndSale,DAId:BXTR,20200821-112022.465+0100,20200821-112020+0100,606:861,T,41.755,300,41.755,41.76,47-5,68
TimeAndSale,DAId:BXTR,20200821-112150.153+0100,20200821-112148+0100,715:863,T,41.75,8,41.745,41.755,47--,68
TimeAndSale,DAId:BXTR,20200821-112253.954+0100,20200821-112253+0100,950:865,T,41.7575,100,41.755,41.76,32D-,68
TimeAndSale,DAId:BXTR,20200821-112428.041+0100,20200821-112428+0100,37:867,T,41.745,4,41.745,41.745,32D-,68
TimeAndSale,DAId:BXTR,20200821-112601.500+0100,20200821-112600+0100,133:869,T,41.725,15,41.715,41.725,47--,36
TimeAndSale,DAId:BXTR,20200821-112608.113+0100,20200821-112608+0100,91:871,T,41.725,59,41.715,41.725,47R-,36
TimeAndSale,DAId:BXTR,20200821-112703.618+0100,20200821-112703+0100,617:873,T,41.73,207,41.72,41.73,47--,36
TimeAndSale,DAId:BXTR,20200821-112706.848+0100,20200821-112706+0100,843:875,T,41.735,50,41.73,41.735,47--,36
TimeAndSale,DAId:BXTR,20200821-112712.469+0100,20200821-112712+0100,466:877,T,41.73,11,41.73,41.73,47--,36
TimeAndSale,DAId:BXTR,20200821-112805.734+0100,20200821-112804+0100,936:879,T,41.725,23,41.725,41.735,47--,68
TimeAndSale,DAId:BXTR,20200821-112811.823+0100,20200821-112811+0100,881,T,41.735,11,41.73,41.735,47--,36
TimeAndSale,DAId:BXTR,20200821-113112.288+0100,20200821-113112+0100,286:883,T,41.75,59,41.74,41.75,47--,36
TimeAndSale,DAId:BXTR,20200821-113138.143+0100,20200821-113138+0100,141:885,T,41.74,30,41.74,41.745,62--,68
TimeAndSale,DAId:BXTR,20200821-113209.011+0100,20200821-113208+0100,996:887,T,41.75,65,41.75,41.75,47R-,68
TimeAndSale,DAId:BXTR,20200821-113457.463+0100,20200821-113457+0100,889,T,41.69,11,41.69,41.69,47R-,68
TimeAndSale,DAId:BXTR,20200821-113609.252+0100,20200821-113609+0100,248:891,T,41.69,59,41.69,41.69,32D-,68
TimeAndSale,DAId:BXTR,20200821-113656.181+0100,20200821-113655+0100,673:893,T,41.68,144,41.675,41.685,47-5,68
TimeAndSale,DAId:BXTR,20200821-113702.129+0100,20200821-113702+0100,126:895,T,41.685,59,41.675,41.685,47R-,36
TimeAndSale,DAId:BXTR,20200821-113810.189+0100,20200821-113810+0100,178:897,T,41.685,51,41.685,41.695,47--,68
TimeAndSale,DAId:BXTR,20200821-113944.621+0100,20200821-113944+0100,617:899,T,41.685,25,41.69,41.685,32D-,68
TimeAndSale,DAId:BXTR,20200821-114012.762+0100,20200821-114011+0100,517:901,T,41.67,16,41.66,41.67,47--,36
TimeAndSale,DAId:BXTR,20200821-114031.869+0100,20200821-114031+0100,867:903,T,41.65,87,41.65,41.65,62--,36
TimeAndSale,DAId:BXTR,20200821-114043.853+0100,20200821-114041+0100,256:905,T,41.655,25,41.65,41.66,47--,36
TimeAndSale,DAId:BXTR,20200821-114052.216+0100,20200821-114052+0100,206:907,T,41.64,45,41.64,41.655,47--,68
TimeAndSale,DAId:BXTR,20200821-114135.513+0100,20200821-114135+0100,909,T,41.645,12,41.645,41.645,47R-,68
TimeAndSale,DAId:BXTR,20200821-114144.570+0100,20200821-114144+0100,567:911,T,41.63,113,41.63,41.635,62--,68
TimeAndSale,DAId:BXTR,20200821-114222.675+0100,20200821-114222+0100,672:913,T,41.61,500,41.61,41.62,47-5,68
TimeAndSale,DAId:BXTR,20200821-114253.537+0100,20200821-114253+0100,535:915,T,41.605,298,41.605,41.61,47-5,68
TimeAndSale,DAId:BXTR,20200821-114301.117+0100,20200821-114301+0100,112:917,T,41.6,104,41.6,41.6,47R-,68
TimeAndSale,DAId:BXTR,20200821-114301.252+0100,20200821-114301+0100,250:919,T,41.595,215,41.595,41.6,47--,68
TimeAndSale,DAId:BXTR,20200821-114305.774+0100,20200821-114305+0100,773:921,T,41.61,60,41.6,41.61,47--,36
TimeAndSale,DAId:BXTR,20200821-114311.475+0100,20200821-114310+0100,24:923,T,41.61,13,41.605,41.615,47--,36
TimeAndSale,DAId:BXTR,20200821-114403.502+0100,20200821-114403+0100,394:925,T,41.615,39,41.61,41.605,47R-,36
TimeAndSale,DAId:BXTR,20200821-114417.185+0100,20200821-114417+0100,182:927,T,41.595,60,41.595,41.605,47--,68
TimeAndSale,DAId:BXTR,20200821-114706.798+0100,20200821-114706+0100,797:929,T,41.585,3,41.57,41.585,47--,36
TimeAndSale,DAId:BXTR,20200821-114821.024+0100,20200821-114818+0100,762:931,T,41.61,10,41.605,41.615,47--,36
TimeAndSale,DAId:BXTR,20200821-115224.842+0100,20200821-115222+0100,585:933,T,41.62,10,41.61,41.62,47--,36
TimeAndSale,DAId:BXTR,20200821-115459.378+0100,20200821-115459+0100,375:935,T,41.565,586,41.56,41.57,47-5,36
TimeAndSale,DAId:BXTR,20200821-115737.158+0100,20200821-115737+0100,156:937,T,41.565,2,41.555,41.565,47--,36
TimeAndSale,DAId:BXTR,20200821-115803.489+0100,20200821-115803+0100,487:939,T,41.57,15,41.56,41.57,47R-,36
TimeAndSale,DAId:BXTR,20200821-115807.874+0100,20200821-115807+0100,870:941,T,41.58,2,41.585,41.58,32D-,68
TimeAndSale,DAId:BXTR,20200821-115809.972+0100,20200821-115809+0100,970:943,T,41.6,4,41.6,41.6,47--,68
