#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:BXTR,20200821-075642.214+0100,20200820-172533+0100,44:111,T,42.057014,1055,41.965,41.9,46--,36
TimeAndSale,DAId:BXTR,20200821-080024.143+0100,20200821-080022+0100,596:113,T,42.035,57,42.045,41.9,47--,36
TimeAndSale,DAId:BXTR,20200821-080042.615+0100,20200821-080042+0100,613:115,T,42.095,96,42.105,42.12,47--,68
TimeAndSale,DAId:BXTR,20200821-080117.970+0100,20200821-080116+0100,20:117,T,42.115,3,42.13,42.145,47--,68
TimeAndSale,DAId:BXTR,20200821-080200.441+0100,20200821-080200+0100,231:119,T,42.1557,141,42.115,42.155,46--,36
TimeAndSale,DAId:BXTR,20200821-080319.667+0100,20200821-080319+0100,666:121,T,42.05,80,42.05,42.075,47--,68
TimeAndSale,DAId:BXTR,20200821-080346.609+0100,20200821-080345+0100,40:123,T,42.055,521,42.05,42.07,47-5,68
TimeAndSale,DAId:BXTR,20200821-080413.276+0100,20200821-080319+0100,666:125,T,42.05,80,42.13,42.145,47--,68
TimeAndSale,DAId:BXTR,20200821-080413.295+0100,20200821-080221+0100,171:127,T,42.085,11,42.13,42.145,47--,68
TimeAndSale,DAId:BXTR,20200821-080443.721+0100,20200821-080336+0100,206:129,T,42.035,50,42.165,42.19,47--,68
TimeAndSale,DAId:BXTR,20200821-080502.105+0100,20200821-080423+0100,645:131,T,42.175,35,42.175,42.195,47--,68
TimeAndSale,DAId:BXTR,20200821-080552.806+0100,20200821-080552+0100,795:133,T,42.395,124,42.405,42.405,47R-,68
TimeAndSale,DAId:BXTR,20200821-080553.103+0100,20200821-080553+0100,101:135,T,42.405,535,42.385,42.405,47-5,36
TimeAndSale,DAId:BXTR,20200821-080559.448+0100,20200821-080559+0100,403:137,T,42.355,2,42.355,42.37,47--,68
TimeAndSale,DAId:BXTR,20200821-080612.900+0100,20200821-080612+0100,865:139,T,42.28,68,42.28,42.31,47--,68
TimeAndSale,DAId:BXTR,20200821-080651.120+0100,20200821-080649+0100,59:141,T,42.33,255,42.32,42.34,47-5,68
TimeAndSale,DAId:BXTR,20200821-080651.138+0100,20200821-080649+0100,68:143,T,42.32,82,42.32,42.34,47--,68
TimeAndSale,DAId:BXTR,20200821-080731.331+0100,20200821-080731+0100,327:145,T,42.2575,599,42.245,42.265,32D-,36
TimeAndSale,DAId:BXTR,20200821-080734.138+0100,20200821-080731+0100,321:147,T,42.255,685,42.25,42.27,47-5,68
TimeAndSale,DAId:BXTR,20200821-080815.486+0100,20200821-080815+0100,485:149,T,42.215,100,42.21,42.215,47--,36
TimeAndSale,DAId:BXTR,20200821-081034.880+0100,20200821-081034+0100,878:151,T,42.3,2,42.305,42.3,47--,68
TimeAndSale,DAId:BXTR,20200821-081118.762+0100,20200821-081118+0100,757:153,T,42.27,160,42.265,42.275,32D-,68
TimeAndSale,DAId:BXTR,20200821-081118.762+0100,20200821-081118+0100,758:155,T,42.27,160,42.265,42.275,32D-,68
TimeAndSale,DAId:BXTR,20200821-081153.751+0100,20200821-081151+0100,53:157,T,42.365,3,42.385,42.39,47--,68
