#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:CHIX,20200821-105957.257+0100,20200821-105957+0100,255:2947,C,41.82,5,41.82,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110001.627+0100,20200821-110001+0100,626:2949,C,41.82,9,41.82,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110001.638+0100,20200821-110001+0100,636:2951,C,41.815,15,41.815,41.82,12-H,68
TimeAndSale,DAId:CHIX,20200821-110002.535+0100,20200821-110002+0100,531:2953,C,41.81,112,41.81,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110002.535+0100,20200821-110002+0100,531:2955,C,41.81,10,41.81,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110002.535+0100,20200821-110002+0100,531:2957,C,41.81,86,41.81,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110002.545+0100,20200821-110002+0100,533:2959,C,41.805,86,41.795,41.805,12-H,36
TimeAndSale,DAId:CHIX,20200821-110002.562+0100,20200821-110002+0100,540:2961,C,41.795,32,41.795,41.81,12-H,68
TimeAndSale,DAId:CHIX,20200821-110005.411+0100,20200821-110005+0100,410:2963,C,41.81,300,41.795,41.81,12-H,36
TimeAndSale,DAId:CHIX,20200821-110010.531+0100,20200821-110010+0100,528:2965,C,41.795,24,41.795,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.531+0100,20200821-110010+0100,528:2967,C,41.795,72,41.795,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.531+0100,20200821-110010+0100,528:2969,C,41.795,266,41.795,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.531+0100,20200821-110010+0100,528:2971,C,41.795,34,41.795,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.531+0100,20200821-110010+0100,528:2973,C,41.795,112,41.795,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.532+0100,20200821-110010+0100,528:2975,C,41.79,112,41.79,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.532+0100,20200821-110010+0100,528:2977,C,41.79,50,41.79,41.815,12-H,68
TimeAndSale,DAId:CHIX,20200821-110010.551+0100,20200821-110010+0100,532:2979,C,41.79,86,41.79,41.795,12-H,68
TimeAndSale,DAId:CHIX,20200821-110014.940+0100,20200821-110014+0100,938:2981,C,41.795,200,41.78,41.795,12-H,36
TimeAndSale,DAId:CHIX,20200821-110014.940+0100,20200821-110014+0100,938:2983,C,41.795,112,41.78,41.795,12-H,36
TimeAndSale,DAId:CHIX,20200821-110059.459+0100,20200821-110059+0100,457:2985,C,41.81,10,41.805,41.81,12-H,36
TimeAndSale,DAId:CHIX,20200821-110059.459+0100,20200821-110059+0100,457:2987,C,41.81,1,41.805,41.81,12-H,36
TimeAndSale,DAId:CHIX,20200821-110113.338+0100,20200821-110113+0100,336:2989,C,41.835,19,41.835,41.845,12-H,68
TimeAndSale,DAId:CHIX,20200821-110125.556+0100,20200821-110125+0100,554:2991,C,41.82,40,41.82,41.835,12-H,68
TimeAndSale,DAId:CHIX,20200821-110125.556+0100,20200821-110125+0100,554:2993,C,41.82,86,41.82,41.835,12-H,68
TimeAndSale,DAId:CHIX,20200821-110144.218+0100,20200821-110144+0100,216:2995,C,41.825,12,41.815,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-110213.363+0100,20200821-110213+0100,362:2997,C,41.83,5,41.83,41.845,12-H,68
TimeAndSale,DAId:CHIX,20200821-110236.957+0100,20200821-110236+0100,952:2999,C,41.81,46,41.81,41.82,12-H,68
TimeAndSale,DAId:CHIX,20200821-110252.934+0100,20200821-110252+0100,933:3001,C,41.8,5,41.8,41.81,12-H,68
TimeAndSale,DAId:CHIX,20200821-110320.225+0100,20200821-110320+0100,223:3003,C,41.81,8,41.8,41.81,12-H,36
TimeAndSale,DAId:CHIX,20200821-110333.234+0100,20200821-110333+0100,233:3005,C,41.815,5,41.815,41.825,12-H,68
TimeAndSale,DAId:CHIX,20200821-110333.234+0100,20200821-110333+0100,233:3007,C,41.815,215,41.815,41.825,12-H,68
TimeAndSale,DAId:CHIX,20200821-110339.462+0100,20200821-110339+0100,460:3009,C,41.825,12,41.82,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-110416.399+0100,20200821-110416+0100,398:3011,C,41.83,7,41.83,41.84,12-H,68
TimeAndSale,DAId:CHIX,20200821-110435.817+0100,20200821-110435+0100,816:3013,C,41.86,12,41.86,41.87,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.171+0100,20200821-110439+0100,170:3015,C,41.855,118,41.835,41.855,12-H,36
TimeAndSale,DAId:CHIX,20200821-110439.171+0100,20200821-110439+0100,170:3017,C,41.855,300,41.835,41.855,12-H,36
TimeAndSale,DAId:CHIX,20200821-110439.885+0100,20200821-110439+0100,883:3019,C,41.855,162,41.855,41.87,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.885+0100,20200821-110439+0100,883:3021,C,41.855,141,41.855,41.87,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.887+0100,20200821-110439+0100,884:3023,C,41.855,27,41.855,41.87,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.887+0100,20200821-110439+0100,884:3025,C,41.855,37,41.855,41.87,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.889+0100,20200821-110439+0100,884:3027,C,41.855,254,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.889+0100,20200821-110439+0100,884:3029,C,41.855,142,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.889+0100,20200821-110439+0100,885:3031,C,41.855,133,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.889+0100,20200821-110439+0100,885:3033,C,41.855,11,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-110439.889+0100,20200821-110439+0100,885:3035,C,41.855,1175,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-110454.204+0100,20200821-110454+0100,203:3037,C,41.835,97,41.835,41.84,12-H,68
TimeAndSale,DAId:CHIX,20200821-110455.853+0100,20200821-110455+0100,851:3039,C,41.825,31,41.825,41.835,12-H,68
TimeAndSale,DAId:CHIX,20200821-110455.853+0100,20200821-110455+0100,851:3041,C,41.825,20,41.825,41.835,12-H,68
TimeAndSale,DAId:CHIX,20200821-110458.545+0100,20200821-110458+0100,544:3043,C,41.82,104,41.795,41.82,12-H,36
TimeAndSale,DAId:CHIX,20200821-110458.545+0100,20200821-110458+0100,544:3045,C,41.82,200,41.795,41.82,12-H,36
TimeAndSale,DAId:CHIX,20200821-110458.545+0100,20200821-110458+0100,544:3047,C,41.82,110,41.795,41.82,12-H,36
TimeAndSale,DAId:CHIX,20200821-110458.545+0100,20200821-110458+0100,544:3049,C,41.82,50,41.795,41.82,12-H,36
TimeAndSale,DAId:CHIX,20200821-110458.545+0100,20200821-110458+0100,544:3051,C,41.82,86,41.795,41.82,12-H,36
TimeAndSale,DAId:CHIX,20200821-110503.013+0100,20200821-110503+0100,12:3053,C,41.815,9,41.815,41.825,12-H,68
TimeAndSale,DAId:CHIX,20200821-110503.013+0100,20200821-110503+0100,12:3055,C,41.815,3,41.815,41.825,12-H,68
TimeAndSale,DAId:CHIX,20200821-110511.946+0100,20200821-110511+0100,945:3057,C,41.825,45,41.81,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-110511.946+0100,20200821-110511+0100,945:3059,C,41.825,78,41.81,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-110601.362+0100,20200821-110601+0100,361:3061,C,41.84,13,41.83,41.84,12-H,36
TimeAndSale,DAId:CHIX,20200821-110625.812+0100,20200821-110625+0100,811:3063,C,41.83,38,41.83,41.84,12-H,68
TimeAndSale,DAId:CHIX,20200821-110743.134+0100,20200821-110743+0100,131:3065,C,41.835,11,41.825,41.835,12-H,36
TimeAndSale,DAId:CHIX,20200821-110743.134+0100,20200821-110743+0100,131:3067,C,41.835,30,41.825,41.835,12-H,36
TimeAndSale,DAId:CHIX,20200821-110743.138+0100,20200821-110743+0100,131:3069,C,41.835,453,41.825,41.835,12-H,36
TimeAndSale,DAId:CHIX,20200821-110812.580+0100,20200821-110812+0100,578:3071,C,41.83,5,41.83,41.84,12-H,68
TimeAndSale,DAId:CHIX,20200821-110851.677+0100,20200821-110851+0100,676:3073,C,41.83,19,41.83,41.84,12-H,68
TimeAndSale,DAId:CHIX,20200821-110914.189+0100,20200821-110914+0100,188:3075,C,41.815,16,41.815,41.83,12-H,68
TimeAndSale,DAId:CHIX,20200821-110918.054+0100,20200821-110918+0100,46:3077,C,41.825,14,41.82,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-110918.056+0100,20200821-110918+0100,47:3079,C,41.83,101,41.82,41.83,12-H,36
TimeAndSale,DAId:CHIX,20200821-111001.508+0100,20200821-111001+0100,506:3081,C,41.835,1,41.835,41.845,12-H,68
TimeAndSale,DAId:CHIX,20200821-111001.540+0100,20200821-111001+0100,538:3083,C,41.845,101,41.835,41.845,12-H,36
TimeAndSale,DAId:CHIX,20200821-111028.743+0100,20200821-111028+0100,741:3085,C,41.845,11,41.845,41.855,12-H,68
TimeAndSale,DAId:CHIX,20200821-111028.752+0100,20200821-111028+0100,750:3087,C,41.845,120,41.83,41.845,12-H,36
TimeAndSale,DAId:CHIX,20200821-111028.760+0100,20200821-111028+0100,759:3089,C,41.845,15,41.845,41.85,12-H,68
TimeAndSale,DAId:CHIX,20200821-111035.054+0100,20200821-111035+0100,53:3091,C,41.855,21,41.84,41.855,12-H,36
TimeAndSale,DAId:CHIX,20200821-111057.037+0100,20200821-111057+0100,32:3093,C,41.875,231,41.875,41.89,12-H,68
TimeAndSale,DAId:CHIX,20200821-111057.042+0100,20200821-111057+0100,33:3095,C,41.88,31,41.88,41.89,12-H,68
TimeAndSale,DAId:CHIX,20200821-111057.042+0100,20200821-111057+0100,34:3097,C,41.88,169,41.88,41.89,12-H,68
TimeAndSale,DAId:CHIX,20200821-111117.790+0100,20200821-111117+0100,788:3099,C,41.88,4,41.88,41.89,12-H,68
TimeAndSale,DAId:CHIX,20200821-111119.263+0100,20200821-111119+0100,262:3101,C,41.875,5,41.875,41.885,12-H,68
TimeAndSale,DAId:CHIX,20200821-111121.146+0100,20200821-111121+0100,145:3103,C,41.87,15,41.87,41.88,12-H,68
TimeAndSale,DAId:CHIX,20200821-111217.788+0100,20200821-111217+0100,787:3105,C,41.855,12,41.855,41.865,12-H,68
TimeAndSale,DAId:CHIX,20200821-111222.540+0100,20200821-111222+0100,538:3107,C,41.84,117,41.84,41.86,12-H,68
TimeAndSale,DAId:CHIX,20200821-111222.905+0100,20200821-111222+0100,904:3109,C,41.825,59,41.805,41.825,12-H,36
TimeAndSale,DAId:CHIX,20200821-111227.475+0100,20200821-111227+0100,474:3111,C,41.83,15,41.825,41.83,12-H,36
TimeAndSale,DAId:CHIX,20200821-111300.244+0100,20200821-111300+0100,242:3113,C,41.805,129,41.8,41.805,12-H,36
TimeAndSale,DAId:CHIX,20200821-111302.185+0100,20200821-111302+0100,183:3115,C,41.815,69,41.8,41.815,12-H,36
TimeAndSale,DAId:CHIX,20200821-111317.402+0100,20200821-111317+0100,401:3117,C,41.855,23,41.855,41.87,12-H,68
