#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,DAId:CHIX,20200820-162956.988+0100,20200820-162956+0100,987:11341,C,41.995,31,41.995,42.015,12-H,68
TimeAndSale,DAId:CHIX,20200821-080017.131+0100,20200821-080017+0100,130:1,C,42.05,18,42.05,42.2,12-H,68
TimeAndSale,DAId:CHIX,20200821-080022.231+0100,20200821-080022+0100,229:3,C,42.075,50,42.075,42.145,12-H,68
TimeAndSale,DAId:CHIX,20200821-080022.235+0100,20200821-080022+0100,234:5,C,42.065,49,42.065,42.1,12-H,68
TimeAndSale,DAId:CHIX,20200821-080022.235+0100,20200821-080022+0100,234:7,C,42.1,19,42.05,42.1,12-H,36
TimeAndSale,DAId:CHIX,20200821-080022.236+0100,20200821-080022+0100,235:9,C,42.075,45,42.075,42.145,12-H,68
TimeAndSale,DAId:CHIX,20200821-080022.590+0100,20200821-080022+0100,589:11,C,42.05,17,42.05,42.145,12-H,68
TimeAndSale,DAId:CHIX,20200821-080027.143+0100,20200821-080027+0100,142:13,C,42.1,75,42.06,42.1,12-H,36
TimeAndSale,DAId:CHIX,20200821-080027.144+0100,20200821-080027+0100,143:15,C,42.145,8,41.91,42.145,12-H,36
TimeAndSale,DAId:CHIX,20200821-080036.242+0100,20200821-080036+0100,241:17,C,42.115,11,42.095,42.115,12-H,36
TimeAndSale,DAId:CHIX,20200821-080038.991+0100,20200821-080038+0100,990:19,C,42.095,16,42.095,42.16,12-H,68
TimeAndSale,DAId:CHIX,20200821-080038.991+0100,20200821-080038+0100,990:21,C,42.095,13,42.095,42.16,12-H,68
TimeAndSale,DAId:CHIX,20200821-080042.556+0100,20200821-080042+0100,555:23,C,42.105,19,42.105,42.125,12-H,68
TimeAndSale,DAId:CHIX,20200821-080055.059+0100,20200821-080055+0100,58:25,C,42.11,106,42.06,42.11,12-H,36
TimeAndSale,DAId:CHIX,20200821-080055.062+0100,20200821-080055+0100,61:27,C,42.12,52,42.06,42.12,12-H,36
TimeAndSale,DAId:CHIX,20200821-080055.079+0100,20200821-080055+0100,78:29,C,42.125,9,42.09,42.125,12-H,36
TimeAndSale,DAId:CHIX,20200821-080109.175+0100,20200821-080109+0100,174:31,C,42.145,15,42.145,42.195,12-H,68
TimeAndSale,DAId:CHIX,20200821-080111.257+0100,20200821-080111+0100,256:33,C,42.135,2,42.135,42.16,12-H,68
TimeAndSale,DAId:CHIX,20200821-080116.610+0100,20200821-080116+0100,609:35,C,42.14,12,42.14,42.195,12-H,68
TimeAndSale,DAId:CHIX,20200821-080139.626+0100,20200821-080139+0100,625:37,C,42.17,66,42.13,42.17,12-H,36
TimeAndSale,DAId:CHIX,20200821-080152.918+0100,20200821-080152+0100,917:39,C,42.175,16,42.175,42.185,12-H,68
TimeAndSale,DAId:CHIX,20200821-080203.120+0100,20200821-080203+0100,119:41,C,42.085,87,42.065,42.085,12-H,36
TimeAndSale,DAId:CHIX,20200821-080203.124+0100,20200821-080203+0100,122:43,C,42.09,2,42.065,42.09,12-H,36
TimeAndSale,DAId:CHIX,20200821-080215.918+0100,20200821-080215+0100,916:45,C,42.09,3,42.09,42.125,12-H,68
TimeAndSale,DAId:CHIX,20200821-080215.918+0100,20200821-080215+0100,916:47,C,42.09,50,42.09,42.125,12-H,68
TimeAndSale,DAId:CHIX,20200821-080229.206+0100,20200821-080229+0100,205:49,C,42.11,3,42.065,42.11,12-H,36
TimeAndSale,DAId:CHIX,20200821-080237.698+0100,20200821-080237+0100,697:51,C,42.13,66,42.08,42.13,12-H,36
TimeAndSale,DAId:CHIX,20200821-080237.704+0100,20200821-080237+0100,702:53,C,42.135,58,42.115,42.135,12-H,36
TimeAndSale,DAId:CHIX,20200821-080248.038+0100,20200821-080248+0100,36:55,C,42.1,21,42.1,42.135,12-H,68
TimeAndSale,DAId:CHIX,20200821-080252.862+0100,20200821-080252+0100,861:57,C,42.08,2,42.08,42.135,12-H,68
TimeAndSale,DAId:CHIX,20200821-080252.862+0100,20200821-080252+0100,861:59,C,42.075,100,42.08,42.135,12-H,68
TimeAndSale,DAId:CHIX,20200821-080252.865+0100,20200821-080252+0100,864:61,C,42.085,3,42.085,42.095,12-H,68
TimeAndSale,DAId:CHIX,20200821-080255.574+0100,20200821-080255+0100,573:63,C,42.085,79,42.065,42.085,12-H,36
TimeAndSale,DAId:CHIX,20200821-080255.574+0100,20200821-080255+0100,573:65,C,42.09,41,42.065,42.09,12-H,36
TimeAndSale,DAId:CHIX,20200821-080302.172+0100,20200821-080302+0100,171:67,C,42.065,29,42.065,42.095,12-H,68
TimeAndSale,DAId:CHIX,20200821-080311.813+0100,20200821-080311+0100,812:69,C,42.045,24,42.035,42.045,12-H,36
TimeAndSale,DAId:CHIX,20200821-080312.928+0100,20200821-080312+0100,927:71,C,42.06,8,42.035,42.06,12-H,36
TimeAndSale,DAId:CHIX,20200821-080314.833+0100,20200821-080314+0100,831:73,C,42.07,3,42.07,42.085,12-H,68
TimeAndSale,DAId:CHIX,20200821-080315.328+0100,20200821-080315+0100,327:75,C,42.075,24,42.015,42.075,12-H,36
TimeAndSale,DAId:CHIX,20200821-080337.051+0100,20200821-080337+0100,50:77,C,42.035,2,42.035,42.055,12-H,68
TimeAndSale,DAId:CHIX,20200821-080340.373+0100,20200821-080340+0100,372:79,C,42.055,377,42.035,42.055,12-H,36
TimeAndSale,DAId:CHIX,20200821-080345.303+0100,20200821-080345+0100,301:81,C,42.06,2,42.04,42.06,12-H,36
TimeAndSale,DAId:CHIX,20200821-080346.885+0100,20200821-080346+0100,884:83,C,42.07,48,42.04,42.07,12-H,36
TimeAndSale,DAId:CHIX,20200821-080353.823+0100,20200821-080353+0100,822:85,C,42.085,28,42.085,42.13,12-H,68
TimeAndSale,DAId:CHIX,20200821-080410.280+0100,20200821-080410+0100,279:87,C,42.12,3,42.12,42.17,12-H,68
TimeAndSale,DAId:CHIX,20200821-080410.291+0100,20200821-080410+0100,289:89,C,42.125,25,42.1,42.125,12-H,36
TimeAndSale,DAId:CHIX,20200821-080410.547+0100,20200821-080410+0100,546:91,C,42.1,103,42.1,42.11,12-H,68
TimeAndSale,DAId:CHIX,20200821-080410.562+0100,20200821-080410+0100,561:93,C,42.095,49,42.095,42.11,12-H,68
TimeAndSale,DAId:CHIX,20200821-080412.238+0100,20200821-080412+0100,237:95,C,42.125,2,42.095,42.125,12-H,36
TimeAndSale,DAId:CHIX,20200821-080412.238+0100,20200821-080412+0100,237:97,C,42.13,100,42.095,42.125,12-H,36
TimeAndSale,DAId:CHIX,20200821-080412.240+0100,20200821-080412+0100,239:99,C,42.135,11,42.12,42.135,12-H,36
TimeAndSale,DAId:CHIX,20200821-080434.409+0100,20200821-080434+0100,408:101,C,42.175,271,42.175,42.225,12-H,68
TimeAndSale,DAId:CHIX,20200821-080434.409+0100,20200821-080434+0100,408:103,C,42.17,100,42.17,42.225,12-H,68
TimeAndSale,DAId:CHIX,20200821-080434.414+0100,20200821-080434+0100,413:105,C,42.165,121,42.165,42.18,12-H,68
TimeAndSale,DAId:CHIX,20200821-080435.071+0100,20200821-080435+0100,70:107,C,42.17,9,42.115,42.17,12-H,36
TimeAndSale,DAId:CHIX,20200821-080435.711+0100,20200821-080435+0100,710:109,C,42.185,85,42.165,42.185,12-H,36
TimeAndSale,DAId:CHIX,20200821-080500.019+0100,20200821-080500+0100,18:111,C,42.195,38,42.17,42.195,12-H,36
TimeAndSale,DAId:CHIX,20200821-080500.019+0100,20200821-080500+0100,18:113,C,42.195,15,42.17,42.195,12-H,36
TimeAndSale,DAId:CHIX,20200821-080508.141+0100,20200821-080508+0100,139:115,C,42.195,8,42.17,42.195,12-H,36
TimeAndSale,DAId:CHIX,20200821-080541.263+0100,20200821-080541+0100,261:117,C,42.395,300,42.395,42.43,12-H,68
TimeAndSale,DAId:CHIX,20200821-080541.830+0100,20200821-080541+0100,829:119,C,42.41,10,42.375,42.41,12-H,36
TimeAndSale,DAId:CHIX,20200821-080541.830+0100,20200821-080541+0100,829:121,C,42.41,201,42.375,42.41,12-H,36
TimeAndSale,DAId:CHIX,20200821-080545.278+0100,20200821-080545+0100,277:123,C,42.41,52,42.375,42.41,12-H,36
TimeAndSale,DAId:CHIX,20200821-080552.523+0100,20200821-080552+0100,522:125,C,42.405,77,42.405,42.47,12-H,68
TimeAndSale,DAId:CHIX,20200821-080552.523+0100,20200821-080552+0100,522:127,C,42.4,33,42.4,42.415,12-H,68
TimeAndSale,DAId:CHIX,20200821-080552.523+0100,20200821-080552+0100,522:129,C,42.4,285,42.4,42.415,12-H,68
TimeAndSale,DAId:CHIX,20200821-080552.534+0100,20200821-080552+0100,532:131,C,42.405,62,42.395,42.405,12-H,36
TimeAndSale,DAId:CHIX,20200821-080552.534+0100,20200821-080552+0100,532:133,C,42.405,7,42.395,42.405,12-H,36
TimeAndSale,DAId:CHIX,20200821-080552.540+0100,20200821-080552+0100,539:135,C,42.395,2,42.395,42.4,12-H,68
TimeAndSale,DAId:CHIX,20200821-080553.757+0100,20200821-080553+0100,756:137,C,42.385,28,42.385,42.405,12-H,68
TimeAndSale,DAId:CHIX,20200821-080553.770+0100,20200821-080553+0100,769:139,C,42.37,54,42.37,42.385,12-H,68
TimeAndSale,DAId:CHIX,20200821-080553.789+0100,20200821-080553+0100,788:141,C,42.36,41,42.36,42.38,12-H,68
TimeAndSale,DAId:CHIX,20200821-080553.901+0100,20200821-080553+0100,900:143,C,42.375,300,42.35,42.375,12-H,36
TimeAndSale,DAId:CHIX,20200821-080558.196+0100,20200821-080558+0100,195:145,C,42.355,23,42.355,42.38,12-H,68
TimeAndSale,DAId:CHIX,20200821-080558.196+0100,20200821-080558+0100,195:147,C,42.355,5,42.355,42.38,12-H,68
TimeAndSale,DAId:CHIX,20200821-080558.196+0100,20200821-080558+0100,195:149,C,42.355,301,42.355,42.38,12-H,68
TimeAndSale,DAId:CHIX,20200821-080558.196+0100,20200821-080558+0100,195:151,C,42.355,94,42.355,42.38,12-H,68
TimeAndSale,DAId:CHIX,20200821-080558.197+0100,20200821-080558+0100,195:153,C,42.35,38,42.35,42.37,12-H,68
TimeAndSale,DAId:CHIX,20200821-080558.336+0100,20200821-080558+0100,335:155,C,42.365,57,42.35,42.365,12-H,36
TimeAndSale,DAId:CHIX,20200821-080558.336+0100,20200821-080558+0100,335:157,C,42.365,19,42.35,42.365,12-H,36
TimeAndSale,DAId:CHIX,20200821-080558.336+0100,20200821-080558+0100,335:159,C,42.365,224,42.35,42.365,12-H,36
TimeAndSale,DAId:CHIX,20200821-080600.015+0100,20200821-080600+0100,14:161,C,42.35,3,42.35,42.36,12-H,68
