;Íמלונ;Âנולÿ;Èםסענףלוםע;Öוםא;Êמכ-גמ;Îבתול;Îןונאצטÿ
1;4 081 565 088;10:00:28;SAP [XTR_DAX];137.5;18 707;2 572 212.50;
2;4 081 565 089;10:00:28;SAP [XTR_DAX];137.5;7;962.5;
3;4 081 565 090;10:00:28;SAP [XTR_DAX];137.36;20;2 747.20;
4;4 081 565 091;10:00:28;SAP [XTR_DAX];137.5;105;14 437.50;
5;4 081 565 092;10:00:28;SAP [XTR_DAX];137.5;318;43 725.00;
6;4 081 565 093;10:00:30;SAP [XTR_DAX];137.5;104;14 300.00;
7;4 081 565 094;10:00:30;SAP [XTR_DAX];137.5;1;137.5;
8;4 081 565 095;10:00:30;SAP [XTR_DAX];137.54;35;4 813.90;
9;4 081 565 096;10:00:30;SAP [XTR_DAX];137.54;184;25 307.36;
10;4 081 565 097;10:00:30;SAP [XTR_DAX];137.54;123;16 917.42;
11;4 081 565 098;10:00:30;SAP [XTR_DAX];137.44;150;20 616.00;
12;4 081 565 099;10:00:30;SAP [XTR_DAX];137.42;53;7 283.26;
13;4 081 565 100;10:00:31;SAP [XTR_DAX];137.36;606;83 240.16;
14;4 081 565 101;10:00:31;SAP [XTR_DAX];137.36;33;4 532.88;
15;4 081 565 102;10:00:31;SAP [XTR_DAX];137.36;59;8 104.24;
16;4 081 565 103;10:00:32;SAP [XTR_DAX];137.34;235;32 274.90;
17;4 081 565 104;10:00:32;SAP [XTR_DAX];137.26;204;28 001.04;
18;4 081 565 105;10:00:34;SAP [XTR_DAX];137.36;175;24 038.00;
19;4 081 565 106;10:00:34;SAP [XTR_DAX];137.38;11;1 511.18;
20;4 081 565 107;10:00:34;SAP [XTR_DAX];137.36;49;6 730.64;
21;4 081 565 108;10:00:41;SAP [XTR_DAX];137.44;14;1 924.16;
22;4 081 565 109;10:00:41;SAP [XTR_DAX];137.44;225;30 924.00;
23;4 081 565 110;10:00:41;SAP [XTR_DAX];137.52;150;20 628.00;
24;4 081 565 111;10:00:44;SAP [XTR_DAX];137.52;39;5 363.28;
25;4 081 565 112;10:00:44;SAP [XTR_DAX];137.54;58;7 977.32;
26;4 081 565 113;10:00:44;SAP [XTR_DAX];137.58;70;9 630.60;
27;4 081 565 114;10:01:02;SAP [XTR_DAX];137.8;21;2 893.80;
28;4 081 565 115;10:01:04;SAP [XTR_DAX];137.8;10;1 378.00;
29;4 081 565 116;10:01:04;SAP [XTR_DAX];137.8;20;2 756.00;
30;4 081 565 117;10:01:07;SAP [XTR_DAX];137.86;150;20 679.00;
31;4 081 565 118;10:01:07;SAP [XTR_DAX];137.88;54;7 445.52;
32;4 081 565 119;10:01:07;SAP [XTR_DAX];137.88;1 200;165 456.00;
33;4 081 565 120;10:01:07;SAP [XTR_DAX];137.88;308;42 467.04;
34;4 081 565 121;10:01:07;SAP [XTR_DAX];137.88;288;39 709.44;
35;4 081 565 122;10:01:07;SAP [XTR_DAX];137.88;685;94 447.80;
36;4 081 565 123;10:01:07;SAP [XTR_DAX];137.9;295;40 680.50;
37;4 081 565 124;10:01:07;SAP [XTR_DAX];137.84;67;9 235.28;
38;4 081 565 125;10:01:07;SAP [XTR_DAX];137.88;38;5 239.44;
39;4 081 565 126;10:01:07;SAP [XTR_DAX];137.88;112;15 442.56;
40;4 081 565 127;10:01:07;SAP [XTR_DAX];137.88;181;24 956.28;
41;4 081 565 128;10:01:07;SAP [XTR_DAX];137.88;70;9 651.60;
42;4 081 565 129;10:01:07;SAP [XTR_DAX];137.88;90;12 409.20;
43;4 081 565 130;10:01:07;SAP [XTR_DAX];137.88;645;88 932.60;
44;4 081 565 131;10:01:07;SAP [XTR_DAX];137.88;41;5 653.08;
45;4 081 565 132;10:01:07;SAP [XTR_DAX];137.88;32;4 412.16;
46;4 081 565 133;10:01:07;SAP [XTR_DAX];137.88;260;35 848.80;
47;4 081 565 134;10:01:08;SAP [XTR_DAX];137.94;29;4 000.26;
48;4 081 565 135;10:01:20;SAP [XTR_DAX];137.84;331;45 625.04;
49;4 081 565 136;10:01:20;SAP [XTR_DAX];137.84;80;11 027.20;
50;4 081 565 137;10:01:20;SAP [XTR_DAX];137.82;145;19 983.90;
51;4 081 565 138;10:01:31;SAP [XTR_DAX];137.76;181;24 934.56;
52;4 081 565 139;10:01:31;SAP [XTR_DAX];137.74;141;19 421.34;
53;4 081 565 140;10:01:37;SAP [XTR_DAX];137.76;71;9 780.96;
54;4 081 565 141;10:01:39;SAP [XTR_DAX];137.78;150;20 667.00;
55;4 081 565 142;10:01:39;SAP [XTR_DAX];137.76;90;12 398.40;
56;4 081 565 143;10:01:41;SAP [XTR_DAX];137.76;43;5 923.68;
57;4 081 565 144;10:01:44;SAP [XTR_DAX];137.78;150;20 667.00;
58;4 081 565 145;10:01:44;SAP [XTR_DAX];137.76;100;13 776.00;
59;4 081 565 146;10:01:44;SAP [XTR_DAX];137.74;131;18 043.94;
60;4 081 565 147;10:01:44;SAP [XTR_DAX];137.74;100;13 774.00;
61;4 081 565 148;10:01:44;SAP [XTR_DAX];137.78;203;27 969.34;
62;4 081 565 149;10:01:44;SAP [XTR_DAX];137.8;150;20 670.00;
63;4 081 565 150;10:01:44;SAP [XTR_DAX];137.74;50;6 887.00;
64;4 081 565 151;10:01:44;SAP [XTR_DAX];137.72;43;5 921.96;
65;4 081 565 152;10:01:44;SAP [XTR_DAX];137.7;193;26 576.10;
66;4 081 565 153;10:01:44;SAP [XTR_DAX];137.7;214;29 467.80;
67;4 081 565 154;10:01:44;SAP [XTR_DAX];137.7;308;42 411.60;
68;4 081 565 155;10:01:44;SAP [XTR_DAX];137.7;133;18 314.10;
69;4 081 565 156;10:01:44;SAP [XTR_DAX];137.7;214;29 467.80;
70;4 081 565 157;10:01:44;SAP [XTR_DAX];137.7;140;19 278.00;
71;4 081 565 158;10:01:44;SAP [XTR_DAX];137.7;36;4 957.20;
72;4 081 565 159;10:01:44;SAP [XTR_DAX];137.7;65;8 950.50;
73;4 081 565 160;10:01:44;SAP [XTR_DAX];137.7;51;7 022.70;
74;4 081 565 161;10:01:44;SAP [XTR_DAX];137.7;12;1 652.40;
75;4 081 565 162;10:01:44;SAP [XTR_DAX];137.7;134;18 451.80;
76;4 081 565 163;10:01:44;SAP [XTR_DAX];137.7;214;29 467.80;
