#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:BATE,20200821-152957.839+0100,20200821-152957+0100,837:5145,B,115.7,25,115.68,115.72,5I--,68
TimeAndSale,SIEd:BATE,20200821-153000.294+0100,20200821-153000+0100,292:5147,B,115.72,4,115.68,115.72,12-H,36
TimeAndSale,SIEd:BATE,20200821-153000.294+0100,20200821-153000+0100,292:5149,B,115.72,28,115.68,115.72,12-H,36
TimeAndSale,SIEd:BATE,20200821-153000.294+0100,20200821-153000+0100,292:5151,B,115.72,12,115.68,115.72,12-H,36
TimeAndSale,SIEd:BATE,20200821-153001.248+0100,20200821-153001+0100,247:5153,B,115.74,15,115.7,115.78,5I--,36
TimeAndSale,SIEd:BATE,20200821-153029.211+0100,20200821-153029+0100,209:5155,B,115.8,3,115.76,115.8,12-H,36
TimeAndSale,SIEd:BATE,20200821-153055.911+0100,20200821-153055+0100,910:5157,B,115.82,31,115.8,115.84,5I--,36
TimeAndSale,SIEd:BATE,20200821-153100.997+0100,20200821-153100+0100,996:5159,B,115.82,5,115.82,115.84,12-H,68
TimeAndSale,SIEd:BATE,20200821-153126.649+0100,20200821-153126+0100,647:5161,B,115.8,24,115.8,115.84,12-H,68
TimeAndSale,SIEd:BATE,20200821-153131.381+0100,20200821-153131+0100,380:5163,B,115.84,3,115.8,115.84,12-H,36
TimeAndSale,SIEd:BATE,20200821-153131.381+0100,20200821-153131+0100,380:5165,B,115.84,2,115.8,115.84,12-H,36
TimeAndSale,SIEd:BATE,20200821-153134.075+0100,20200821-153134+0100,74:5167,B,115.84,2,115.78,115.84,12-H,36
TimeAndSale,SIEd:BATE,20200821-153306.289+0100,20200821-153306+0100,288:5169,B,115.96,3,115.94,115.96,12-H,36
TimeAndSale,SIEd:BATE,20200821-153306.782+0100,20200821-153306+0100,780:5171,B,115.96,54,115.92,116,5I--,36
TimeAndSale,SIEd:BATE,20200821-153358.043+0100,20200821-153358+0100,41:5173,B,116.02,12,116.02,116.08,12-H,68
TimeAndSale,SIEd:BATE,20200821-153358.043+0100,20200821-153358+0100,41:5175,B,116.02,35,116.02,116.08,12-H,68
