#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:BATE,20200820-173302.310+0100,20200820-133010+0100,981:2891,B,115.9133,81,115.52,118.64,45-3,64
TimeAndSale,SIEd:BATE,20200821-080120.667+0100,20200821-080120+0100,666:1,B,117.05,18,116.84,117.2,5I--,36
TimeAndSale,SIEd:BATE,20200821-080144.238+0100,20200821-080144+0100,237:3,B,117.16,15,117.06,117.16,12-H,36
TimeAndSale,SIEd:BATE,20200821-080149.372+0100,20200821-080149+0100,371:5,B,117.22,20,117.14,117.22,12-H,36
TimeAndSale,SIEd:BATE,20200821-080243.735+0100,20200821-080243+0100,734:7,B,117.24,57,117.24,117.48,12-H,68
TimeAndSale,SIEd:BATE,20200821-080243.735+0100,20200821-080243+0100,734:9,B,117.24,11,117.24,117.48,12-H,68
TimeAndSale,SIEd:BATE,20200821-080318.266+0100,20200821-080318+0100,265:11,B,117.28,34,117.28,117.34,12-H,68
TimeAndSale,SIEd:BATE,20200821-080325.429+0100,20200821-080325+0100,428:13,B,117.26,72,117.26,117.48,12-H,68
TimeAndSale,SIEd:BATE,20200821-080325.438+0100,20200821-080325+0100,437:15,B,117.24,73,117.24,117.38,12-H,68
TimeAndSale,SIEd:BATE,20200821-080351.338+0100,20200821-080351+0100,336:17,B,117.28,169,117.28,117.32,12-H,68
TimeAndSale,SIEd:BATE,20200821-080409.276+0100,20200821-080409+0100,275:19,B,117.22,30,117.22,117.42,12-H,68
TimeAndSale,SIEd:BATE,20200821-080410.032+0100,20200821-080410+0100,31:21,B,117.22,63,117.22,117.42,12-H,68
TimeAndSale,SIEd:BATE,20200821-080503.575+0100,20200821-080503+0100,574:23,B,117.15,18,117,117.26,5I--,36
TimeAndSale,SIEd:BATE,20200821-080512.283+0100,20200821-080512+0100,282:25,B,117.24,17,117.12,117.24,12-H,36
TimeAndSale,SIEd:BATE,20200821-080515.950+0100,20200821-080515+0100,938:27,B,117.1839,13,117.16,117.42,45-3,64
TimeAndSale,SIEd:BATE,20200821-080608.288+0100,20200821-080608+0100,286:29,B,117.12,10,117.08,117.12,12-H,36
TimeAndSale,SIEd:BATE,20200821-080621.621+0100,20200821-080621+0100,620:31,B,117.12,24,117.12,117.18,12-H,68
TimeAndSale,SIEd:BATE,20200821-080642.208+0100,20200821-080642+0100,207:33,B,117.18,9,117.04,117.18,12-H,36
TimeAndSale,SIEd:BATE,20200821-080655.821+0100,20200821-080655+0100,820:35,B,117.22,8,117.12,117.22,12-H,36
TimeAndSale,SIEd:BATE,20200821-080817.986+0100,20200821-080817+0100,985:37,B,117.1,16,116.98,117.1,12-H,36
TimeAndSale,SIEd:BATE,20200821-080822.155+0100,20200821-080822+0100,153:39,B,117.12,14,117.02,117.12,12-H,36
TimeAndSale,SIEd:BATE,20200821-080830.988+0100,20200821-080830+0100,976:41,B,117.0323,13,117.04,117.18,45-3,64
TimeAndSale,SIEd:BATE,20200821-080849.191+0100,20200821-080849+0100,189:43,B,117.22,1,117.14,117.22,12-H,36
TimeAndSale,SIEd:BATE,20200821-080953.796+0100,20200821-080953+0100,795:45,B,117.22,33,117.22,117.3,12-H,68
TimeAndSale,SIEd:BATE,20200821-080953.796+0100,20200821-080953+0100,795:47,B,117.22,23,117.22,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-080953.796+0100,20200821-080953+0100,795:49,B,117.22,97,117.22,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-080956.459+0100,20200821-080956+0100,458:51,B,117.26,10,117.26,117.32,12-H,68
TimeAndSale,SIEd:BATE,20200821-081010.191+0100,20200821-081010+0100,189:53,B,117.24,4,117.14,117.3,5I--,36
TimeAndSale,SIEd:BATE,20200821-081014.318+0100,20200821-081014+0100,317:55,B,117.22,24,117.22,117.3,12-H,68
TimeAndSale,SIEd:BATE,20200821-081014.318+0100,20200821-081014+0100,317:57,B,117.22,35,117.22,117.3,12-H,68
TimeAndSale,SIEd:BATE,20200821-081014.318+0100,20200821-081014+0100,317:59,B,117.22,20,117.22,117.3,12-H,68
TimeAndSale,SIEd:BATE,20200821-081022.966+0100,20200821-081022+0100,965:61,B,117.2,11,117.2,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-081022.966+0100,20200821-081022+0100,965:63,B,117.2,4,117.2,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-081022.966+0100,20200821-081022+0100,965:65,B,117.2,12,117.2,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-081022.966+0100,20200821-081022+0100,965:67,B,117.2,11,117.2,117.28,12-H,68
TimeAndSale,SIEd:BATE,20200821-081034.852+0100,20200821-081034+0100,851:69,B,117.18,26,117.18,117.22,12-H,68
TimeAndSale,SIEd:BATE,20200821-081035.145+0100,20200821-081035+0100,144:71,B,117.16,9,117.16,117.22,12-H,68
TimeAndSale,SIEd:BATE,20200821-081035.146+0100,20200821-081035+0100,144:73,B,117.16,6,117.16,117.22,12-H,68
TimeAndSale,SIEd:BATE,20200821-081035.146+0100,20200821-081035+0100,144:75,B,117.16,9,117.16,117.22,12-H,68
TimeAndSale,SIEd:BATE,20200821-081036.537+0100,20200821-081036+0100,535:77,B,117.16,27,117.16,117.2,12-H,68
