#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:BXTR,20200821-152952.520+0100,20200821-152952+0100,497:3025,T,115.7,206,115.7,115.7,47--,36
TimeAndSale,SIEd:BXTR,20200821-153002.809+0100,20200821-152958+0100,396:3027,T,115.516369,47,115.72,115.76,47--,68
TimeAndSale,SIEd:BXTR,20200821-153004.446+0100,20200821-153004+0100,444:3029,T,115.74,75,115.72,115.74,47--,36
TimeAndSale,SIEd:BXTR,20200821-153010.357+0100,20200821-153009+0100,508:3031,T,115.76,105,115.76,115.78,47--,68
TimeAndSale,SIEd:BXTR,20200821-153026.703+0100,20200821-153026+0100,690:3033,T,115.7363,3,115.78,115.8,46--,68
TimeAndSale,SIEd:BXTR,20200821-153043.522+0100,20200821-153043+0100,519:3035,T,115.82,6,115.8,115.82,47--,36
TimeAndSale,SIEd:BXTR,20200821-153051.257+0100,20200821-153029+0100,218:3037,T,115.8,118,115.8,115.82,47--,68
TimeAndSale,SIEd:BXTR,20200821-153126.696+0100,20200821-153126+0100,654:3039,T,115.8,184,115.8,115.8,47R-,68
TimeAndSale,SIEd:BXTR,20200821-153136.664+0100,20200821-153136+0100,663:3041,T,115.84,142,115.84,115.86,47--,68
TimeAndSale,SIEd:BXTR,20200821-153200.115+0100,20200821-153200+0100,111:3043,T,115.84,4,115.84,115.84,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153203.230+0100,20200821-153203+0100,227:3045,T,115.84,233,115.84,115.84,62--,68
TimeAndSale,SIEd:BXTR,20200821-153203.872+0100,20200821-153203+0100,869:3047,T,115.84,422,115.82,115.86,47-5,68
TimeAndSale,SIEd:BXTR,20200821-153223.875+0100,20200821-153221+0100,507:3049,T,115.9,2,115.9,115.92,47--,68
TimeAndSale,SIEd:BXTR,20200821-153231.502+0100,20200821-153231+0100,495:3051,T,115.9,42,115.9,115.9,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153232.112+0100,20200821-153136+0100,663:3053,T,115.84,142,115.86,115.9,47--,68
TimeAndSale,SIEd:BXTR,20200821-153244.751+0100,20200821-153239+0100,3055,T,114.9696,81,115.92,115.96,46--,68
TimeAndSale,SIEd:BXTR,20200821-153251.730+0100,20200821-153251+0100,728:3057,T,115.96,37,115.96,115.96,47--,68
TimeAndSale,SIEd:BXTR,20200821-153258.020+0100,20200821-153258+0100,17:3059,T,115.96,7,115.96,115.96,47--,68
TimeAndSale,SIEd:BXTR,20200821-153338.226+0100,20200821-153337+0100,856:3061,T,115.96,8,115.96,115.98,47R-,68
TimeAndSale,SIEd:BXTR,20200821-153421.226+0100,20200821-153421+0100,223:3063,T,116.06,36,116.06,116.06,47--,68
TimeAndSale,SIEd:BXTR,20200821-153450.144+0100,20200821-153450+0100,3065,T,116.02,5,116.02,116.04,47R-,68
TimeAndSale,SIEd:BXTR,20200821-153516.610+0100,20200821-153516+0100,3067,T,116,11,116,115.98,47R-,36
TimeAndSale,SIEd:BXTR,20200821-153517.235+0100,20200821-153517+0100,227:3069,T,115.96,126,115.96,115.98,47R-,68
TimeAndSale,SIEd:BXTR,20200821-153524.900+0100,20200821-153524+0100,3071,T,115.98,13,115.98,115.98,47R-,68
TimeAndSale,SIEd:BXTR,20200821-153544.726+0100,20200821-153544+0100,724:3073,T,116.02,26,116,116.02,47--,36
TimeAndSale,SIEd:BXTR,20200821-153704.245+0100,20200821-153703+0100,3075,T,116.04,15,116.02,116.04,47--,36
TimeAndSale,SIEd:BXTR,20200821-153709.333+0100,20200821-153709+0100,330:3077,T,116,82,116.02,116,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153709.425+0100,20200821-153709+0100,421:3079,T,115.98,2,116.02,115.98,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153808.083+0100,20200821-153808+0100,80:3081,T,116,36,115.98,116,47R-,36
TimeAndSale,SIEd:BXTR,20200821-153809.502+0100,20200821-153749+0100,3083,T,114.956923,52,115.98,116,46--,68
TimeAndSale,SIEd:BXTR,20200821-153900.704+0100,20200821-153900+0100,701:3085,T,115.98,93,115.98,115.98,62--,68
TimeAndSale,SIEd:BXTR,20200821-153933.439+0100,20200821-153933+0100,435:3087,T,115.94,6,115.94,115.94,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153948.733+0100,20200821-153948+0100,729:3089,T,115.92,2,115.92,115.92,32D-,68
TimeAndSale,SIEd:BXTR,20200821-153950.396+0100,20200821-153950+0100,393:3091,T,115.9,147,115.9,115.92,62--,68
TimeAndSale,SIEd:BXTR,20200821-153958.092+0100,20200821-153958+0100,81:3093,T,115.9404,9,115.88,115.92,46--,36
TimeAndSale,SIEd:BXTR,20200821-153958.092+0100,20200821-153958+0100,80:3095,T,115.9404,27,115.88,115.92,46--,36
TimeAndSale,SIEd:BXTR,20200821-154012.104+0100,20200821-153957+0100,722:3097,T,115.940375,49,115.9,115.9,47--,36
TimeAndSale,SIEd:BXTR,20200821-154105.362+0100,20200821-154105+0100,358:3099,T,115.86,97,115.86,115.86,32D-,36
TimeAndSale,SIEd:BXTR,20200821-154213.235+0100,20200821-154213+0100,230:3101,T,115.82,2,115.82,115.82,32D-,36
TimeAndSale,SIEd:BXTR,20200821-154240.628+0100,20200821-154240+0100,624:3103,T,115.87,4,115.86,115.88,32D-,36
TimeAndSale,SIEd:BXTR,20200821-154240.632+0100,20200821-154240+0100,628:3105,T,115.88,21,115.86,115.88,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154241.280+0100,20200821-154241+0100,3107,T,115.88,31,115.88,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154250.852+0100,20200821-154250+0100,850:3109,T,115.9,23,115.88,115.9,47--,36
TimeAndSale,SIEd:BXTR,20200821-154312.315+0100,20200821-154312+0100,313:3111,T,115.88,24,115.86,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154322.806+0100,20200821-154322+0100,801:3113,T,115.86,339,115.86,115.88,32D-,68
TimeAndSale,SIEd:BXTR,20200821-154331.111+0100,20200821-154331+0100,109:3115,T,115.88,22,115.86,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154340.848+0100,20200821-154340+0100,846:3117,T,115.88,22,115.86,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154351.018+0100,20200821-154351+0100,14:3119,T,115.86,21,115.84,115.86,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154410.889+0100,20200821-154410+0100,887:3121,T,115.88,20,115.84,115.86,47--,36
TimeAndSale,SIEd:BXTR,20200821-154440.782+0100,20200821-154440+0100,780:3123,T,115.86,18,115.84,115.86,47--,36
TimeAndSale,SIEd:BXTR,20200821-154450.822+0100,20200821-154450+0100,820:3125,T,115.86,17,115.84,115.86,47--,36
TimeAndSale,SIEd:BXTR,20200821-154501.971+0100,20200821-154501+0100,969:3127,T,115.88,17,115.86,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154505.986+0100,20200821-154505+0100,984:3129,T,115.86,3,115.86,115.86,47--,36
TimeAndSale,SIEd:BXTR,20200821-154507.442+0100,20200821-154507+0100,438:3131,T,115.86,13,115.84,115.86,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154512.545+0100,20200821-154512+0100,543:3133,T,115.86,14,115.84,115.86,47--,36
TimeAndSale,SIEd:BXTR,20200821-154521.898+0100,20200821-154521+0100,896:3135,T,115.84,14,115.82,115.84,47--,36
TimeAndSale,SIEd:BXTR,20200821-154530.783+0100,20200821-154530+0100,779:3137,T,115.84,13,115.82,115.84,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154540.728+0100,20200821-154540+0100,726:3139,T,115.84,13,115.82,115.84,47--,36
TimeAndSale,SIEd:BXTR,20200821-154540.808+0100,20200821-154540+0100,803:3141,T,115.84,270,115.84,115.84,47-5,36
TimeAndSale,SIEd:BXTR,20200821-154550.549+0100,20200821-154550+0100,542:3143,T,115.86,13,115.84,115.86,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154601.037+0100,20200821-154601+0100,34:3145,T,115.84,12,115.82,115.84,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154605.783+0100,20200821-154605+0100,3147,T,115.82,95,115.82,115.82,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154605.784+0100,20200821-154605+0100,3149,T,115.82,32,115.82,115.82,47R-,36
TimeAndSale,SIEd:BXTR,20200821-154610.770+0100,20200821-154610+0100,768:3151,T,115.84,12,115.82,115.84,47--,36
TimeAndSale,SIEd:BXTR,20200821-154621.392+0100,20200821-154621+0100,390:3153,T,115.84,12,115.82,115.84,47--,36
TimeAndSale,SIEd:BXTR,20200821-154630.954+0100,20200821-154630+0100,952:3155,T,115.84,11,115.82,115.84,47--,36
TimeAndSale,SIEd:BXTR,20200821-154651.125+0100,20200821-154651+0100,123:3157,T,115.88,11,115.86,115.88,47--,36
TimeAndSale,SIEd:BXTR,20200821-154651.957+0100,20200821-154651+0100,954:3159,T,115.86,47,115.86,115.86,62--,36
