#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:BXTR,20200821-075642.245+0100,20200820-172545+0100,160:113,T,116.115695,460,116.36,116.36,46--,68
TimeAndSale,SIEd:BXTR,20200821-080043.548+0100,20200821-080041+0100,836:115,T,116.78,1,116.8,116.84,47--,68
TimeAndSale,SIEd:BXTR,20200821-080147.921+0100,20200821-080147+0100,917:117,T,117.16,5,117.16,117.18,32D-,68
TimeAndSale,SIEd:BXTR,20200821-080201.113+0100,20200821-080200+0100,907:119,T,117.0807,69,117.18,117.28,46--,68
TimeAndSale,SIEd:BXTR,20200821-080258.247+0100,20200821-080258+0100,121,T,117.28,47,117.26,117.3,47R-,68
TimeAndSale,SIEd:BXTR,20200821-080306.118+0100,20200821-080305+0100,918:123,T,117.2167,152,117.24,117.3,46--,68
TimeAndSale,SIEd:BXTR,20200821-080306.911+0100,20200821-080132+0100,632:125,T,117.02,5,117.24,117.28,47--,68
TimeAndSale,SIEd:BXTR,20200821-080313.382+0100,20200821-080313+0100,127,T,117.32,80,117.32,117.38,47--,68
TimeAndSale,SIEd:BXTR,20200821-080318.315+0100,20200821-080318+0100,313:129,T,117.3,19,117.32,117.3,62--,68
TimeAndSale,SIEd:BXTR,20200821-080329.329+0100,20200821-080329+0100,307:131,T,117.24,300,117.24,117.3,47--,68
TimeAndSale,SIEd:BXTR,20200821-080410.940+0100,20200821-080410+0100,929:133,T,117.2688,26,117.1,117.18,46--,36
TimeAndSale,SIEd:BXTR,20200821-080411.221+0100,20200821-080411+0100,135,T,117.08,96,117.1,117.18,47--,68
TimeAndSale,SIEd:BXTR,20200821-080413.086+0100,20200821-080411+0100,662:137,T,117.1,8,117.1,117.22,47--,68
TimeAndSale,SIEd:BXTR,20200821-080441.304+0100,20200821-080441+0100,139,T,117.12,18,117.12,117.18,47--,68
TimeAndSale,SIEd:BXTR,20200821-080505.945+0100,20200821-080505+0100,141,T,117.1,59,117.1,117.16,47--,68
TimeAndSale,SIEd:BXTR,20200821-080515.950+0100,20200821-080515+0100,936:143,T,117.1839,14,117.26,117.32,46--,68
TimeAndSale,SIEd:BXTR,20200821-080515.950+0100,20200821-080515+0100,940:145,T,117.1839,5,117.26,117.32,46--,68
TimeAndSale,SIEd:BXTR,20200821-080529.171+0100,20200821-080528+0100,663:147,T,117.24,92,117.24,117.28,47--,68
TimeAndSale,SIEd:BXTR,20200821-080545.781+0100,20200821-080512+0100,291:149,T,117.24,25,117.28,117.28,47--,68
TimeAndSale,SIEd:BXTR,20200821-080546.020+0100,20200821-080541+0100,297:151,T,117.24,182,117.28,117.32,47--,68
TimeAndSale,SIEd:BXTR,20200821-080607.456+0100,20200821-080607+0100,153,T,117.12,16,117.12,117.14,47--,68
TimeAndSale,SIEd:BXTR,20200821-080620.964+0100,20200821-080620+0100,951:155,T,117.2211,14,117.12,117.18,46--,36
TimeAndSale,SIEd:BXTR,20200821-080725.969+0100,20200821-080725+0100,959:157,T,117.17,15,117.06,117.1,46--,36
TimeAndSale,SIEd:BXTR,20200821-080725.973+0100,20200821-080725+0100,961:159,T,117.17,13,117.06,117.1,46--,36
TimeAndSale,SIEd:BXTR,20200821-080725.975+0100,20200821-080725+0100,963:161,T,117.17,8,117.06,117.1,46--,36
TimeAndSale,SIEd:BXTR,20200821-080733.722+0100,20200821-080700+0100,683:163,T,117.16,34,117.06,117.1,47--,36
TimeAndSale,SIEd:BXTR,20200821-080813.257+0100,20200821-080813+0100,165,T,116.98,13,116.98,117.02,47R-,68
TimeAndSale,SIEd:BXTR,20200821-080814.510+0100,20200821-080814+0100,50:167,T,117.02,27,117.02,117.08,47--,68
TimeAndSale,SIEd:BXTR,20200821-080848.732+0100,20200821-080848+0100,730:169,T,117.18,9,117.18,117.22,47--,68
