#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:CHIX,20200821-152956.451+0100,20200821-152956+0100,447:7733,C,115.64,180,115.64,115.68,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153000.294+0100,20200821-153000+0100,292:7735,C,115.72,37,115.68,115.72,12-H,36
TimeAndSale,SIEd:CHIX,20200821-153000.294+0100,20200821-153000+0100,292:7737,C,115.72,45,115.68,115.72,12-H,36
TimeAndSale,SIEd:CHIX,20200821-153000.294+0100,20200821-153000+0100,292:7739,C,115.72,16,115.68,115.72,12-H,36
TimeAndSale,SIEd:CHIX,20200821-153000.294+0100,20200821-153000+0100,292:7741,C,115.72,45,115.68,115.72,12-H,36
TimeAndSale,SIEd:CHIX,20200821-153000.294+0100,20200821-153000+0100,292:7743,C,115.72,50,115.68,115.72,12-H,36
TimeAndSale,SIEd:CHIX,20200821-153100.997+0100,20200821-153100+0100,995:7745,C,115.82,36,115.82,115.86,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153100.997+0100,20200821-153100+0100,996:7747,C,115.83,14,115.8,115.86,32DS,68
TimeAndSale,SIEd:CHIX,20200821-153100.998+0100,20200821-153100+0100,996:7749,C,115.83,14,115.82,115.84,32DS,68
TimeAndSale,SIEd:CHIX,20200821-153103.216+0100,20200821-153103+0100,214:7751,C,115.83,3,115.82,115.84,32DS,68
TimeAndSale,SIEd:CHIX,20200821-153103.216+0100,20200821-153103+0100,214:7753,C,115.82,4,115.82,115.84,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153103.216+0100,20200821-153103+0100,214:7755,C,115.82,10,115.82,115.84,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153103.216+0100,20200821-153103+0100,214:7757,C,115.82,18,115.82,115.84,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153103.216+0100,20200821-153103+0100,214:7759,C,115.82,3,115.82,115.84,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153103.218+0100,20200821-153103+0100,217:7761,C,115.8,44,115.8,115.82,12-H,68
TimeAndSale,SIEd:CHIX,20200821-153103.218+0100,20200821-153103+0100,217:7763,C,115.8,41,115.8,115.82,12-H,68
