#=TimeAndSale,EventSymbol,EventTime,Time,Sequence,ExchangeCode,Price,Size,BidPrice,AskPrice,SaleConditions,Flags
TimeAndSale,SIEd:CHIX,20200820-162957.354+0100,20200820-162957+0100,353:6453,C,116.24,40,116.22,116.24,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080028.647+0100,20200821-080028+0100,645:1,C,116.58,45,116.58,116.64,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080028.647+0100,20200821-080028+0100,645:3,C,116.58,41,116.58,116.64,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080028.647+0100,20200821-080028+0100,645:5,C,116.56,9,116.56,116.64,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080028.647+0100,20200821-080028+0100,646:7,C,116.56,104,116.56,116.64,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080030.374+0100,20200821-080030+0100,372:9,C,116.66,55,116.56,116.66,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080030.374+0100,20200821-080030+0100,372:11,C,116.66,18,116.56,116.66,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080133.944+0100,20200821-080133+0100,943:13,C,117,3,117,117.14,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080139.315+0100,20200821-080139+0100,314:15,C,117.16,12,117.1,117.16,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080139.393+0100,20200821-080139+0100,392:17,C,117.18,18,117.12,117.18,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080144.238+0100,20200821-080144+0100,237:19,C,117.16,19,117.1,117.16,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,916:21,C,117.22,1,117.12,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,916:23,C,117.22,1,117.12,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,916:25,C,117.22,2,117.12,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,916:27,C,117.22,1,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,916:29,C,117.22,4,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080147.918+0100,20200821-080147+0100,917:31,C,117.22,1,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080149.372+0100,20200821-080149+0100,371:33,C,117.22,26,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080151.959+0100,20200821-080151+0100,958:35,C,117.26,12,117.18,117.26,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080213.532+0100,20200821-080213+0100,531:37,C,117.18,58,117.18,117.42,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080243.733+0100,20200821-080243+0100,731:39,C,117.28,12,117.26,117.28,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080243.733+0100,20200821-080243+0100,731:41,C,117.26,18,117.26,117.46,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080243.735+0100,20200821-080243+0100,734:43,C,117.24,295,117.24,117.46,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080243.735+0100,20200821-080243+0100,734:45,C,117.24,37,117.24,117.46,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080257.854+0100,20200821-080257+0100,853:47,C,117.28,12,117.24,117.28,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080306.970+0100,20200821-080306+0100,969:49,C,117.24,170,117.24,117.26,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080306.970+0100,20200821-080306+0100,969:51,C,117.26,12,117.22,117.26,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080318.033+0100,20200821-080318+0100,32:53,C,117.32,9,117.32,117.5,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080318.254+0100,20200821-080318+0100,253:55,C,117.32,5,117.32,117.38,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080318.254+0100,20200821-080318+0100,253:57,C,117.32,22,117.32,117.38,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080318.254+0100,20200821-080318+0100,253:59,C,117.32,5,117.32,117.38,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080318.255+0100,20200821-080318+0100,254:61,C,117.3,145,117.3,117.38,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080325.438+0100,20200821-080325+0100,437:63,C,117.24,41,117.24,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080350.261+0100,20200821-080350+0100,259:65,C,117.34,12,117.28,117.34,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080350.415+0100,20200821-080350+0100,414:67,C,117.34,17,117.28,117.34,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080351.331+0100,20200821-080351+0100,330:69,C,117.28,53,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080351.331+0100,20200821-080351+0100,330:71,C,117.28,35,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080351.331+0100,20200821-080351+0100,330:73,C,117.28,42,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080351.331+0100,20200821-080351+0100,330:75,C,117.28,38,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080351.331+0100,20200821-080351+0100,330:77,C,117.28,56,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080351.338+0100,20200821-080351+0100,337:79,C,117.28,1,117.28,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080410.033+0100,20200821-080410+0100,32:81,C,117.2,54,117.2,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080410.033+0100,20200821-080410+0100,32:83,C,117.2,24,117.2,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080410.033+0100,20200821-080410+0100,32:85,C,117.2,28,117.2,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080410.033+0100,20200821-080410+0100,32:87,C,117.2,19,117.2,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080410.033+0100,20200821-080410+0100,32:89,C,117.2,127,117.2,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080500.024+0100,20200821-080500+0100,22:91,C,117.16,32,117.16,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080500.024+0100,20200821-080500+0100,22:93,C,117.16,160,117.16,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080509.107+0100,20200821-080509+0100,106:95,C,117.22,16,117.1,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080509.107+0100,20200821-080509+0100,106:97,C,117.22,35,117.1,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080512.283+0100,20200821-080512+0100,282:99,C,117.24,21,117.2,117.24,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080527.350+0100,20200821-080527+0100,348:101,C,117.26,54,117.26,117.28,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080530.352+0100,20200821-080530+0100,351:103,C,117.24,25,117.24,117.32,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080549.638+0100,20200821-080549+0100,637:105,C,117.32,16,117.28,117.32,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080550.472+0100,20200821-080550+0100,471:107,C,117.28,321,117.28,117.3,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.480+0100,20200821-080600+0100,479:109,C,117.2,57,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.480+0100,20200821-080600+0100,479:111,C,117.2,163,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.480+0100,20200821-080600+0100,479:113,C,117.2,80,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.480+0100,20200821-080600+0100,479:115,C,117.2,94,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.482+0100,20200821-080600+0100,481:117,C,117.18,8,117.18,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080600.489+0100,20200821-080600+0100,488:119,C,117.18,27,117.18,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080604.829+0100,20200821-080604+0100,828:121,C,117.14,44,117.14,117.16,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080608.282+0100,20200821-080608+0100,281:123,C,117.12,15,117.12,117.2,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080608.283+0100,20200821-080608+0100,281:125,C,117.12,11,117.12,117.2,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080608.283+0100,20200821-080608+0100,281:127,C,117.1,53,117.1,117.2,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080608.288+0100,20200821-080608+0100,286:129,C,117.12,12,117.02,117.12,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080621.621+0100,20200821-080621+0100,620:131,C,117.12,53,117.12,117.16,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080621.621+0100,20200821-080621+0100,620:133,C,117.12,21,117.12,117.16,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080638.868+0100,20200821-080638+0100,867:135,C,117.14,13,117.06,117.14,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080642.208+0100,20200821-080642+0100,207:137,C,117.18,11,117.1,117.18,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080642.208+0100,20200821-080642+0100,207:139,C,117.18,4,117.1,117.18,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080642.208+0100,20200821-080642+0100,207:141,C,117.18,26,117.1,117.18,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080653.376+0100,20200821-080653+0100,375:143,C,117.16,35,117.16,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080655.821+0100,20200821-080655+0100,820:145,C,117.22,13,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080700.650+0100,20200821-080700+0100,649:147,C,117.18,86,117.18,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080700.650+0100,20200821-080700+0100,649:149,C,117.18,77,117.18,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080700.808+0100,20200821-080700+0100,807:151,C,117.16,4,117.16,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080700.879+0100,20200821-080700+0100,878:153,C,117.16,37,117.16,117.22,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080704.453+0100,20200821-080704+0100,451:155,C,117.08,28,117.08,117.16,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080800.866+0100,20200821-080800+0100,865:157,C,117,24,117,117.08,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080800.870+0100,20200821-080800+0100,869:159,C,116.98,41,116.98,117.04,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080810.598+0100,20200821-080810+0100,596:161,C,117,100,116.92,117,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080810.598+0100,20200821-080810+0100,597:163,C,116.98,20,116.98,117.04,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080810.598+0100,20200821-080810+0100,597:165,C,116.98,60,116.98,117.04,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080810.600+0100,20200821-080810+0100,599:167,C,117.02,20,116.96,117.02,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080810.600+0100,20200821-080810+0100,599:169,C,117.02,42,116.96,117.02,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080815.849+0100,20200821-080815+0100,848:171,C,117.08,21,117.08,117.12,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080817.986+0100,20200821-080817+0100,985:173,C,117.1,5,117.04,117.1,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080822.154+0100,20200821-080822+0100,153:175,C,117.12,7,117.08,117.12,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080822.155+0100,20200821-080822+0100,153:177,C,117.12,32,117.08,117.12,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080832.913+0100,20200821-080832+0100,912:179,C,117.08,50,117.08,117.12,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080846.445+0100,20200821-080846+0100,444:181,C,117.14,4,117.06,117.14,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080846.445+0100,20200821-080846+0100,444:183,C,117.14,2,117.06,117.14,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080849.191+0100,20200821-080849+0100,189:185,C,117.22,27,117.16,117.22,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080903.085+0100,20200821-080903+0100,84:187,C,117.2,149,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080903.085+0100,20200821-080903+0100,84:189,C,117.2,147,117.2,117.24,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080912.633+0100,20200821-080912+0100,632:191,C,117.22,34,117.22,117.28,12-H,68
TimeAndSale,SIEd:CHIX,20200821-080933.121+0100,20200821-080933+0100,119:193,C,117.24,20,117.14,117.24,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080933.121+0100,20200821-080933+0100,120:195,C,117.24,12,117.14,117.24,12-H,36
TimeAndSale,SIEd:CHIX,20200821-080937.873+0100,20200821-080937+0100,871:197,C,117.24,91,117.24,117.32,12-H,68
